	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
accuracy	0.9041095890410958	0.9191919191919192	0.9420289855072463	1.0	0.8583333333333333	0.9347826086956522	0.825	0.7926829268292683	0.7307692307692307	0.8271604938271605	0.881578947368421	0.8241758241758241	0.875	0.9176470588235294	0.85	0.847457627118644	0.922077922077922	0.9101123595505618	0.8888888888888888	0.9473684210526315	0.946236559139785	0.927536231884058	0.8372093023255814	0.8780487804878049	0.8142857142857143	0.7428571428571429	0.6530612244897959	0.9285714285714286	0.7272727272727273	0.725
precision	0.36363636363636365	0.14285714285714285	0.7777777777777778	1.0	0.6190476190476191	0.0	0.15384615384615385	0.125	0.12121212121212122	0.25	0.125	0.25	0.375	0.2	0.2727272727272727	0.16666666666666666	0.5	0.5	0.2857142857142857	0.5	0.3333333333333333	0.4	0.0	0.8	0.1875	0.25	0.11764705882352941	1.0	0.3076923076923077	0.26666666666666666
recall	1.0	0.3333333333333333	0.5384615384615384	1.0	0.5909090909090909	0.0	0.4	0.4	0.4	0.6666666666666666	0.3333333333333333	0.3	0.3333333333333333	0.25	0.42857142857142855	0.2	1.0	0.25	0.4	0.3333333333333333	0.25	0.5	0.0	0.5	1.0	1.0	0.5	0.25	1.0	1.0
f1	0.5333333333333333	0.2	0.6363636363636364	1.0	0.6046511627906977	0.0	0.2222222222222222	0.19047619047619047	0.186046511627907	0.36363636363636365	0.18181818181818182	0.2727272727272727	0.35294117647058826	0.22222222222222224	0.33333333333333326	0.1818181818181818	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.4	0.28571428571428575	0.4444444444444445	0.0	0.6153846153846154	0.3157894736842105	0.4	0.19047619047619047	0.4	0.47058823529411764	0.4210526315789474
auc_roc	0.9927536231884058	0.7256944444444444	0.8781538461538461	1.0	0.9063079777365491	0.599250936329588	0.6213333333333333	0.48831168831168836	0.6216666666666667	0.8555555555555556	0.6118721461187215	0.7938271604938272	0.6751054852320676	0.9351851851851851	0.8317025440313112	0.8037037037037038	0.9342723004694835	0.8734567901234568	0.7850746268656716	0.6728395061728395	0.7443820224719101	0.9269230769230768	0.6190476190476191	0.7689393939393939	0.8606965174129353	0.8854166666666666	0.7222222222222221	0.8289473684210527	0.9827586206896552	0.951388888888889
matthews_coeff	0.5716167580206741	0.18111541908698967	0.6181087587846856	1.0	0.5186217391322936	-0.033707865168539325	0.16622597688769775	0.13173978860172217	0.09694382269608261	0.3332820473366711	0.15065440562044594	0.17460020637877421	0.284627226785928	0.18055555555555555	0.2617316640702078	0.09896976882324769	0.6765696408155183	0.31104691214365576	0.27918905974421604	0.3820465887291706	0.2612631374042119	0.4090913947161065	0.0	0.5688312786486196	0.38874079151161206	0.42389562394532926	0.09587062360592132	0.48135986234123296	0.4606534397048787	0.43033148291193524
#tr	298	338	244	204	116	214	188	172	184	198	186	136	146	170	170	138	134	112	116	128	118	124	116	110	74	80	76	72	88	66
#ac_tr	149	169	122	102	58	107	94	86	92	99	93	68	73	85	85	69	67	56	58	64	59	62	58	55	37	40	38	36	44	33
target	CHEMBL244	CHEMBL244	CHEMBL244	CHEMBL204	CHEMBL204	CHEMBL204	CHEMBL205	CHEMBL205	CHEMBL205	CHEMBL3594	CHEMBL3594	CHEMBL3594	CHEMBL261	CHEMBL261	CHEMBL261	CHEMBL264	CHEMBL264	CHEMBL264	CHEMBL3242	CHEMBL3242	CHEMBL3242	CHEMBL253	CHEMBL253	CHEMBL253	CHEMBL217	CHEMBL217	CHEMBL217	CHEMBL3837	CHEMBL3837	CHEMBL3837
