	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL244	0.98	0.858	0.841	0.849	0.976	0.839	0.915	2298.0	155.0	0.0	0.001	0.001	0.001	0.0	0.001	0.0	0.0	0.0
CHEMBL204	0.985	0.913	0.872	0.891	0.996	0.884	0.933	1525.0	110.0	0.0	0.001	0.003	0.0	0.0	0.0	0.001	0.0	0.0
CHEMBL3594	0.957	0.67	0.675	0.665	0.935	0.646	0.826	1475.0	99.0	0.0	0.002	0.037	0.014	0.002	0.015	0.009	0.0	0.0
CHEMBL261	0.946	0.582	0.715	0.635	0.921	0.614	0.839	1463.0	97.0	0.0	0.005	0.015	0.003	0.001	0.003	0.003	0.0	0.0
CHEMBL205	0.934	0.515	0.628	0.565	0.897	0.533	0.792	1463.0	100.0	0.0	0.0	0.007	0.001	0.0	0.002	0.002	0.0	0.0
CHEMBL264	0.957	0.627	0.676	0.65	0.931	0.628	0.825	1411.0	83.0	0.0	0.007	0.003	0.005	0.0	0.005	0.001	0.0	0.0
CHEMBL3242	0.966	0.727	0.655	0.679	0.863	0.668	0.82	1225.0	69.0	0.0	0.014	0.008	0.0	0.0	0.0	0.002	0.0	0.0
CHEMBL217	0.947	0.496	0.508	0.495	0.916	0.471	0.739	953.0	50.0	0.0	0.006	0.01	0.002	0.002	0.003	0.002	0.0	0.0
CHEMBL253	0.957	0.736	0.793	0.758	0.958	0.738	0.883	787.0	69.0	0.0	0.005	0.008	0.0	0.001	0.0	0.002	0.0	0.0
CHEMBL3837	0.978	0.793	0.842	0.811	0.987	0.803	0.914	771.0	45.0	0.0	0.006	0.019	0.006	0.0	0.007	0.005	0.0	0.0
CHEMBL236	0.968	0.702	0.741	0.721	0.947	0.704	0.861	765.0	43.0	0.0	0.006	0.007	0.006	0.001	0.007	0.002	0.0	0.0
CHEMBL234	0.935	0.432	0.556	0.475	0.921	0.452	0.757	737.0	43.0	0.0	0.012	0.077	0.031	0.0	0.035	0.018	0.0	0.0
CHEMBL237	0.982	0.824	0.895	0.857	0.995	0.848	0.941	727.0	44.0	0.0	0.004	0.008	0.004	0.0	0.005	0.002	0.0	0.0
CHEMBL251	0.947	0.547	0.765	0.629	0.964	0.616	0.861	707.0	39.0	0.0	0.024	0.003	0.01	0.0	0.009	0.001	0.0	0.0
CHEMBL228	0.947	0.402	0.417	0.407	0.816	0.381	0.694	646.0	29.0	0.0	0.004	0.0	0.001	0.0	0.001	0.0	0.0	0.0
CHEMBL3880	0.957	0.619	0.644	0.628	0.956	0.607	0.81	625.0	34.0	0.0	0.017	0.001	0.006	0.001	0.007	0.0	0.0	0.0
CHEMBL284	0.964	0.664	0.538	0.587	0.897	0.576	0.762	618.0	31.0	0.0	0.006	0.018	0.005	0.002	0.005	0.004	0.0	0.0
CHEMBL255	0.984	0.776	0.852	0.798	0.995	0.798	0.92	588.0	22.0	0.0	0.038	0.016	0.008	0.0	0.009	0.004	0.0	0.0
CHEMBL256	0.958	0.715	0.708	0.699	0.933	0.684	0.842	557.0	38.0	0.0	0.042	0.021	0.016	0.001	0.02	0.005	0.0	0.0
CHEMBL3991	0.981	0.933	0.804	0.864	0.975	0.857	0.9	542.0	38.0	0.0	0.004	0.001	0.002	0.001	0.003	0.0	0.0	0.0
CHEMBL214	0.98	0.925	0.778	0.844	0.929	0.837	0.886	495.0	36.0	0.0	0.005	0.001	0.002	0.002	0.002	0.0	0.0	0.0
CHEMBL344	0.937	0.629	0.667	0.639	0.866	0.61	0.813	480.0	37.0	0.002	0.057	0.017	0.035	0.01	0.042	0.006	0.0	0.0
CHEMBL1075323	0.964	0.533	0.444	0.477	0.96	0.466	0.716	470.0	22.0	0.0	0.253	0.148	0.178	0.001	0.192	0.038	0.0	0.0
CHEMBL2326	0.949	0.421	0.333	0.333	0.847	0.329	0.655	438.0	18.0	0.0	0.007	0.036	0.013	0.003	0.007	0.007	0.0	0.0
CHEMBL233	0.947	0.579	0.639	0.607	0.948	0.58	0.803	437.0	28.0	0.0	0.007	0.002	0.004	0.0	0.005	0.001	0.0	0.0
CHEMBL224	0.951	0.679	0.667	0.671	0.909	0.646	0.821	425.0	34.0	0.0	0.01	0.022	0.016	0.007	0.018	0.006	0.0	0.0
CHEMBL4657	0.954	0.54	0.429	0.436	0.828	0.437	0.702	420.0	15.0	0.0	0.159	0.02	0.025	0.001	0.039	0.005	0.0	0.0
CHEMBL218	0.952	0.661	0.667	0.66	0.898	0.637	0.82	408.0	27.0	0.0	0.013	0.007	0.007	0.005	0.007	0.002	0.0	0.0
CHEMBL2034	0.9	0.365	0.367	0.328	0.902	0.299	0.65	387.0	24.0	0.004	0.069	0.023	0.022	0.004	0.029	0.004	0.0	0.0
CHEMBL267	0.916	0.083	0.083	0.083	0.777	0.04	0.523	350.0	17.0	0.0	0.021	0.021	0.021	0.011	0.021	0.005	0.0	0.0
CHEMBL4793	0.967	0.556	0.267	0.357	0.973	0.368	0.629	350.0	13.0	0.0	0.148	0.013	0.034	0.001	0.05	0.004	0.0	0.0
CHEMBL1902	0.962	0.69	0.625	0.656	0.979	0.636	0.804	324.0	18.0	0.0	0.032	0.016	0.023	0.0	0.026	0.005	0.0	0.0
CHEMBL2147	0.949	0.619	0.889	0.712	0.982	0.71	0.921	321.0	22.0	0.001	0.027	0.012	0.01	0.0	0.007	0.002	0.0	0.0
CHEMBL2820	0.977	0.861	0.833	0.841	0.946	0.832	0.911	305.0	22.0	0.0	0.016	0.043	0.023	0.008	0.026	0.011	0.0	0.0
CHEMBL4409	0.966	0.679	0.875	0.764	0.977	0.753	0.923	295.0	19.0	0.0	0.011	0.016	0.013	0.0	0.015	0.004	0.0	0.0
