	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL4523	0.982	0.826	0.952	0.874	0.997	0.873	0.968	258.0	16.0	0.0	0.024	0.007	0.002	0.0	0.002	0.001	0.0	0.0
CHEMBL1800	0.872	0.581	0.905	0.65	0.92	0.65	0.887	252.0	15.0	0.034	0.184	0.007	0.145	0.005	0.141	0.016	0.0	0.0
CHEMBL1862	0.835	0.271	0.905	0.417	0.917	0.44	0.867	248.0	16.0	0.0	0.0	0.007	0.001	0.001	0.002	0.002	0.0	0.0
CHEMBL3717	0.958	0.589	0.467	0.515	0.878	0.5	0.725	240.0	12.0	0.0	0.007	0.013	0.006	0.0	0.006	0.003	0.0	0.0
CHEMBL226	0.941	0.681	0.389	0.458	0.818	0.467	0.683	224.0	13.0	0.0	0.098	0.009	0.001	0.007	0.008	0.001	0.0	0.0
CHEMBL3371	0.944	0.85	0.417	0.554	0.894	0.569	0.705	221.0	17.0	0.0	0.017	0.005	0.003	0.001	0.003	0.001	0.0	0.0
CHEMBL4308	0.957	0.667	0.2	0.302	0.892	0.353	0.6	217.0	10.0	0.0	0.333	0.04	0.082	0.011	0.102	0.01	0.0	0.0
CHEMBL2954	0.982	0.85	0.8	0.822	0.989	0.814	0.896	214.0	11.0	0.0	0.017	0.04	0.028	0.0	0.03	0.011	0.0	0.0
CHEMBL219	0.945	0.633	0.333	0.393	0.853	0.407	0.657	211.0	13.0	0.0	0.103	0.013	0.003	0.008	0.001	0.002	0.0	0.0
CHEMBL4072	0.966	0.889	0.556	0.681	0.969	0.686	0.776	200.0	15.0	0.0	0.037	0.037	0.042	0.002	0.043	0.01	0.0	0.0
CHEMBL232	0.938	0.556	0.2	0.278	0.912	0.295	0.592	198.0	11.0	0.0	0.148	0.0	0.002	0.001	0.015	0.0	0.0	0.0
CHEMBL335	0.964	0.749	0.905	0.807	0.976	0.8	0.937	194.0	15.0	0.0	0.01	0.027	0.003	0.0	0.004	0.006	0.0	0.0
CHEMBL1871	0.971	0.944	0.6	0.664	0.939	0.702	0.798	187.0	13.0	0.0	0.009	0.16	0.088	0.002	0.058	0.039	0.0	0.0
CHEMBL225	0.962	0.889	0.467	0.607	0.905	0.626	0.731	184.0	10.0	0.0	0.037	0.013	0.017	0.001	0.018	0.004	0.0	0.0
CHEMBL3759	0.962	0.838	0.667	0.721	0.829	0.718	0.826	180.0	13.0	0.0	0.021	0.028	0.003	0.017	0.001	0.006	0.0	0.0
CHEMBL3105	0.911	0.026	0.111	0.042	0.659	0.029	0.528	173.0	6.0	0.007	0.002	0.037	0.005	0.018	0.002	0.002	0.0	0.0
CHEMBL259	0.951	0.5	0.167	0.244	0.871	0.273	0.581	173.0	8.0	0.0	0.25	0.021	0.046	0.024	0.062	0.005	0.0	0.0
CHEMBL238	0.948	0.565	0.667	0.595	0.951	0.58	0.816	163.0	9.0	0.0	0.015	0.021	0.004	0.003	0.004	0.004	0.0	0.0
CHEMBL1855	0.948	0.75	0.533	0.595	0.837	0.592	0.756	161.0	11.0	0.0	0.062	0.013	0.004	0.011	0.005	0.002	0.0	0.0
