	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125
accuracy	0.9477911646586346	0.9330143540669856	0.9320388349514563	0.9809523809523809	0.9823008849557522	0.968421052631579	0.923728813559322	0.9166666666666666	0.9090909090909091	0.930379746835443	0.9225806451612903	0.9277777777777778	0.9658536585365853	0.9322916666666666	0.9319371727748691	0.9750656167979003	0.9202059202059202	0.9727148703956344	0.924812030075188	0.9136363636363637	0.9483240223463687	0.897196261682243	0.8859315589353612	0.9128440366972477	0.9337349397590361	0.8686131386861314	0.9642857142857143	0.9371069182389937	0.9275766016713092	0.9383259911894273	0.9326923076923077	0.9278350515463918	0.9411764705882353	0.9290780141843972	0.951048951048951	0.9145299145299145	0.8974358974358975	0.8971428571428571	0.8761904761904762	0.9484978540772532	0.9651567944250871	0.9720496894409938	0.9647577092511013	0.9757281553398058	0.9502762430939227	0.8994708994708994	0.8947368421052632	0.9354838709677419	0.9733727810650887	0.946236559139785	0.9527027027027027	0.9534313725490197	0.9185667752442996	0.9315068493150684	0.9440993788819876	0.8846153846153846	0.9620991253644315	0.9725378787878788	0.9587203302373581	0.9384215091066782	0.910394265232975	0.9226190476190477	0.926923076923077	0.9272237196765498	0.8971428571428571	0.9312320916905444	0.9651567944250871	0.9609375	0.9814814814814815	0.9047619047619048	0.8905660377358491	0.9163346613545816	0.9093525179856116	0.9304733727810651	0.9324522760646109	0.9220563847429519	0.9468892261001517	0.9148936170212766	0.9772727272727273	0.9428571428571428	0.9741935483870968	0.9212598425196851	0.927536231884058	0.9057971014492754	0.9479166666666666	0.9533333333333334	0.9372693726937269	0.9461805555555556	0.9452554744525548	0.9344262295081968	0.9405940594059405	0.9479166666666666	0.9240506329113924	0.9017857142857143	0.9	0.9381443298969072	0.9148936170212766	0.9025641025641026	0.8947368421052632	0.9552906110283159	0.9483568075117371	0.9295580110497238	0.8527131782945736	0.9122807017543859	0.9186991869918699	0.9483204134366925	0.9384057971014492	0.9598765432098766	0.9205882352941176	0.9329073482428115	0.9307228915662651	0.9437229437229437	0.9596412556053812	0.9396551724137931	0.9540229885057471	0.9888888888888889	0.9506172839506173	0.937007874015748	0.9072847682119205	0.875	0.95	0.9557522123893806	1.0	0.9690721649484536	0.9653465346534653	0.9645390070921985
precision	1.0	0.5	1.0	0.8888888888888888	1.0	0.7777777777777778	0.2	0.0	0.0	0.0	0.0	0.0	0.5	0.5714285714285714	0.5714285714285714	0.8	0.6190476190476191	0.7647058823529411	0.38461538461538464	0.4	0.6111111111111112	0.4	0.25	0.5	0.6666666666666666	0.34615384615384615	0.8181818181818182	0.5454545454545454	0.625	0.5555555555555556	0.38461538461538464	1.0	0.8333333333333334	0.0	0.5	0.0	0.2727272727272727	0.4	0.16666666666666666	0.25	0.5555555555555556	0.5	0.0	1.0	0.5	0.6666666666666666	0.2	0.5	0.8888888888888888	0.75	0.6153846153846154	0.45454545454545453	0.5	0.6363636363636364	0.75	0.5	0.5833333333333334	0.7571428571428571	0.631578947368421	0.66	0.5	0.6	0.6	0.5806451612903226	0.36363636363636365	0.8235294117647058	1.0	1.0	0.8	0.2727272727272727	0.26666666666666666	0.42857142857142855	0.36	0.5294117647058824	0.5	0.4583333333333333	0.8235294117647058	0.64	1.0	0.5	1.0	0.6666666666666666	0.5714285714285714	0.6	0.5	0.4444444444444444	0.0	0.6111111111111112	0.5454545454545454	0.4444444444444444	0.75	0.42857142857142855	1.0	0.5	0.0	0.75	0.375	0.6666666666666666	0.5	0.59375	0.7727272727272727	0.9285714285714286	0.15384615384615385	0.7142857142857143	1.0	0.8333333333333334	0.47368421052631576	0.85	0.25	1.0	0.6666666666666666	0.8181818181818182	1.0	0.9	1.0	1.0	1.0	0.0	0.5	0.2	0.8333333333333334	0.8571428571428571	1.0	1.0	0.5	1.0
recall	0.07142857142857142	0.07142857142857142	0.125	0.8888888888888888	0.7777777777777778	0.875	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.2857142857142857	0.2857142857142857	0.782608695652174	0.5064935064935064	0.8297872340425532	0.22727272727272727	0.19230769230769232	0.2682926829268293	0.3157894736842105	0.07692307692307693	0.2631578947368421	0.3076923076923077	0.9	0.75	0.1935483870967742	0.17857142857142858	0.1724137931034483	0.45454545454545453	0.17647058823529413	0.3333333333333333	0.0	0.14285714285714285	0.0	0.2	0.11764705882352941	0.045454545454545456	0.1	0.45454545454545453	0.3333333333333333	0.0	0.16666666666666666	0.2222222222222222	0.19047619047619047	0.06666666666666667	0.5	0.5	0.17647058823529413	0.47058823529411764	0.2777777777777778	0.16	0.25	0.375	0.16666666666666666	0.4666666666666667	0.8153846153846154	0.48	0.3793103448275862	0.36	0.1111111111111111	0.15	0.5625	0.12121212121212122	0.4	0.23076923076923078	0.16666666666666666	0.5	0.14285714285714285	0.18181818181818182	0.15	0.16071428571428573	0.3673469387755102	0.2391304347826087	0.24444444444444444	0.30434782608695654	0.2909090909090909	0.2	0.1	0.3333333333333333	0.3333333333333333	0.36363636363636365	0.21428571428571427	0.2	0.3076923076923077	0.0	0.3142857142857143	0.1935483870967742	0.11428571428571428	0.375	0.75	0.14285714285714285	0.09090909090909091	0.0	0.375	0.16666666666666666	0.19047619047619047	0.3333333333333333	0.5277777777777778	0.37777777777777777	0.20634920634920634	0.2	0.38461538461538464	0.09090909090909091	0.20833333333333334	0.5625	0.6296296296296297	0.04	0.08695652173913043	0.08333333333333333	0.45	0.4375	0.4090909090909091	0.3333333333333333	0.8333333333333334	0.3333333333333333	0.0	0.07142857142857142	0.09090909090909091	0.5555555555555556	0.6	1.0	0.14285714285714285	0.14285714285714285	0.16666666666666666
f1	0.13333333333333333	0.125	0.2222222222222222	0.8888888888888888	0.8750000000000001	0.823529411764706	0.1818181818181818	0.0	0.0	0.0	0.0	0.0	0.22222222222222224	0.38095238095238093	0.38095238095238093	0.7912087912087912	0.557142857142857	0.7959183673469387	0.2857142857142857	0.25974025974025977	0.37288135593220345	0.35294117647058826	0.11764705882352941	0.3448275862068966	0.42105263157894735	0.5	0.7826086956521738	0.2857142857142857	0.2777777777777778	0.26315789473684215	0.41666666666666663	0.3	0.47619047619047616	0.0	0.22222222222222224	0.0	0.23076923076923075	0.1818181818181818	0.07142857142857144	0.14285714285714288	0.5	0.4	0.0	0.2857142857142857	0.30769230769230765	0.2962962962962963	0.1	0.5	0.64	0.2857142857142857	0.5333333333333333	0.3448275862068966	0.24242424242424243	0.358974358974359	0.5	0.25	0.5185185185185186	0.7851851851851851	0.5454545454545454	0.48175182481751827	0.41860465116279066	0.18750000000000003	0.24	0.5714285714285715	0.18181818181818182	0.5384615384615384	0.375	0.2857142857142857	0.6153846153846154	0.18749999999999997	0.21621621621621623	0.2222222222222222	0.22222222222222224	0.4337349397590361	0.3235294117647059	0.31884057971014496	0.4444444444444444	0.39999999999999997	0.33333333333333337	0.16666666666666669	0.5	0.4444444444444444	0.4444444444444444	0.3157894736842105	0.28571428571428575	0.3636363636363637	0.0	0.41509433962264153	0.2857142857142857	0.1818181818181818	0.5	0.5454545454545454	0.25	0.15384615384615385	0.0	0.5	0.23076923076923078	0.2962962962962963	0.4	0.5588235294117648	0.5074626865671642	0.33766233766233766	0.17391304347826086	0.5	0.16666666666666669	0.33333333333333337	0.5142857142857142	0.723404255319149	0.06896551724137932	0.16	0.14814814814814814	0.5806451612903226	0.6086956521739131	0.5625000000000001	0.5	0.9090909090909091	0.5	0.0	0.125	0.12500000000000003	0.6666666666666667	0.7058823529411764	1.0	0.25	0.22222222222222224	0.2857142857142857
auc_roc	0.5805471124620061	0.7126373626373627	0.5256578947368421	0.9832175925925926	0.8846153846153846	0.9274425287356323	0.6309523809523809	0.6068181818181817	0.5160493827160494	0.4560810810810811	0.541958041958042	0.5233134920634921	0.6908369408369408	0.865569823434992	0.7048022598870056	0.9942919601651689	0.8829777365491651	0.9028906395384901	0.8831979212413995	0.7980136639676114	0.7790424570912375	0.7387314439946019	0.8304122038299253	0.8510975932293043	0.6168929110105581	0.9681102362204724	0.9772135416666667	0.7884782294228265	0.7508631851532154	0.7347667342799189	0.9640055376095985	0.7258225324027916	0.8465116279069766	0.74906015037594	0.8445378151260504	0.7967532467532468	0.7433333333333333	0.804542069992554	0.709622823984526	0.5919282511210763	0.8353096179183136	0.9423145189918353	0.6412671232876713	0.9620833333333334	0.5852713178294573	0.6554705215419502	0.6959401709401709	0.7837790288529205	0.9020768633540373	0.6439155814997755	0.843348091924942	0.8867521367521367	0.882127659574468	0.8465981348028826	0.834731543624161	0.8850644122383252	0.9732723577235772	0.9714740355507259	0.956322089227421	0.7861432792046754	0.7898425196850394	0.8293779216109314	0.6677083333333333	0.8704369469026548	0.6344517732530353	0.8949044585987261	0.675042111173498	0.5543032786885247	0.7411736641221375	0.6561791383219954	0.7585110362888141	0.8030303030303031	0.7445646098815114	0.8344725449988608	0.8652173913043479	0.7960175228992433	0.8670827718277891	0.7972316485086622	0.8192982456140352	0.5596969696969697	0.58165548098434	0.9257246376811594	0.9069434502505369	0.7531682027649769	0.9172161172161172	0.8753685339051194	0.8340666975451597	0.8332453129125956	0.7964060647657077	0.8975819899944413	0.8306451612903226	0.8383152173913043	0.8809523809523809	0.5486048604860486	0.5741525423728815	0.6242977528089887	0.8366615463389657	0.7226327312534209	0.7231413398692811	0.8929133858267717	0.8341189674523007	0.7867588790432966	0.8256302521008403	0.8389185072353389	0.9642857142857143	0.8280532598714418	0.9370192307692308	0.9655193914453173	0.586920634920635	0.5970014992503748	0.627164502164502	0.8735781990521326	0.7741545893719807	0.8534632034632034	0.6172839506172839	0.9880952380952381	0.6988888888888888	0.5261707988980716	0.7244525547445255	0.7668766876687669	0.8180708180708179	0.833495145631068	1.0	0.5928189457601222	0.66996336996337	0.6604938271604938
matthews_coeff	0.2601621259853844	0.17025390459507908	0.34120605010382066	0.8784722222222222	0.873557511195958	0.807940898978901	0.1428149958897535	0.0	0.0	-0.020745280726104647	0.0	-0.01997604311378105	0.25461778474420993	0.37296312879664706	0.37279119541959554	0.7780047284562166	0.5169019271715407	0.7820728982601003	0.25842050192067	0.23657319824546533	0.38279721105788705	0.30039950613147065	0.08969147977477707	0.32092792140714993	0.42407689159899864	0.508232948125731	0.7640509042957673	0.2994575509500329	0.30795312871266795	0.28594678143041663	0.3827136970124553	0.40439531562146147	0.5048146423944809	-0.029418923078619822	0.24896980660032936	-0.04092237955355674	0.17966445081877086	0.17538134926199783	0.034666789926583313	0.13503835555706747	0.4847434191682415	0.39462286778084205	0.0	0.4032389192727559	0.3113977663442969	0.3200921998322399	0.06888493582553881	0.46551724137931033	0.6554398378961376	0.3474200599341646	0.5139733348417794	0.33268213033790317	0.25033292190152673	0.3706902239472973	0.5060055548737671	0.2407717061715384	0.5024136003514686	0.7711417148595636	0.5296762687311024	0.4712008080726121	0.37734154465816083	0.23493846280890912	0.2748737083745107	0.5317551585184619	0.16603359201998424	0.5448364641139277	0.47185119860976205	0.4001312120750397	0.6240649061255311	0.150563749012738	0.16303946780871661	0.218220503538702	0.19830669928183497	0.4055395649834728	0.31483873136628027	0.29727570271844644	0.4813346170895253	0.39382205866275943	0.44207303856780433	0.2051406260976603	0.5697532241097388	0.4355907369705502	0.4196727190942232	0.32016419334932633	0.294045019846479	0.3464559967706441	0.0	0.41375738705816023	0.3028799549037197	0.2011662310395412	0.5043905721171448	0.5430069838858587	0.36313651960128146	0.18204306524590286	-0.028077262622795626	0.5032552304650747	0.21063901715981245	0.321282410496804	0.3533571355736591	0.5363917948958641	0.5183173364917839	0.41926135588283	0.09555112796282075	0.48301680571248373	0.2888901626578463	0.40132714857683327	0.48368928436329195	0.711491458623208	0.07377111135633174	0.28475403333317456	0.21917052668696713	0.5817219902441796	0.6475112611633356	0.5832831046920356	0.5636018619766345	0.9074852129730302	0.562543950463012	-0.028167151608781214	0.16269442748297816	0.07393344366418163	0.6562258828755642	0.6954773878468331	1.0	0.3720429923502401	0.25442602212156035	0.4008918628686366
balanced_accuracy	0.5357142857142857	0.5331501831501831	0.5625	0.9392361111111112	0.8888888888888888	0.9260057471264368	0.5654761904761905	0.5	0.5	0.4966216216216216	0.5	0.49702380952380953	0.5689033189033189	0.634430176565008	0.6343825665859564	0.8850194316249697	0.7361038961038961	0.9061472613361454	0.6007539159713072	0.5838183198380567	0.6289611562782295	0.6348178137651822	0.5258033106134372	0.6190161332980693	0.6473102061337356	0.8830708661417324	0.8671875	0.5911688123824678	0.5847539922313336	0.581501014198783	0.7069681587448085	0.5882352941176471	0.6637596899224806	0.4924812030075188	0.5677521008403361	0.4863636363636364	0.5777777777777778	0.5493298585256887	0.5094294003868473	0.5432735426008969	0.7200263504611331	0.661874334398296	0.5	0.5833333333333334	0.6052971576227391	0.5892857142857143	0.5205128205128206	0.7327586206896552	0.7484472049689441	0.5863268971710822	0.7263335441703563	0.6311965811965812	0.5729078014184397	0.6190652818991098	0.6824664429530201	0.572463768115942	0.7257113821138211	0.8991151129395327	0.7323830250272034	0.6816814388303034	0.6622834645669291	0.552319309600863	0.5708333333333333	0.7620759587020649	0.5495650511423382	0.6952229299363057	0.6153846153846154	0.5833333333333334	0.7480916030534351	0.5555555555555556	0.5682753460531238	0.5663419913419914	0.5678375810418064	0.6709142987338477	0.6109038000684697	0.6105734767025089	0.6497269309880134	0.6366136810144669	0.6	0.546969696969697	0.6666666666666666	0.6579710144927536	0.6700071581961347	0.5990783410138248	0.5945054945054945	0.6451353524524257	0.5	0.6506733562186426	0.5919386036064141	0.5522790439132852	0.6821236559139785	0.8532608695652174	0.5714285714285714	0.5405040504050405	0.4957627118644068	0.6818820224719101	0.5718125960061444	0.5894909688013137	0.6470588235294118	0.753652668416448	0.6846801346801347	0.6024181735225608	0.553781512605042	0.6824067022086824	0.5454545454545454	0.6027892561983471	0.7620192307692308	0.8097643097643098	0.5152380952380953	0.5434782608695652	0.54004329004329	0.720260663507109	0.71875	0.7021645021645022	0.6666666666666666	0.9166666666666667	0.6666666666666666	0.49173553719008267	0.5320646506777894	0.5256525652565256	0.7722832722832723	0.7951456310679612	1.0	0.5714285714285714	0.5688644688644688	0.5833333333333334
#tr	390	438	556	242	233	255	220	222	243	288	294	258	308	341	334	1296	1282	1354	1346	1349	1245	464	414	457	265	309	304	815	968	859	352	369	380	248	246	276	380	412	375	657	605	559	372	395	423	413	433	372	667	749	737	610	755	686	688	693	648	2081	2215	1992	699	641	728	685	732	735	515	560	535	497	488	514	1308	1330	1330	1355	1281	1364	296	299	329	292	282	285	573	557	578	1103	1146	1109	166	168	184	196	172	211	416	469	424	1356	1393	1293	250	259	258	673	793	738	508	543	519	516	525	525	187	182	197	279	253	294	250	247	233	386	377	437
#ac_tr	14	13	19	10	10	11	14	10	11	12	11	11	23	17	17	102	58	107	94	86	92	28	22	27	15	18	16	37	40	38	25	18	21	11	12	12	29	28	22	27	27	29	15	17	14	14	21	20	42	40	40	38	29	29	35	18	44	149	169	122	28	22	33	62	58	55	13	16	19	30	27	30	73	85	85	69	67	56	17	12	15	15	18	15	26	28	22	58	64	59	11	15	12	11	10	14	29	28	22	99	93	68	17	14	16	36	44	33	16	23	21	32	35	30	11	12	12	17	10	11	11	10	17	12	12	13
target	CHEMBL1075323	CHEMBL1075323	CHEMBL1075323	CHEMBL1800	CHEMBL1800	CHEMBL1800	CHEMBL1862	CHEMBL1862	CHEMBL1862	CHEMBL1902	CHEMBL1902	CHEMBL1902	CHEMBL2034	CHEMBL2034	CHEMBL2034	CHEMBL204	CHEMBL204	CHEMBL204	CHEMBL205	CHEMBL205	CHEMBL205	CHEMBL214	CHEMBL214	CHEMBL214	CHEMBL2147	CHEMBL2147	CHEMBL2147	CHEMBL217	CHEMBL217	CHEMBL217	CHEMBL218	CHEMBL218	CHEMBL218	CHEMBL222	CHEMBL222	CHEMBL222	CHEMBL224	CHEMBL224	CHEMBL224	CHEMBL228	CHEMBL228	CHEMBL228	CHEMBL2326	CHEMBL2326	CHEMBL2326	CHEMBL233	CHEMBL233	CHEMBL233	CHEMBL234	CHEMBL234	CHEMBL234	CHEMBL236	CHEMBL236	CHEMBL236	CHEMBL237	CHEMBL237	CHEMBL237	CHEMBL244	CHEMBL244	CHEMBL244	CHEMBL251	CHEMBL251	CHEMBL251	CHEMBL253	CHEMBL253	CHEMBL253	CHEMBL255	CHEMBL255	CHEMBL255	CHEMBL256	CHEMBL256	CHEMBL256	CHEMBL261	CHEMBL261	CHEMBL261	CHEMBL264	CHEMBL264	CHEMBL264	CHEMBL267	CHEMBL267	CHEMBL267	CHEMBL2820	CHEMBL2820	CHEMBL2820	CHEMBL284	CHEMBL284	CHEMBL284	CHEMBL3242	CHEMBL3242	CHEMBL3242	CHEMBL335	CHEMBL335	CHEMBL335	CHEMBL3371	CHEMBL3371	CHEMBL3371	CHEMBL344	CHEMBL344	CHEMBL344	CHEMBL3594	CHEMBL3594	CHEMBL3594	CHEMBL3729	CHEMBL3729	CHEMBL3729	CHEMBL3837	CHEMBL3837	CHEMBL3837	CHEMBL3880	CHEMBL3880	CHEMBL3880	CHEMBL3991	CHEMBL3991	CHEMBL3991	CHEMBL4072	CHEMBL4072	CHEMBL4072	CHEMBL4409	CHEMBL4409	CHEMBL4409	CHEMBL4523	CHEMBL4523	CHEMBL4523	CHEMBL4657	CHEMBL4657	CHEMBL4657
