	CHEMBL2954	CHEMBL1800	CHEMBL4523	CHEMBL2820	CHEMBL3729	CHEMBL244	CHEMBL335	CHEMBL214	CHEMBL237	CHEMBL3759	CHEMBL204	CHEMBL3018	CHEMBL5407	CHEMBL1741186	CHEMBL3991	CHEMBL333	CHEMBL1926488	CHEMBL4072
CHEMBL2954	0.0	0.4579428584525467	0.19718566125069975	0.27028593090884706	0.2899632360452903	0.14847394168461997	0.4182220989511991	0.13919405498272558	0.08953720425267711	0.2020790721595383	0.13327235742913784	1.7849158824047202	0.13697154440576337	3.796291723812514	0.8616860890349847	0.06331964777003443	1.0017283351069195	0.026989252334127307
CHEMBL1800	0.4579428584525467	0.0	0.21678290964581207	0.2166427290224347	0.6818918776975247	0.8059925782341251	0.19856987949827254	0.7009517956752152	0.375469197678369	0.3919999880427394	0.8085039506299866	1.2582722050848285	0.16454364419268153	2.7984108378385493	1.0344531687017233	0.4718953938918399	0.37824571330418755	0.35379199294298974
CHEMBL4523	0.19718566125069975	0.21678290964581207	0.0	0.18374254996927947	0.6867283346405059	0.3503022300637513	0.2106933793856118	0.5197956977205485	0.11793062190699807	0.2144556664743115	0.3829016374013767	1.7665126295966869	0.12253716423859608	3.3322201170325627	1.290698775383697	0.30981895433028517	0.4396052193122858	0.11913270290947536
CHEMBL2820	0.27028593090884706	0.2166427290224347	0.18374254996927947	0.0	0.4430046865804135	0.6963553482830256	0.2203731856009455	0.43247372202471823	0.38623420014139986	0.12241712087404316	0.6815534147018679	1.0044197345141472	0.09393232692001427	2.4755552802456195	0.7665992999137641	0.34483579790268126	0.6030003525069334	0.17334996402697744
CHEMBL3729	0.2899632360452903	0.6818918776975247	0.6867283346405059	0.4430046865804135	0.0	0.6504875408142266	0.7325864099113433	0.08544820905355743	0.534788445143602	0.49996621953968823	0.5689759615716229	1.0652249284291808	0.2906713755930542	3.4333082583408556	0.19092995159975956	0.25381502387032717	1.61149387067699	0.38762410387684254
CHEMBL244	0.14847394168461997	0.8059925782341251	0.3503022300637513	0.6963553482830256	0.6504875408142266	0.0	0.8072043486198801	0.3351965184049436	0.12097354190191781	0.47489370288266847	0.0075627790146083704	2.7149475799440017	0.4506364472996778	4.693333105929488	1.4308990558894286	0.2686408252319414	1.199665370297592	0.2148611367672032
CHEMBL335	0.4182220989511991	0.19856987949827254	0.2106933793856118	0.2203731856009455	0.7325864099113433	0.8072043486198801	0.0	0.7572737754061627	0.37755580730780136	0.4804270537755706	0.8340007471396442	1.2887338969973903	0.2077922842396755	3.158465993364595	1.142239049311862	0.4113375044515722	0.6182087381941832	0.32792391125231857
CHEMBL214	0.13919405498272558	0.7009517956752152	0.5197956977205485	0.43247372202471823	0.08544820905355743	0.3351965184049436	0.7572737754061627	0.0	0.3433013003947193	0.33521261853146095	0.27186995358203847	1.5151224774408298	0.2573416874859855	3.6556048366497453	0.47613705938959283	0.16000875957640892	1.4751984672221656	0.22898280682511052
CHEMBL237	0.08953720425267711	0.375469197678369	0.11793062190699807	0.38623420014139986	0.534788445143602	0.12097354190191781	0.37755580730780136	0.3433013003947193	0.0	0.3414496172337035	0.14276426539559972	2.111335291799406	0.17682332273377882	4.0940297563007775	1.2059950538223316	0.18401624164298305	0.8012609205110436	0.10213143736105162
CHEMBL3759	0.2020790721595383	0.3919999880427394	0.2144556664743115	0.12241712087404316	0.49996621953968823	0.47489370288266847	0.4804270537755706	0.33521261853146095	0.3414496172337035	0.0	0.4520072096276456	1.4671840249554378	0.18137249332681638	2.682738630585044	0.9538076834517157	0.2773723050926603	0.6546899903769419	0.1093896744034994
CHEMBL204	0.13327235742913784	0.8085039506299866	0.3829016374013767	0.6815534147018679	0.5689759615716229	0.0075627790146083704	0.8340007471396442	0.27186995358203847	0.14276426539559972	0.4520072096276456	0.0	2.625691263937854	0.4387053443113713	4.62525697116547	1.3134996188891224	0.23288796913817328	1.2484320363653933	0.2074410602690389
CHEMBL3018	1.7849158824047202	1.2582722050848285	1.7665126295966869	1.0044197345141472	1.0652249284291808	2.7149475799440017	1.2887338969973903	1.5151224774408298	2.111335291799406	1.4671840249554378	2.625691263937854	0.0	1.1751141434134946	1.4876271312182952	0.6296507870332748	1.6552071340983283	2.127326811700171	1.7090754327611193
CHEMBL5407	0.13697154440576337	0.16454364419268153	0.12253716423859608	0.09393232692001427	0.2906713755930542	0.4506364472996778	0.2077922842396755	0.2573416874859855	0.17682332273377882	0.18137249332681638	0.4387053443113713	1.1751141434134946	0.0	3.019035426205371	0.7069691537033855	0.17620476338809402	0.7219983176834184	0.10646968207883564
CHEMBL1741186	3.796291723812514	2.7984108378385493	3.3322201170325627	2.4755552802456195	3.4333082583408556	4.693333105929488	3.158465993364595	3.6556048366497453	4.0940297563007775	2.682738630585044	4.62525697116547	1.4876271312182952	3.019035426205371	0.0	2.9761131470081925	3.80111371844742	2.850240787164701	3.4751591483592605
CHEMBL3991	0.8616860890349847	1.0344531687017233	1.290698775383697	0.7665992999137641	0.19092995159975956	1.4308990558894286	1.142239049311862	0.47613705938959283	1.2059950538223316	0.9538076834517157	1.3134996188891224	0.6296507870332748	0.7069691537033855	2.9761131470081925	0.0	0.7608650064714385	2.058479976789818	0.955888712878452
CHEMBL333	0.06331964777003443	0.4718953938918399	0.30981895433028517	0.34483579790268126	0.25381502387032717	0.2686408252319414	0.4113375044515722	0.16000875957640892	0.18401624164298305	0.2773723050926603	0.23288796913817328	1.6552071340983283	0.17620476338809402	3.80111371844742	0.7608650064714385	0.0	1.0999440136833218	0.09387923654791008
CHEMBL1926488	1.0017283351069195	0.37824571330418755	0.4396052193122858	0.6030003525069334	1.61149387067699	1.199665370297592	0.6182087381941832	1.4751984672221656	0.8012609205110436	0.6546899903769419	1.2484320363653933	2.127326811700171	0.7219983176834184	2.850240787164701	2.058479976789818	1.0999440136833218	0.0	0.7646818882874813
