	id	chembl_cid1	chembl_cid2	core	sub1	sub2	pot1	pot2	dpot	thres	class	core_id	CGR
33	CHEMBL2434989-CHEMBL2436954	CHEMBL2436954	CHEMBL2434989	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCOCC1	[R1]C1CCCCC1	6.049148541111452	6.628932137728263	0.579783596616811	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(C3CCOCC3)~C3CCCCC3)ncnc12
34	CHEMBL2434989-CHEMBL2436955	CHEMBL2436955	CHEMBL2434989	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCCOC1	[R1]C1CCCCC1	6.17979854051436	6.628932137728263	0.44913359721390295	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(C3CCCOC3)~C3CCCCC3)ncnc12
35	CHEMBL2436961-CHEMBL2434989	CHEMBL2436961	CHEMBL2434989	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCCC1O	[R1]C1CCCCC1	6.3439017979871695	6.628932137728263	0.2850303397410938	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(C3CCCC3O)~C3CCCCC3)ncnc12
36	CHEMBL2436940-CHEMBL2436939	CHEMBL2436940	CHEMBL2436939	[R1]c1nc2c(cc[nH]c2=O)c(n1)NC3CCCC3C#N	[R1]N1CCCCC1	[R1]NC	6.356547323513813	8.337242168318426	1.9806948448046129	1.8200392068322544	1	0.0	CN~c1(N2CCCCC2)nc(NC2CCCC2C#N)c2cc[nH]c(=O)c2n1
37	CHEMBL2436941-CHEMBL2436939	CHEMBL2436941	CHEMBL2436939	[R1]c1nc2c(cc[nH]c2=O)c(n1)NC3CCCC3C#N	[R1]N1CCOCC1	[R1]NC	6.420216403383192	8.337242168318426	1.9170257649352351	1.8200392068322544	1	0.0	CN~c1(N2CCOCC2)nc(NC2CCCC2C#N)c2cc[nH]c(=O)c2n1
38	CHEMBL2436939-CHEMBL2436943	CHEMBL2436943	CHEMBL2436939	[R1]c1nc2c(cc[nH]c2=O)c(n1)NC3CCCC3C#N	[R1]c1ccccc1	[R1]NC	7.744727494896692	8.337242168318426	0.5925146734217329	1.8200392068322544	-1	0.0	CN~c1(-c2ccccc2)nc(NC2CCCC2C#N)c2cc[nH]c(=O)c2n1
39	CHEMBL2436939-CHEMBL2436944	CHEMBL2436939	CHEMBL2436944	[R1]c1nc2c(cc[nH]c2=O)c(n1)NC3CCCC3C#N	[R1]NC	[R1]c1c[nH]nc1	8.337242168318426	8.698970004336019	0.36172783601759306	1.8200392068322544	-1	0.0	CNc1(~c2cn[nH]c2)nc(NC2CCCC2C#N)c2cc[nH]c(=O)c2n1
40	CHEMBL2436940-CHEMBL2436941	CHEMBL2436940	CHEMBL2436941	[R1]c1nc2c(cc[nH]c2=O)c(n1)NC3CCCC3C#N	[R1]N1CCCCC1	[R1]N1CCOCC1	6.356547323513813	6.420216403383192	0.06366907986937775	1.8200392068322544	-1	0.0	N#CC1CCCC1Nc1nc(N2CCCCC2)(~N2CCOCC2)nc2c(=O)[nH]ccc12
41	CHEMBL2436942-CHEMBL2436940	CHEMBL2436940	CHEMBL2436942	[R1]c1nc2c(cc[nH]c2=O)c(n1)NC3CCCC3C#N	[R1]N1CCCCC1	[R1]N(C)CCO	6.356547323513813	6.552841968657781	0.19629464514396755	1.8200392068322544	-1	0.0	CN(CCO)~c1(N2CCCCC2)nc(NC2CCCC2C#N)c2cc[nH]c(=O)c2n1
42	CHEMBL2436940-CHEMBL2436944	CHEMBL2436940	CHEMBL2436944	[R1]c1nc2c(cc[nH]c2=O)c(n1)NC3CCCC3C#N	[R1]N1CCCCC1	[R1]c1c[nH]nc1	6.356547323513813	8.698970004336019	2.3424226808222057	1.8200392068322544	1	0.0	N#CC1CCCC1Nc1nc(~c2cn[nH]c2)(N2CCCCC2)nc2c(=O)[nH]ccc12
