	id	chembl_cid1	chembl_cid2	core	sub1	sub2	pot1	pot2	dpot	thres	class	core_id	CGR
0	CHEMBL1939782-CHEMBL1939788	CHEMBL1939788	CHEMBL1939782	[R1]c1c2cc(cc(c2nc3c1c(n[nH]3)C)C)OC	[R1]N1CCOCC1	[R1]N1CCNCC1	7.638272163982407	7.9586073148417755	0.3203351508593677	2.10814779053247	-1	1.0	COc1cc(C)c2nc3[nH]nc(C)c3c(N3CCOCC3)(~N3CCNCC3)c2c1
1	CHEMBL1939789-CHEMBL1939782	CHEMBL1939782	CHEMBL1939789	[R1]c1c2cc(cc(c2nc3c1c(n[nH]3)C)C)OC	[R1]N1CCNCC1	[R1]N1CCCOCC1	7.9586073148417755	8.443697499232712	0.4850901843909376	2.10814779053247	-1	1.0	COc1cc(C)c2nc3[nH]nc(C)c3c(N3CCNCC3)(~N3CCCOCC3)c2c1
3	CHEMBL1939782-CHEMBL1939793	CHEMBL1939782	CHEMBL1939793	[R1]c1c2cc(cc(c2nc3c1c(n[nH]3)C)C)OC	[R1]N1CCNCC1	[R1]N1CCOC(C1)CO	7.9586073148417755	8.017728766960431	0.0591214521186564	2.10814779053247	-1	1.0	COc1cc(C)c2nc3[nH]nc(C)c3c(N3CCNCC3)(~N3CCOC(CO)C3)c2c1
4	CHEMBL1939795-CHEMBL1939782	CHEMBL1939795	CHEMBL1939782	[R1]c1c2cc(cc(c2nc3c1c(n[nH]3)C)C)OC	[R1]N1CCC(CC1)O	[R1]N1CCNCC1	7.853871964321763	7.9586073148417755	0.1047353505200119	2.10814779053247	-1	1.0	COc1cc(C)c2nc3[nH]nc(C)c3c(N3CCC(O)CC3)(~N3CCNCC3)c2c1
5	CHEMBL1939799-CHEMBL1939782	CHEMBL1939799	CHEMBL1939782	[R1]c1c2cc(cc(c2nc3c1c(n[nH]3)C)C)OC	[R1]N1CCCC(C1)CO	[R1]N1CCNCC1	7.5376020021010435	7.9586073148417755	0.4210053127407311	2.10814779053247	-1	1.0	COc1cc(C)c2nc3[nH]nc(C)c3c(N3CCCC(CO)C3)(~N3CCNCC3)c2c1
6	CHEMBL1939782-CHEMBL1939801	CHEMBL1939782	CHEMBL1939801	[R1]c1c2cc(cc(c2nc3c1c(n[nH]3)C)C)OC	[R1]N1CCNCC1	[R1]NCc1ccccn1	7.9586073148417755	8.221848749616356	0.2632414347745815	2.10814779053247	-1	1.0	COc1cc(C)c2nc3[nH]nc(C)c3c(~NCc3ccccn3)(N3CCNCC3)c2c1
7	CHEMBL1939782-CHEMBL1939803	CHEMBL1939803	CHEMBL1939782	[R1]c1c2cc(cc(c2nc3c1c(n[nH]3)C)C)OC	[R1]NC1CCOCC1	[R1]N1CCNCC1	7.920818753952375	7.9586073148417755	0.0377885608893997	2.10814779053247	-1	1.0	COc1cc(C)c2nc3[nH]nc(C)c3c(NC3CCOCC3)(~N3CCNCC3)c2c1
8	CHEMBL1939782-CHEMBL1939804	CHEMBL1939804	CHEMBL1939782	[R1]c1c2cc(cc(c2nc3c1c(n[nH]3)C)C)OC	[R1]NCC1CCOCC1	[R1]N1CCNCC1	7.2839966563652006	7.9586073148417755	0.674610658476575	2.10814779053247	-1	1.0	COc1cc(C)c2nc3[nH]nc(C)c3c(NCC3CCOCC3)(~N3CCNCC3)c2c1
9	CHEMBL1939782-CHEMBL1939807	CHEMBL1939782	CHEMBL1939807	[R1]c1c2cc(cc(c2nc3c1c(n[nH]3)C)C)OC	[R1]N1CCNCC1	[R1]NCC1CNCCO1	7.9586073148417755	8.301029995663981	0.3424226808222066	2.10814779053247	-1	1.0	COc1cc(C)c2nc3[nH]nc(C)c3c(~NCC3CNCCO3)(N3CCNCC3)c2c1
10	CHEMBL1939782-CHEMBL1939809	CHEMBL1939809	CHEMBL1939782	[R1]c1c2cc(cc(c2nc3c1c(n[nH]3)C)C)OC	[R1]NC1CCNCC1	[R1]N1CCNCC1	7.259637310505756	7.9586073148417755	0.6989700043360187	2.10814779053247	-1	1.0	COc1cc(C)c2nc3[nH]nc(C)c3c(NC3CCNCC3)(~N3CCNCC3)c2c1
