	id	chembl_cid1	chembl_cid2	core	sub1	sub2	pot1	pot2	dpot	thres	class	core_id	CGR
0	CHEMBL423743-CHEMBL1229585_CHEMBL18701	CHEMBL1229585_CHEMBL18701	CHEMBL423743	[R1]Oc1cc(ccc1OC)CC2CNC(=O)N2	[R1]CCCC	[R1]C1CCCC1	5.714442690992228	6.349692476868062	0.6352497858758346	0.6018476073624114	-1	2.0	CCCCO(c1cc(CC2CNC(=O)N2)ccc1OC)~C1CCCC1
1	CHEMBL4435831-CHEMBL4436770	CHEMBL4436770	CHEMBL4435831	[R1]C(=O)C#Cc1cc(ccc1OC)C2=NN(C(=O)C3C2CC=CC3)C(C)C	[R1]NCc1ccccc1	[R1]NCCCn1ccnc1	6.0999990348465305	6.19999817218203	0.0999991373354998	0.6018476073624114	-1	1.0	COc1ccc(C2=NN(C(C)C)C(=O)C3CC=CCC23)cc1C#CC(=O)(NCc1ccccc1)~NCCCn1ccnc1
2	CHEMBL4435831-CHEMBL4439032	CHEMBL4435831	CHEMBL4439032	[R1]C(=O)C#Cc1cc(ccc1OC)C2=NN(C(=O)C3C2CC=CC3)C(C)C	[R1]NCCCn1ccnc1	[R1]NCc1ccc(o1)C	6.19999817218203	6.699991797446188	0.4999936252641577	0.6018476073624114	-1	1.0	COc1ccc(C2=NN(C(C)C)C(=O)C3CC=CCC23)cc1C#CC(=O)(NCCCn1ccnc1)~NCc1ccc(C)o1
3	CHEMBL4435831-CHEMBL4439778	CHEMBL4435831	CHEMBL4439778	[R1]C(=O)C#Cc1cc(ccc1OC)C2=NN(C(=O)C3C2CC=CC3)C(C)C	[R1]NCCCn1ccnc1	[R1]NCc1cnn(c1)C	6.19999817218203	6.19999817218203	0.0	0.6018476073624114	-1	1.0	COc1ccc(C2=NN(C(C)C)C(=O)C3CC=CCC23)cc1C#CC(=O)(NCCCn1ccnc1)~NCc1cnn(C)c1
4	CHEMBL4435831-CHEMBL4439798	CHEMBL4439798	CHEMBL4435831	[R1]C(=O)C#Cc1cc(ccc1OC)C2=NN(C(=O)C3C2CC=CC3)C(C)C	[R1]NCCc1cccs1	[R1]NCCCn1ccnc1	6.0999990348465305	6.19999817218203	0.0999991373354998	0.6018476073624114	-1	1.0	COc1ccc(C2=NN(C(C)C)C(=O)C3CC=CCC23)cc1C#CC(=O)(NCCc1cccs1)~NCCCn1ccnc1
5	CHEMBL4435831-CHEMBL4443772	CHEMBL4443772	CHEMBL4435831	[R1]C(=O)C#Cc1cc(ccc1OC)C2=NN(C(=O)C3C2CC=CC3)C(C)C	[R1]NCCc1ccccc1F	[R1]NCCCn1ccnc1	6.0999990348465305	6.19999817218203	0.0999991373354998	0.6018476073624114	-1	1.0	COc1ccc(C2=NN(C(C)C)C(=O)C3CC=CCC23)cc1C#CC(=O)(NCCc1ccccc1F)~NCCCn1ccnc1
6	CHEMBL4435831-CHEMBL4444414	CHEMBL4435831	CHEMBL4444414	[R1]C(=O)C#Cc1cc(ccc1OC)C2=NN(C(=O)C3C2CC=CC3)C(C)C	[R1]NCCCn1ccnc1	[R1]NCc1ccco1	6.19999817218203	6.399996913372259	0.1999987411902291	0.6018476073624114	-1	1.0	COc1ccc(C2=NN(C(C)C)C(=O)C3CC=CCC23)cc1C#CC(=O)(NCCCn1ccnc1)~NCc1ccco1
7	CHEMBL4435831-CHEMBL4445489	CHEMBL4435831	CHEMBL4445489	[R1]C(=O)C#Cc1cc(ccc1OC)C2=NN(C(=O)C3C2CC=CC3)C(C)C	[R1]NCCCn1ccnc1	[R1]NCc1c(nc(s1)C)C	6.19999817218203	6.5999976540720455	0.3999994818900152	0.6018476073624114	-1	1.0	COc1ccc(C2=NN(C(C)C)C(=O)C3CC=CCC23)cc1C#CC(=O)(NCCCn1ccnc1)~NCc1sc(C)nc1C
8	CHEMBL4435831-CHEMBL4445930	CHEMBL4435831	CHEMBL4445930	[R1]C(=O)C#Cc1cc(ccc1OC)C2=NN(C(=O)C3C2CC=CC3)C(C)C	[R1]NCCCn1ccnc1	[R1]NCc1cccnc1	6.19999817218203	6.299997602857746	0.09999943067571593	0.6018476073624114	-1	1.0	COc1ccc(C2=NN(C(C)C)C(=O)C3CC=CCC23)cc1C#CC(=O)(NCCCn1ccnc1)~NCc1cccnc1
9	CHEMBL4435831-CHEMBL4453045	CHEMBL4453045	CHEMBL4435831	[R1]C(=O)C#Cc1cc(ccc1OC)C2=NN(C(=O)C3C2CC=CC3)C(C)C	[R1]Nc1cccc(c1)OC	[R1]NCCCn1ccnc1	6.0	6.19999817218203	0.1999981721820303	0.6018476073624114	-1	1.0	COc1cccc(NC(=O)(C#Cc2cc(C3=NN(C(C)C)C(=O)C4CC=CCC34)ccc2OC)~NCCCn2ccnc2)c1
