	id	chembl_cid1	chembl_cid2	core	sub1	sub2	pot1	pot2	dpot	thres	class	core_id	CGR
0	CHEMBL3088063-CHEMBL3085836	CHEMBL3085836	CHEMBL3088063	[R1]Oc1ccc(c(c1)OC2CCC3CNC(CC3C2)C(=O)O)c4[nH]nnn4	[R1]Cc1ccccc1	[R1]C	4.769551078621727	5.698970004336019	0.929418925714292	3.3795099939222815	-1	1.0	C~O(Cc1ccccc1)c1ccc(-c2nnn[nH]2)c(OC2CCC3CNC(C(=O)O)CC3C2)c1
1	CHEMBL3085836-CHEMBL3088064	CHEMBL3085836	CHEMBL3088064	[R1]c1ccc(c(c1)OC2CCC3CNC(CC3C2)C(=O)O)c4[nH]nnn4	[R1]OCc1ccccc1	[R1]c1ccccc1	4.769551078621727	5.638272163982407	0.8687210853606802	3.3795099939222815	-1	0.0	O=C(O)C1CC2CC(Oc3cc(OCc4ccccc4)(~c4ccccc4)ccc3-c3nnn[nH]3)CCC2CN1
2	CHEMBL3085836-CHEMBL3088068	CHEMBL3085836	CHEMBL3088068	[R1]c1ccc(c(c1)OC2CCC3CNC(CC3C2)C(=O)O)c4[nH]nnn4	[R1]OCc1ccccc1	[R1]c1ccccc1Cl	4.769551078621727	4.886056647693163	0.1165055690714362	3.3795099939222815	-1	0.0	O=C(O)C1CC2CC(Oc3cc(OCc4ccccc4)(~c4ccccc4Cl)ccc3-c3nnn[nH]3)CCC2CN1
3	CHEMBL3085836-CHEMBL3088069	CHEMBL3085836	CHEMBL3088069	[R1]c1ccc(c(c1)OC2CCC3CNC(CC3C2)C(=O)O)c4[nH]nnn4	[R1]OCc1ccccc1	[R1]c1cccc(c1)Cl	4.769551078621727	5.769551078621726	0.9999999999999992	3.3795099939222815	-1	0.0	O=C(O)C1CC2CC(Oc3cc(OCc4ccccc4)(~c4cccc(Cl)c4)ccc3-c3nnn[nH]3)CCC2CN1
4	CHEMBL3085836-CHEMBL3088070	CHEMBL3085836	CHEMBL3088070	[R1]c1ccc(c(c1)OC2CCC3CNC(CC3C2)C(=O)O)c4[nH]nnn4	[R1]OCc1ccccc1	[R1]c1ccc(cc1)Cl	4.769551078621727	8.522878745280337	3.7533276666586106	3.3795099939222815	1	0.0	O=C(O)C1CC2CC(Oc3cc(OCc4ccccc4)(~c4ccc(Cl)cc4)ccc3-c3nnn[nH]3)CCC2CN1
5	CHEMBL3085836-CHEMBL3088071	CHEMBL3085836	CHEMBL3088071	[R1]c1ccc(c(c1)OC2CCC3CNC(CC3C2)C(=O)O)c4[nH]nnn4	[R1]OCc1ccccc1	[R1]c1nccs1	4.769551078621727	5.657577319177793	0.8880262405560666	3.3795099939222815	-1	0.0	O=C(O)C1CC2CC(Oc3cc(OCc4ccccc4)(~c4nccs4)ccc3-c3nnn[nH]3)CCC2CN1
6	CHEMBL3085836-CHEMBL3088072	CHEMBL3085836	CHEMBL3088072	[R1]c1ccc(c(c1)OC2CCC3CNC(CC3C2)C(=O)O)c4[nH]nnn4	[R1]OCc1ccccc1	[R1]c1cccs1	4.769551078621727	5.356547323513811	0.5869962448920845	3.3795099939222815	-1	0.0	O=C(O)C1CC2CC(Oc3cc(OCc4ccccc4)(~c4cccs4)ccc3-c3nnn[nH]3)CCC2CN1
7	CHEMBL3085836-CHEMBL3088073	CHEMBL3088073	CHEMBL3085836	[R1]c1ccc(c(c1)OC2CCC3CNC(CC3C2)C(=O)O)c4[nH]nnn4	[R1]c1cccnc1	[R1]OCc1ccccc1	4.698970004336019	4.769551078621727	0.07058107428570799	3.3795099939222815	-1	0.0	O=C(O)C1CC2CC(Oc3cc(~OCc4ccccc4)(-c4cccnc4)ccc3-c3nnn[nH]3)CCC2CN1
8	CHEMBL3088074-CHEMBL3085836	CHEMBL3085836	CHEMBL3088074	[R1]Oc1ccc(c(c1)OC2CCC3CNC(CC3C2)C(=O)O)c4[nH]nnn4	[R1]Cc1ccccc1	[R1]C(C)C	4.769551078621727	4.920818753952375	0.1512676753306481	3.3795099939222815	-1	1.0	CC(C)~O(Cc1ccccc1)c1ccc(-c2nnn[nH]2)c(OC2CCC3CNC(C(=O)O)CC3C2)c1
9	CHEMBL3088063-CHEMBL3088064	CHEMBL3088064	CHEMBL3088063	[R1]c1ccc(c(c1)OC2CCC3CNC(CC3C2)C(=O)O)c4[nH]nnn4	[R1]c1ccccc1	[R1]OC	5.638272163982407	5.698970004336019	0.0606978403536118	3.3795099939222815	-1	0.0	CO~c1(-c2ccccc2)ccc(-c2nnn[nH]2)c(OC2CCC3CNC(C(=O)O)CC3C2)c1
