,1,2,bool
[R1]C([CH2])C(C[CH2])N([CH])[N],9,9,True
[CH2]C([CH])n1cncn1,9,9,True
[CH]n1cncn1,18,18,True
C1=NC=N[N]1,84,84,True
[R1]C([CH2])([CH2])[CH2],33,33,True
[CH2]N([CH])[N],33,33,True
[R1]C1(CCCC1)C[N],21,21,True
[R1]C1(CCCC1)[CH2],21,21,True
C1CC[C]C1,21,21,True
[R1]C([CH2])([CH2])CN([CH])[N],13,13,True
[C]Cn1cncn1,24,24,True
[CH2]n1cncn1,66,66,True
[R1]C(C[CH2])(C[CH2])C[N],7,7,True
[R1]C([CH2])([CH2])CC[CH2],12,12,True
[CH2]CCC[CH2],91,91,True
[R1]C([CH2])[CH2],94,94,True
[R1]C(C[CH2])C[CH2],39,39,True
[R1]C([CH2])CC[CH2],22,22,True
[OH],153,153,True
[C]C[NH],186,186,True
[CH2]N[CH2],60,60,True
[CH2]C(=O)O,12,12,True
[C]O,58,58,True
[R1]C(=C(C[NH])C=[CH])[CH],48,48,True
[CH2]NCC(=[C])[CH],32,32,True
[CH2]CNC[C],33,33,True
[CH2]NCC[C],20,20,True
C(C[NH])C(=O)O,12,12,True
[CH2]CC(=O)O,12,12,True
[CH]C(=[C])[CH],51,51,True
CC([C])[NH],8,8,True
C[CH],513,513,True
[CH]N[CH],22,22,True
C1CC1[NH],32,32,True
C1C[CH]1,17,17,True
[R1]C(=C([CH])[CH])C=[CH],20,20,True
[CH]C=CC(=[C])[CH],51,51,True
[R1]C(=C(C=[CH])C(C)[NH])[CH],8,8,True
CC(C(=[C])[CH])N[CH],8,8,True
CC([C])NC1CC1,8,8,True
[CH]NC1CC1,8,8,True
[S],209,209,True
[C]=C([C])[N],9,9,True
[CH2]N([C])[S],8,8,True
CS(=O)(=O)[N],8,8,True
O=S,46,46,True
C[S],44,44,True
[R1]C(=C([C])[N])C=[CH],9,9,True
[CH]C=C1CC[N]C1=[C],8,8,True
[R1]C(=C1C(=[CH])CCN1[S])[CH],8,8,True
CS(=O)(=O)N1CC[C]C1=[C],8,8,True
C1CN([C][C]1)[S],8,8,True
