,1,2,bool
[R1]C(=O)O[C],1,1,True
[R1]C(=O)OC(=[CH])[CH],1,1,True
[CH]C=CC(=[CH])[O],7,7,True
CC(C)[NH],7,7,True
[R1]C(=O)N[CH],1,1,True
[R1]C(=O)NC(C)C,1,1,True
CC(C)N[C],1,1,True
CC([CH2])[NH],16,16,True
[R1]CNC(C)[CH2],11,11,True
CC(C[O])N[CH2],11,11,True
CC(COC)[NH],16,16,True
[R1]C([CH2])O,5,5,True
[R1]C(C[CH])O,4,4,True
[R1]C(CC(C)C)O,4,4,True
[R1]C([CH2])N,15,15,True
[R1]C(C[CH])N,11,11,True
[R1]C(CC(C)C)N,11,11,True
[R1]C(=O)CC(=[CH])[S],4,4,True
[C]Cc1cccs1,4,4,True
[CH]=C(CN[C])[S],1,1,True
c1cc(sc1)C[NH],3,3,True
[R1]C(=O)NC(=[CH])[CH],1,1,True
[CH]=CC(=C[CH])N[C],26,26,True
[CH]C=CC(=[CH])[NH],13,13,True
[CH]C(=[C])CC[NH],4,4,True
[R1]C(=[N])[C],1,1,True
[CH]N=[C],55,55,True
[R1]C(=N[CH])C(=[CH])[CH2],1,1,True
[R1]C(=[N])C(=C[CH])C[NH],1,1,True
[C]=CC=C[N],1,1,True
[CH]C=CN=[C],25,25,True
[R1]C(=NC=[CH])[C],1,1,True
[CH2]NCC(=[CH])[C],1,1,True
[CH2]NCCO,1,1,True
C(CO)[NH],1,1,True
[R1][S],15,15,True
[R1]S(=O)(=O)C,5,5,True
[R1]C(=O)OC,3,3,True
[R1]C(=O)C,5,5,True
[R1]C(=O)CN,8,8,True
[R1]C([CH2])[O],3,3,True
[CH2]O[CH],36,36,True
[R1]C1CCCO1,9,9,True
C1C[CH]OC1,12,12,True
[R1]C(=O)C[CH2],10,10,True
[R1]C(=O)CCN,10,10,True
[R1]C(C)C[C],283,283,True
[R1]C(C)CC(=[CH])[CH],165,165,True
[CH]CC(=C[CH])C=[CH],31,31,True
[CH]CC(=C[C])C=[CH],134,134,True
[CH]=CC=C([CH])Cl,40,40,True
[CH]C=C(C=[C])Cl,40,40,True
[CH2]C(=CC(=[CH])Cl)[CH],37,37,True
[CH2]OC(=C[CH])C=[C],27,27,True
CCOC(=[CH])[CH],27,27,True
CC(=[C])[CH],68,68,True
[R1]C(C)CC(=[C])[CH],118,118,True
CC(=C(C[CH])C=[CH])[CH],28,28,True
[CH2]C(=[C])C=C[C],145,145,True
CC(=[C])C=C([CH])Cl,25,25,True
CC(=C([CH2])[CH])C=[C],28,28,True
[CH]C(=[C])O,26,26,True
[CH]CC(=C([CH])O)C=[CH],20,20,True
[CH]C(=CC(=[C])O)Cl,26,26,True
[CH2]C(=C(C=[C])O)[CH],20,20,True
[CH]CC(=C([CH])[O])C=[CH],39,39,True
[CH]C(=CC(=[C])[O])Cl,42,42,True
COC(=C([CH2])[CH])C=[C],41,41,True
[CH]CC(=C([CH])Cl)C=[CH],22,22,True
[CH2]C(=C(C=[C])Cl)[CH],33,33,True
[R1]C(C)(C)C[C],40,40,True
[R1]C(C)(C)CC(=[CH])[CH],40,40,True
[R1]CCC(=[CH])[CH],10,10,True
[CH2]CC(=C[CH])C=[CH],5,5,True
[CH]CC(=C([CH])F)C=[CH],9,9,True
[CH]C(=CC(=[C])F)Cl,15,15,True
[CH2]C(=C(C=[C])F)[CH],23,23,True
CC(=C(C=[CH])Cl)[CH],11,11,True
CC(=C([CH])Cl)C=[C],11,11,True
CC(=[C])C=C([CH2])[CH],26,26,True
CC(=[C])C=C[C],20,20,True
CC(=C(C)C=[CH])[CH],20,20,True
CC(=C(C)C=[C])[CH],20,20,True
COC(=C([CH])F)C=[CH],46,46,True
[CH]C(=C(C=[C])F)[O],46,46,True
[CH2]C(=CC(=[C])F)[CH],24,24,True
[CH]=CC(=C([CH])[O])Cl,20,20,True
COC(=C([CH])Cl)C=[C],20,20,True
CC(=C[C])C=[CH],12,12,True
CC(=CC(=[C])C)[CH],12,12,True
[CH]=C([CH])[CH],103,103,True
[R1]C1CNCC1[C],12,12,True
[R1]C1CNC[CH]1,12,12,True
C1[CH][CH]CN1,12,12,True
[C]C1CNC[CH]1,12,12,True
[R1]C1CNCC1C(=[CH])[CH],12,12,True
[CH2]C([CH])C(=C[CH])C=[CH],73,73,True
[CH]=C([CH])C=C[C],103,103,True
[CH]C[S],25,25,True
[CH2]S[CH2],25,25,True
[R1]C1CSCC1[C],25,25,True
[R1]C1CSC[CH]1,25,25,True
C1[CH][CH]CS1,25,25,True
[C]C1CSC[CH]1,25,25,True
[R1]C1CSCC1C(=[CH])[CH],25,25,True
[R1]C1COCC1[C],24,24,True
[R1]C1COC[CH]1,24,24,True
C1[CH][CH]CO1,24,24,True
[C]C1COC[CH]1,24,24,True
[R1]C1COCC1C(=[CH])[CH],24,24,True
[CH]C([C])[O],30,30,True
[R1]C1CCOC1[C],30,30,True
[R1]C1CCO[CH]1,30,30,True
C1CO[CH][CH]1,30,30,True
[C]C1[CH]CCO1,30,30,True
[R1]C1CCOC1C(=[CH])[CH],30,30,True
[CH]=CC(=C[CH])C([CH])[O],30,30,True
[R1]C([CH])[NH],47,47,True
[R1]C1C(CCN1)[C],12,12,True
[R1]C1C(CCN1)C(=[CH])[CH],12,12,True
[C]C1CCN[CH]1,12,12,True
C1CN[CH][CH]1,12,12,True
[R1]C1[CH]CCN1,12,12,True
[CH2]CC(=C([CH])Cl)C=[CH],12,12,True
[R1]C([CH])N,7,7,True
[R1]C(C(C)[CH2])N,2,2,True
[R1]C(C(C)CC)N,2,2,True
[R1]C([CH2])[NH],34,34,True
[R1]C(C[CH])N[C],20,20,True
[R1]C(CC(C)C)[NH],32,32,True
[R1]C([CH2])NC(=O)[CH2],20,20,True
[CH]NC(=O)CN,15,15,True
[CH2]CC(=O)N[CH],14,14,True
[R1]C(C(C)[CH2])N[CH2],22,22,True
[R1]C(C(C)CC)[NH],35,35,True
[R1]C([CH])NC[CH2],9,9,True
[CH]NCCN,5,5,True
[R1]C([CH])NC[CH],10,10,True
[CH2]C(CN[CH])[NH],5,5,True
C1CC(NC1)C[NH],5,5,True
[R1]C(C(C)[CH2])N[C],12,12,True
[R1]C([CH])NC(=O)[CH2],9,9,True
C(CN)C[NH],4,4,True
CC[NH],7,7,True
[R1]C(C[CH])N[CH2],9,9,True
[R1]C([CH2])NCC,4,4,True
CCN[CH],7,7,True
CC([CH2])N,5,5,True
CC(CN[CH])N,4,4,True
CC(C[NH])N,4,4,True
[R1]C(C(C)C)N,5,5,True
[R1]C(C)N,7,7,True
[R1]C(C[CH2])N,4,4,True
[R1]C(CC[CH2])N,4,4,True
CCCC[CH],4,4,True
CCC[CH2],10,10,True
[R1]C([CH2])NC[CH2],5,5,True
[CH]NCC[O],5,5,True
COCC[NH],5,5,True
CC(=O)[NH],32,32,True
[R1]C([CH])NC(=O)C,3,3,True
CC(=O)N[CH],3,3,True
[R1]C([CH])NCC,3,3,True
[CH2]CC(=C[C])C=[CH],6,6,True
CC(=CC=[CH])[CH],4,4,True
CC(=C[CH])C=[C],4,4,True
CC(=[CH])C=C([CH2])[CH],2,2,True
[CH]C=C(C=[C])C(F)(F)F,2,2,True
[CH2]C(=CC(=[CH])[C])[CH],2,2,True
[R1]CCN,7,7,True
[R1]CN,6,6,True
[CH2]C([CH2])[O],3,3,True
[R1]CC([CH2])[O],2,2,True
[R1]CC1CCCO1,2,2,True
[CH2]C1CCCO1,6,6,True
[CH]N[S],1,1,True
[R1]C(C(C)[CH2])N[S],1,1,True
[R1]C([CH])NS(=O)(=O)C,1,1,True
CS(=O)(=O)N[CH],1,1,True
[R1]CC(C)N,1,1,True
[R1]C1CCCN1,6,6,True
[R1]C,6,6,True
[R1]C(C[CH])NC,3,3,True
[R1]C([CH2])NC,3,3,True
[R1]CC([CH2])[NH],1,1,True
[R1]CC1CCCN1,1,1,True
[R1]CC,1,1,True
[R1]C(C)CC,1,1,True
[CH2]C(CN[CH])[O],1,1,True
C1CC(OC1)C[NH],1,1,True
[R1]CCC(=[CH])[C],6,6,True
[CH2]CC1=CS[C]C1=[CH],1,1,True
[CH2]C1=CS[C][C]1,1,1,True
[CH2]c1csc(=[CH])c1=C[CH],1,1,True
[CH2]CC1=CN[C]C1=[CH],4,4,True
[CH2]C1=CN[C][C]1,4,4,True
[CH2]c1c[nH]c(=[CH])c1=C[CH],4,4,True
CN([CH])[C],28,28,True
[CH]=C([C])[N],24,24,True
[CH2]CC1=C[N][C]C1=[CH],1,1,True
CN1C=C([C][C]1)[CH2],1,1,True
CN1C=[C][C]C1=[CH],20,20,True
Cn1c[c]c(=[CH])c1=C[CH],20,20,True
[CH2]C1=C[N]C(=[CH])C1=C[CH],1,1,True
[CH]=CC=C([C])[N],24,24,True
[CH]=C([C])Cl,2,2,True
[R1]CCC(=[C])[C],3,3,True
[CH2]CC(=C([CH])Cl)C(=[CH])Cl,1,1,True
[CH2]C(=[C])C(=C[CH])Cl,1,1,True
[CH]=CC=C([C])Cl,2,2,True
CC(=[C])[NH],2,2,True
CC1=C(C(=[CH])[C]N1)C[CH2],2,2,True
CC1=C([C][C]N1)[CH2],2,2,True
CC1=[C][C]C(=[CH])N1,2,2,True
[CH]C=c1c(=[CH])[c][c][nH]1,2,2,True
[CH2]c1[c][nH]c(=[CH])c1=C[CH],2,2,True
[CH2]C(=[C])C=C([CH])[O],1,1,True
COC(=C[C])C=[CH],44,44,True
[R1]CCC(=O)[C],4,4,True
[CH2]CC(=O)C(=[CH])[CH],4,4,True
[CH2]C(=O)C(=C[CH])C=[CH],14,14,True
[R1]C=[N],8,8,True
[CH]=N[NH],9,9,True
[C]N[N],9,9,True
C(=N)(N)[NH],9,9,True
[C]=N,9,9,True
[R1]C=N[NH],8,8,True
[R1]C=NN[C],8,8,True
[CH]=NNC(=N)N,9,9,True
C(=N)(N)N[N],9,9,True
CC([CH2])[C],2,2,True
[CH]C(=O)[C],2,2,True
[R1]CC(C)[C],2,2,True
[R1]CC(C)C(=O)[C],2,2,True
CC([CH2])C(=O)C(=[CH])[CH],2,2,True
[CH]=CC(=C[CH])C(=O)[CH],2,2,True
[R1]C(=C(C=[C])F)[CH],42,42,True
[R1]C(=C(C)[CH])C=[CH],9,9,True
[R1]C(=C(C)C=[C])[CH],9,9,True
[R1]C(=C([CH])O)C=[CH],6,6,True
[R1]C(=C(C=[C])O)[CH],6,6,True
[R1]C(=CC(=[C])C)[CH],5,5,True
[R1]C(=C(C=[C])OC)[CH],25,25,True
[R1]C(=CC(=[C])F)[CH],32,32,True
[R1]CC(=C([CH])Cl)C=[CH],1,1,True
[R1]C[S],2,2,True
[CH2]S[C],2,2,True
[CH]C(=[C])[S],22,22,True
[R1]CS[C],2,2,True
[R1]CSC(=[C])[CH],2,2,True
[CH2]SC(=C([CH])Cl)C=[CH],2,2,True
[C]C=CC(=[C])[S],2,2,True
[CH]C(=C(C=[C])Cl)[S],2,2,True
[R1]C[O],8,8,True
[R1]CO[C],8,8,True
[R1]COC(=[CH])[CH],6,6,True
[CH2]OC(=C[C])C=[CH],4,4,True
[CH]C(=CC(=[C])Cl)[O],1,1,True
[C]=C([C])Cl,1,1,True
[R1]COC(=[C])[CH],2,2,True
[CH2]OC(=C([C])Cl)C=[CH],1,1,True
[CH]C=C(C(=[C])Cl)Cl,1,1,True
[CH]=C(C(=C([CH])[O])Cl)Cl,1,1,True
[CH2]N([CH])[C],2,2,True
[R1]CN([CH])[C],2,2,True
[R1]CN1C=N[C]C1=[CH],2,2,True
[CH2]N1C=N[C][C]1,2,2,True
[CH]=C1[C][N]C=N1,2,2,True
[CH]C=C1C(=[CH])[N]C=N1,2,2,True
[CH2]n1cnc(=[CH])c1=C[CH],2,2,True
[CH2]OC(=C[CH])C=[CH],2,2,True
[CH2]OC(=C([CH])[C])C=[CH],1,1,True
[CH]=CC(=C([CH])[O])C(=[CH])[CH],1,1,True
[CH]C(=[C])C=C([CH])[O],2,2,True
[CH]=C(C=C([CH])[O])Cl,1,1,True
C(=O)(N)[NH],2,2,True
[R1]CCN[C],4,4,True
[CH2]CNC(=O)N,2,2,True
[CH2]NC(=O)N,2,2,True
[R1]CCC[NH],1,1,True
[R1]N([CH2])[C],6,6,True
[CH2]C(=O)[N],6,6,True
[R1]N1CCCC1=O,12,12,True
[R1]N1CCC[C]1,6,6,True
C1C[C][N]C1,6,6,True
C1CC(=O)[N]C1,6,6,True
[R1]N[CH2],140,140,True
[R1]NC[CH],7,7,True
[R1]NCC([CH2])[CH2],7,7,True
C1COCC1C[NH],2,2,True
[CH2]C1CCOC1,4,4,True
C1COC[CH]1,4,4,True
CN[CH2],10,10,True
[R1]NC(=O)C[NH],8,8,True
CNCC(=O)[NH],8,8,True
CNC[C],9,9,True
CC([C])N,5,5,True
[R1]NC(=O)C(C)N,5,5,True
CC(C(=O)[NH])N,5,5,True
CC(C)([C])[NH],4,4,True
CN[C],14,14,True
[R1]NC(=O)C(C)(C)[NH],4,4,True
CC(C)(C(=O)[NH])NC,4,4,True
CC(C)([C])NC,4,4,True
[R1]N,3,3,True
[R1]N(C)C,5,5,True
[R1]N(CC)CC,7,7,True
[R1]N([CH2])CC,20,20,True
[R1]N([CH2])CC[O],5,5,True
[R1]C([CH2])CC[N],5,5,True
CN([CH2])CC[CH],5,5,True
[R1]CNC,1,1,True
[R1]NC,1,1,True
[R1]CCCN,1,1,True
[R1]N1CCCC1,12,12,True
CN(C)CC[CH2],1,1,True
CN(C)C[CH2],2,2,True
[CH2]CN1CCCC1,1,1,True
CC(=O)[C],62,62,True
CC(=O)C(=C[CH])C=[CH],46,46,True
CC(=O)C(=[CH])[CH],62,62,True
[R1]C(=O)[C],20,20,True
[R1]C(=O)C(=[CH])[CH],20,20,True
[R1]C(=O)C(=C[CH])C=[CH],20,20,True
[R1]C(C)(C)C[N],2,2,True
[R1]C(C)(C)CN(C)C,2,2,True
CC(=O)C(=C[CH])C=[C],16,16,True
[R1]C(=CC(=[CH])[C])[CH],12,12,True
[R1]C(=C[N])C=[CH],30,30,True
[R1]C(=CN=[CH])[CH],30,30,True
[R1]C1=C[N][C]C1=[CH],19,19,True
[R1]C1=CN([C][C]1)C,19,19,True
[R1]C1=C[N]C(=[CH])C1=C[CH],19,19,True
[C]S[C],20,20,True
[R1]c1c[c][c]s1,20,20,True
[R1]c1cc([c]s1)[CH],20,20,True
[CH]=Cc1c[c]sc1[CH],20,20,True
[CH]C=CC(=[C])[S],20,20,True
[CH]=Cc1c(c[c]s1)[CH],20,20,True
[R1]c1c[c]c(s1)[CH],20,20,True
CCC(=O)C(=[CH])[CH],10,10,True
CCC(=O)[C],10,10,True
[CH]=CC(=C[CH])C(=O)[NH],10,10,True
CNC(=O)C(=[CH])[CH],10,10,True
CNC(=O)[C],10,10,True
CC(=O)NC(=[CH])[CH],25,25,True
CC(=O)N[C],25,25,True
[CH]=C([CH])OC(=[CH])[CH],5,5,True
[R1]NC(=C[C])C=[CH],4,4,True
[CH]=C([C])C=C([CH])[NH],4,4,True
[CH]C=c1c(=[C])cc[nH]1,9,9,True
[R1]C(=c1cc[nH]c1=[CH])[CH],5,5,True
[C]=C1C=CN[C]1,9,9,True
[CH]=C1[C]C=CN1,9,9,True
[CH]S[CH],29,29,True
[R1]c1ccsc1,72,72,True
c1csc[c]1,58,58,True
CC(=O)NC[CH2],4,4,True
CC(=O)N[CH2],4,4,True
[R1]CC[O],1,1,True
[R1]CCOC,1,1,True
[C]C(=O)N,9,9,True
[CH]=CC(=C[CH])C(=O)N,9,9,True
[CH]=C([CH])C(=O)N,9,9,True
[CH]=CC(=C[CH])C(=[CH])[CH],10,10,True
[CH2]N([CH2])C(=C[CH])C=[CH],9,9,True
[CH2]CN(C[CH2])C(=[CH])[CH],9,9,True
[CH2]CCN([CH2])[C],9,9,True
[R1]NC(=C[N])C=[CH],4,4,True
[CH]C(=CN=[CH])[NH],4,4,True
[R1]NC(=[C])[CH],4,4,True
[R1]NC(=C([CH])[C])C=[CH],4,4,True
[CH]=c1c(=C([CH])[NH])cc[nH]1,4,4,True
[R1]Nc1ccsc1,2,2,True
c1cscc1[NH],4,4,True
[R1]NC[C],122,122,True
[R1]NCC(=[CH])[CH],67,67,True
[CH]=CC(=C[CH])C[NH],40,40,True
[R1]NC[CH2],11,11,True
[R1]NCC[NH],2,2,True
[C]NCC[NH],2,2,True
[R1]N(C)[CH2],16,16,True
[R1]N(C)C[C],16,16,True
[R1]N(C)CC(=[CH])[CH],16,16,True
[CH2]C(=[CH])C=C[N],5,5,True
[R1]S(=O)(=O)[CH2],5,5,True
[C]C[S],10,10,True
[R1]S(=O)(=O)C[C],5,5,True
[R1]S(=O)(=O)CC(=[CH])[CH],5,5,True
[CH]=CC(=C[CH])C[S],10,10,True
[R1]S(=O)(=O)[C],5,5,True
[CH]=C([CH])[S],24,24,True
[R1]S(=O)(=O)C(=[CH])[CH],5,5,True
[R1]S(=O)(=O)C(=C[CH])C=[CH],5,5,True
[CH]C=CC(=[CH])[S],10,10,True
[CH]O[CH],21,21,True
[C]=C[O],21,21,True
[R1]Cc1ccoc1,4,4,True
[CH2]c1ccoc1,12,12,True
c1coc[c]1,42,42,True
[CH2]C(=[N])[S],6,6,True
[R1]CC(=[N])[S],4,4,True
[R1]Cc1nccs1,4,4,True
[CH2]c1nccs1,12,12,True
c1cs[c]n1,30,30,True
[CH2]C(=[CH])[N],12,12,True
[R1]CC(=[CH])[N],4,4,True
[R1]Cc1c[nH]cn1,4,4,True
[CH2]c1c[nH]cn1,16,16,True
[CH2]C(=[N])[N],6,6,True
[R1]CC(=[N])[N],1,1,True
[R1]Cc1nccn1C,1,1,True
[CH2]C1=NC=C[N]1,6,6,True
C1=C[N][C]=N1,8,8,True
Cn1ccn[c]1,8,8,True
Cn1ccnc1[CH2],6,6,True
[C]C=[N],14,14,True
[R1]CC(=C[N])C=[N],4,4,True
[CH2]C(=[CH])C=N[CH],8,8,True
[C]C=NC=[N],14,14,True
[CH]=NC=N[CH],14,14,True
[CH2]C(=[N])[CH],12,12,True
[R1]CC(=[N])[CH],5,5,True
[R1]CC(=N[CH])C=[CH],5,5,True
[CH2]C(=[N])C=C[CH],12,12,True
[CH]=CC=C[N],24,24,True
[CH2]C(=NC=[CH])[CH],12,12,True
[R1]CC(=C([CH])[O])C=[CH],8,8,True
[R1]CC(=C([CH])[C])C=[CH],4,4,True
[CH2]C(=C(C=[CH])C(F)(F)F)[CH],8,8,True
[CH]C(=[C])C(F)(F)F,21,21,True
[CH2]C(=C(C=[CH])O[C])[CH],7,7,True
[CH]C(=[C])OC(F)(F)F,15,15,True
CC(C)[O],20,20,True
[CH]=CC(=C[CH])O[CH],20,20,True
CC(C)OC(=[CH])[CH],20,20,True
CC(C)O[C],20,20,True
[CH]C(=CC(=[C])F)[O],19,19,True
[R1]N(CC)C[C],13,13,True
[R1]N([CH2])CC(=[CH])[CH],13,13,True
[R1]NC(=O)C[C],5,5,True
[CH]=C([CH])CC(=O)[NH],5,5,True
[CH2]C(=[CH])[O],5,5,True
[R1]CC(=[CH])[O],3,3,True
[R1]Cc1ccco1,3,3,True
[CH2]c1ccco1,10,10,True
[R1]CC(=C[N])C=[CH],3,3,True
[CH2]C(=CN=[CH])[CH],5,5,True
[R1]N[S],10,10,True
[CH2]S(=O)(=O)[NH],5,5,True
[R1]NS(=O)(=O)[CH2],5,5,True
[R1]NS(=O)(=O)C[C],5,5,True
[CH]=C([CH])CS(=O)(=O)[NH],5,5,True
[C]S(=O)(=O)[NH],5,5,True
[R1]NS(=O)(=O)[C],5,5,True
[R1]NS(=O)(=O)C(=[CH])[CH],5,5,True
[CH]=CC(=C[CH])S(=O)(=O)[NH],5,5,True
[R1]N[CH],11,11,True
[R1]NC(C)[CH2],5,5,True
[R1]NC(C)C[O],5,5,True
[R1]c1ccoc1,45,45,True
[R1]C(=[N])[S],9,9,True
[R1]c1nccs1,27,27,True
[R1]C(=C[N])C=[N],6,6,True
[R1]C(=[CH])C=N[CH],6,6,True
[R1]C(=[N])[CH],11,11,True
[R1]C(=N[CH])C=[CH],11,11,True
[R1]C(=[N])C=C[CH],11,11,True
[R1]C(=NC=[CH])[CH],11,11,True
[R1]C(=C(C=[CH])C(F)(F)F)[CH],7,7,True
[R1]C(=C(C=[CH])O[C])[CH],8,8,True
[CH2]CC(C[CH2])C[NH],5,5,True
[CH]=CC(=C[C])F,26,26,True
[CH]C(=CC(=[C])F)F,24,24,True
[CH]C(=CC(=[C])[O])[O],24,24,True
[CH]=CC=C([CH])F,25,25,True
[CH]C=C(C=[C])F,25,25,True
[R1]C(=CC(=[CH])F)[CH],22,22,True
[R1]C(=CC(=[CH])[O])[CH],18,18,True
CS[C],14,14,True
[CH]=C(C=C[C])[S],14,14,True
CSC(=C[CH])C=[CH],14,14,True
CSC(=[CH])[CH],14,14,True
[R1]NCC(=[CH])[O],2,2,True
c1cc(oc1)C[NH],2,2,True
c1cocc1C[NH],2,2,True
[R1]NCC(=[CH])[S],2,2,True
c1cscc1C[NH],3,3,True
[CH2]c1ccsc1,6,6,True
[R1]NCC(=[N])[S],2,2,True
c1csc(n1)C[NH],2,2,True
[R1]NCC(=[CH])[N],8,8,True
c1c(nc[nH]1)C[NH],4,4,True
[R1]C(=[N])[NH],2,2,True
[R1]c1[nH]ccn1,6,6,True
c1cn[c][nH]1,14,14,True
[CH2]C(=[N])[NH],5,5,True
[R1]NCC(=[N])[NH],5,5,True
c1cnc([nH]1)C[NH],5,5,True
[CH2]c1[nH]ccn1,10,10,True
[R1]C(=[N])[N],2,2,True
[R1]c1nccn1C,4,4,True
[R1]C1=NC=C[N]1,2,2,True
[R1]NCC(=[N])[N],5,5,True
Cn1ccnc1C[NH],5,5,True
C(C(=C[N])C=[N])[NH],4,4,True
[R1]NCC(=[N])[CH],2,2,True
[CH]=CC(=N[CH])C[NH],2,2,True
[CH]=CC(=C[N])C[NH],2,2,True
[CH]C(=[C])[N],4,4,True
CN([C])[C],4,4,True
Cn1[c][c]cc1C[NH],4,4,True
[CH2]C1=CC(=[C][N]1)[CH],4,4,True
[CH]=CC1=C([N][C]=C1)[CH],4,4,True
[CH]C=CC(=[C])[N],4,4,True
Cn1[c]cc(c1C=[CH])[CH],4,4,True
Cn1c(c[c]c1[CH])[CH2],4,4,True
[R1]NCC[C],5,5,True
[CH]C(=[N])CC[NH],5,5,True
[CH2]CC(=N[CH])C=[CH],5,5,True
[R1]C([CH2])CC[O],9,9,True
[CH2]OCC[CH],9,9,True
[R1]C(=O)C[NH],1,1,True
[R1]C(=O)CNC,1,1,True
[R1]C(=O)CC,1,1,True
[R1]NCC(=[C])[CH],29,29,True
[CH]=CC(=C([CH])Cl)C[NH],3,3,True
[CH]=CC(=C([CH])[C])C[NH],4,4,True
[CH]=CC(=C[C])C[NH],16,16,True
[CH2]C(=CC(=[CH])F)[CH],3,3,True
[R1]N([CH2])[O],3,3,True
CO[N],3,3,True
[R1]N(C[C])OC,3,3,True
[R1]N(CC(=[CH])[CH])[O],3,3,True
[R1]N([CH2])OC,3,3,True
[C]C=CC(=[C])F,10,10,True
[CH]=CC(=C([CH])F)F,4,4,True
[CH]C(=C(C=[C])F)F,4,4,True
[CH]=CC(=C[C])C(F)(F)F,7,7,True
[CH]C(=CC(=[C])F)[C],7,7,True
[C]C=CC(=[C])[C],6,6,True
[CH]=CC(=C([CH])F)C(F)(F)F,6,6,True
[CH]C(=C(C=[C])F)[C],6,6,True
[CH]=CC(=C([CH])Cl)F,4,4,True
[CH]C(=C(C=[C])Cl)F,4,4,True
[CH]=C([C])F,6,6,True
[C]=C([C])F,6,6,True
[R1]C(=[CH])C=C([C])F,6,6,True
[C]C=C(C(=[C])F)F,6,6,True
[CH]=C(C(=C([CH])F)F)F,6,6,True
[R1]C(=CC(=[CH])C)[CH],2,2,True
[R1]C(=CC(=[CH])Cl)[CH],2,2,True
[R1]C(=C([CH])F)C=[C],2,2,True
[R1]C(=[C])C=C([CH])F,2,2,True
CCCC[N],4,4,True
[R1]NC(C)C,6,6,True
[CH2]C[S],4,4,True
CS[CH2],4,4,True
[R1]NCC[CH2],4,4,True
C(C[NH])C[S],4,4,True
CSCC[CH2],4,4,True
CSC[CH2],4,4,True
CCCC[CH2],2,2,True
[CH2]C1CC1,2,2,True
[R1]N(C[CH])C[CH],1,1,True
[R1]N([CH2])CC1CC1,1,1,True
C1CC1C[N],1,1,True
[R1]C(=O)C[CH],8,8,True
[R1]C(=O)CC(C)C,8,8,True
[R1]C(C[CH2])O,1,1,True
[R1]C(CC[C])O,1,1,True
[CH]CCC(=[CH])[CH],1,1,True
[R1]C(C)([CH2])O,8,8,True
[R1]C(C)(C[CH2])O,8,8,True
[R1]C(C)(CCC)O,8,8,True
[R1]C([CH2])([CH2])O,10,10,True
[R1]C(CC)(CC)O,10,10,True
[R1]C([CH2])(CC)O,10,10,True
[R1]CCN(C)C,1,1,True
[CH]C(=[N])[NH],1,1,True
[CH2]CNC(=[N])[CH],1,1,True
[CH2]NC(=N[CH])C=[CH],1,1,True
[CH]C=CC(=[N])[NH],1,1,True
[CH]=CN=C([CH])[NH],1,1,True
[CH2]C=[N],1,1,True
[R1]CC=[N],1,1,True
[R1]CC=N[NH],1,1,True
[CH2]C=NN[C],1,1,True
[R1]CCC,1,1,True
