	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL2842	0.968	0.0	0.0	0.0	0.664	0.0	144.0	6.0	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.0
CHEMBL4822	0.628	0.11	0.889	0.195	0.835	0.226	141.0	8.0	0.008	0.001	0.037	0.003	0.011	0.01	0.0	0.0
CHEMBL280	0.082	0.082	1.0	0.152	0.4	0.0	140.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL3473	0.95	0.0	0.0	0.0	0.637	0.0	140.0	7.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0
CHEMBL3510	0.833	0.098	0.667	0.169	0.885	0.215	139.0	4.0	0.019	0.01	0.333	0.028	0.009	0.049	0.0	0.0
CHEMBL2617	0.723	0.098	0.5	0.139	0.635	0.142	137.0	5.0	0.153	0.018	0.25	0.03	0.083	0.027	0.0	0.0
CHEMBL6136	0.715	0.023	0.333	0.043	0.703	0.04	128.0	8.0	0.159	0.002	0.333	0.005	0.025	0.005	0.0	0.0
CHEMBL2360	0.938	0.133	0.222	0.167	0.786	0.16	125.0	6.0	0.0	0.053	0.148	0.083	0.012	0.077	0.0	0.0
CHEMBL1833	0.609	0.067	0.667	0.121	0.583	0.118	121.0	8.0	0.05	0.003	0.333	0.011	0.003	0.027	0.0	0.0
CHEMBL1983	0.928	0.0	0.0	0.0	0.476	-0.022	118.0	5.0	0.003	0.0	0.0	0.0	0.022	0.001	0.0	0.0
CHEMBL1741186	0.928	0.19	0.333	0.242	0.915	0.244	117.0	10.0	0.0	0.109	0.333	0.176	0.001	0.178	0.0	0.0
CHEMBL1926488	0.673	0.09	0.667	0.157	0.775	0.175	116.0	8.0	0.093	0.009	0.333	0.025	0.085	0.034	0.0	0.0
CHEMBL2971	0.66	0.123	0.667	0.206	0.721	0.171	112.0	6.0	0.011	0.002	0.0	0.003	0.008	0.005	0.0	0.0
CHEMBL4792	0.312	0.075	0.833	0.127	0.649	0.07	111.0	5.0	0.22	0.003	0.083	0.007	0.02	0.015	0.0	0.0
CHEMBL4005	0.66	0.087	0.556	0.148	0.707	0.108	108.0	6.0	0.028	0.006	0.259	0.017	0.01	0.038	0.0	0.0
CHEMBL5023	0.522	0.187	0.917	0.301	0.768	0.242	105.0	9.0	0.144	0.01	0.021	0.02	0.006	0.055	0.0	0.0
CHEMBL1898	0.711	0.056	0.333	0.092	0.516	0.03	103.0	5.0	0.045	0.004	0.083	0.01	0.006	0.018	0.0	0.0
CHEMBL333	0.977	0.783	1.0	0.869	1.0	0.87	100.0	6.0	0.001	0.041	0.0	0.016	0.0	0.015	0.0	0.0
CHEMBL5407	0.837	0.372	1.0	0.54	0.974	0.552	99.0	10.0	0.002	0.005	0.0	0.005	0.002	0.005	0.0	0.0
CHEMBL1163125	0.876	0.378	0.5	0.301	0.882	0.333	98.0	5.0	0.024	0.295	0.25	0.114	0.007	0.123	0.0	0.0
CHEMBL216	0.674	0.0	0.0	0.0	0.638	-0.154	98.0	4.0	0.18	0.0	0.0	0.0	0.233	0.047	0.0	0.0
CHEMBL5113	0.778	0.078	0.333	0.125	0.65	0.08	97.0	7.0	0.018	0.005	0.111	0.013	0.004	0.008	0.0	0.0
CHEMBL3018	0.862	0.322	0.5	0.38	0.856	0.344	94.0	8.0	0.019	0.178	0.25	0.21	0.016	0.223	0.0	0.0
CHEMBL4482	0.701	0.012	0.111	0.022	0.324	-0.082	90.0	6.0	0.148	0.0	0.037	0.001	0.001	0.02	0.0	0.0
CHEMBL1795117	0.906	0.267	0.444	0.333	0.79	0.31	90.0	8.0	0.0	0.053	0.148	0.083	0.016	0.072	0.0	0.0
CHEMBL202	0.622	0.027	0.333	0.05	0.464	-0.024	84.0	6.0	0.22	0.002	0.333	0.008	0.004	0.002	0.0	0.0
CHEMBL235	0.907	0.083	0.333	0.133	0.912	0.151	83.0	3.0	0.004	0.021	0.333	0.053	0.003	0.069	0.0	0.0
CHEMBL3922	0.463	0.019	0.333	0.035	0.26	-0.099	81.0	5.0	0.187	0.001	0.333	0.004	0.07	0.019	0.0	0.0
CHEMBL2079846	0.61	0.075	0.5	0.119	0.626	0.072	79.0	4.0	0.232	0.007	0.25	0.016	0.02	0.015	0.0	0.0
CHEMBL2056	0.49	0.0	0.0	0.0	0.25	-0.268	79.0	3.0	0.174	0.0	0.0	0.0	0.116	0.073	0.0	0.0
CHEMBL3267	0.844	0.139	0.333	0.194	0.756	0.139	68.0	4.0	0.001	0.016	0.083	0.03	0.019	0.035	0.0	0.0
CHEMBL321	0.931	0.0	0.0	0.0	0.469	0.0	66.0	4.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0
CHEMBL4361	0.691	0.014	0.167	0.027	0.368	-0.093	63.0	3.667	0.221	0.001	0.083	0.002	0.026	0.026	0.0	0.333
CHEMBL1946	0.938	0.083	0.333	0.133	0.846	0.157	61.0	3.0	0.002	0.021	0.333	0.053	0.018	0.074	0.0	0.0
CHEMBL2014	0.577	0.0	0.0	0.0	0.354	-0.221	60.0	4.0	0.055	0.0	0.0	0.0	0.025	0.016	0.0	0.0
CHEMBL3979	0.652	0.014	0.333	0.028	0.439	0.0	51.0	3.0	0.278	0.001	0.333	0.002	0.201	0.0	0.0	0.0
CHEMBL208	0.848	0.056	0.333	0.095	0.73	0.09	51.0	3.0	0.009	0.009	0.333	0.027	0.003	0.055	0.0	0.0
CHEMBL203	0.825	0.0	0.0	0.0	0.167	-0.058	48.0	3.0	0.048	0.0	0.0	0.0	0.021	0.01	0.0	0.0
CHEMBL262	0.905	0.0	0.0	0.0	0.588	0.0	47.0	3.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0
