	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL3371	0.948	0.767	0.542	0.622	0.881	0.613	0.763	221.0	17.0	0.0	0.001	0.036	0.016	0.002	0.013	0.009	0.0	0.0
CHEMBL4308	0.947	0.417	0.2	0.265	0.953	0.269	0.594	217.0	10.0	0.0	0.271	0.04	0.083	0.002	0.102	0.01	0.0	0.0
CHEMBL2954	0.986	0.917	0.8	0.852	0.996	0.848	0.898	214.0	11.0	0.0	0.021	0.04	0.029	0.0	0.031	0.011	0.0	0.0
CHEMBL219	0.952	0.667	0.133	0.222	0.921	0.291	0.567	211.0	13.0	0.0	0.333	0.013	0.037	0.001	0.064	0.003	0.0	0.0
CHEMBL4072	0.981	0.933	0.778	0.842	0.996	0.84	0.887	200.0	15.0	0.0	0.013	0.037	0.02	0.0	0.021	0.01	0.0	0.0
CHEMBL232	0.942	0.0	0.0	0.0	0.961	0.0	0.5	198.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL335	0.952	0.952	0.476	0.582	0.99	0.627	0.736	194.0	15.0	0.0	0.007	0.109	0.057	0.0	0.035	0.026	0.0	0.0
CHEMBL1871	0.967	0.85	0.6	0.679	0.932	0.686	0.796	187.0	13.0	0.0	0.017	0.04	0.013	0.003	0.008	0.009	0.0	0.0
CHEMBL225	0.962	1.0	0.4	0.571	0.84	0.62	0.7	184.0	10.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0
CHEMBL3759	0.966	1.0	0.556	0.711	0.961	0.73	0.778	180.0	13.0	0.0	0.0	0.009	0.006	0.001	0.004	0.002	0.0	0.0
CHEMBL3105	0.96	0.0	0.0	0.0	0.504	0.0	0.5	173.0	6.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0
CHEMBL259	0.947	0.0	0.0	0.0	0.979	0.0	0.5	173.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL238	0.962	0.889	0.417	0.546	0.985	0.581	0.706	163.0	9.0	0.0	0.037	0.021	0.018	0.0	0.011	0.005	0.0	0.0
CHEMBL1855	0.948	0.889	0.333	0.468	0.934	0.514	0.664	161.0	11.0	0.0	0.037	0.013	0.015	0.003	0.009	0.003	0.0	0.0
CHEMBL260	0.956	0.833	0.333	0.467	0.889	0.504	0.664	156.0	10.0	0.0	0.083	0.021	0.031	0.004	0.034	0.006	0.0	0.0
CHEMBL3891	0.938	0.0	0.0	0.0	0.977	0.0	0.5	149.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL2000	0.948	0.111	0.111	0.111	0.883	0.1	0.55	147.0	7.0	0.0	0.037	0.037	0.037	0.003	0.03	0.008	0.0	0.0
CHEMBL1875	0.968	0.0	0.0	0.0	0.895	0.0	0.5	145.0	4.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
CHEMBL2842	0.968	0.0	0.0	0.0	0.889	0.0	0.5	144.0	6.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0
CHEMBL4822	0.962	0.556	0.444	0.489	0.99	0.477	0.716	141.0	8.0	0.001	0.259	0.148	0.184	0.0	0.198	0.038	0.0	0.0
CHEMBL280	0.913	0.0	0.0	0.0	0.895	-0.013	0.497	140.0	10.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0
CHEMBL3473	0.944	0.167	0.111	0.133	0.912	0.118	0.55	140.0	7.0	0.0	0.083	0.037	0.053	0.001	0.053	0.009	0.0	0.0
CHEMBL3510	0.961	0.167	0.167	0.167	0.983	0.153	0.578	139.0	4.0	0.0	0.083	0.083	0.083	0.0	0.082	0.02	0.0	0.0
CHEMBL2617	0.966	0.0	0.0	0.0	0.968	0.0	0.5	137.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL6136	0.945	0.0	0.0	0.0	0.956	0.0	0.5	128.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL2360	0.963	0.667	0.333	0.433	0.795	0.458	0.667	125.0	6.0	0.0	0.333	0.111	0.163	0.01	0.172	0.028	0.0	0.0
CHEMBL1833	0.955	0.667	0.222	0.333	0.912	0.377	0.611	121.0	8.0	0.0	0.333	0.037	0.083	0.008	0.107	0.009	0.0	0.0
CHEMBL1983	0.974	0.667	0.333	0.444	0.767	0.467	0.667	118.0	5.0	0.0	0.333	0.083	0.148	0.038	0.163	0.021	0.0	0.0
CHEMBL1741186	0.987	1.0	0.833	0.889	1.0	0.898	0.917	117.0	10.0	0.001	0.0	0.083	0.037	0.0	0.032	0.021	0.0	0.0
CHEMBL1926488	0.953	0.417	0.444	0.419	0.981	0.412	0.715	116.0	8.0	0.001	0.146	0.259	0.184	0.0	0.184	0.062	0.0	0.0
CHEMBL2971	0.951	0.556	0.333	0.389	0.967	0.403	0.663	112.0	6.0	0.0	0.259	0.111	0.12	0.001	0.123	0.026	0.0	0.0
CHEMBL4792	0.944	0.0	0.0	0.0	0.476	-0.02	0.493	111.0	5.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0
CHEMBL4005	0.943	0.333	0.111	0.167	0.875	0.188	0.556	108.0	6.0	0.0	0.333	0.037	0.083	0.013	0.106	0.009	0.0	0.0
CHEMBL5023	0.957	1.0	0.5	0.641	0.943	0.677	0.75	105.0	9.0	0.0	0.0	0.062	0.053	0.009	0.035	0.016	0.0	0.0
CHEMBL1898	0.956	0.5	0.333	0.389	0.628	0.381	0.659	103.0	5.0	0.0	0.25	0.083	0.12	0.001	0.141	0.022	0.0	0.0
CHEMBL333	0.985	0.833	1.0	0.905	1.0	0.904	0.992	100.0	6.0	0.0	0.021	0.0	0.007	0.0	0.007	0.0	0.0	0.0
CHEMBL5407	0.992	1.0	0.917	0.952	0.998	0.952	0.958	99.0	10.0	0.0	0.0	0.021	0.007	0.0	0.007	0.005	0.0	0.0
