	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1090030_CHEMBL1091073-CHEMBL1093729_CHEMBL1094036	3	1393	93	0	1.0	0.7558197975158691
1	CHEMBL3342248-CHEMBL1090030_CHEMBL1091073	3	1393	93	0	1.0	0.8105109333992004
2	CHEMBL3342253-CHEMBL1090030_CHEMBL1091073	3	1393	93	0	1.0	0.820441722869873
3	CHEMBL3342248-CHEMBL1093729_CHEMBL1094036	3	1393	93	0	1.0	0.8033353686332703
4	CHEMBL3342253-CHEMBL1093729_CHEMBL1094036	3	1393	93	0	1.0	0.8135450482368469
5	CHEMBL1164420-CHEMBL1163376	3	1393	93	0	1.0	0.5475475192070007
6	CHEMBL1164486-CHEMBL1163376	3	1393	93	0	1.0	0.5471591353416443
7	CHEMBL1164966-CHEMBL1163376	3	1393	93	0	1.0	0.5578244924545288
8	CHEMBL1165117-CHEMBL1163376	3	1393	93	0	1.0	0.5165087580680847
9	CHEMBL1165321-CHEMBL1163376	3	1393	93	0	1.0	0.5346463322639465
10	CHEMBL1164486-CHEMBL1164420	3	1393	93	0	1.0	0.5390171408653259
11	CHEMBL1164966-CHEMBL1164420	3	1393	93	0	1.0	0.5506500005722046
12	CHEMBL1165117-CHEMBL1164420	3	1393	93	0	1.0	0.509012758731842
13	CHEMBL1165321-CHEMBL1164420	3	1393	93	0	1.0	0.5275691747665405
14	CHEMBL1164966-CHEMBL1164486	3	1393	93	0	1.0	0.5501552224159241
15	CHEMBL1165117-CHEMBL1164486	3	1393	93	0	1.0	0.5085822939872742
16	CHEMBL1165321-CHEMBL1164486	3	1393	93	0	1.0	0.5271968841552734
17	CHEMBL1164966-CHEMBL1165117	3	1393	93	0	1.0	0.521435558795929
18	CHEMBL1164966-CHEMBL1165321	3	1393	93	0	1.0	0.5218172073364258
19	CHEMBL1165321-CHEMBL1165117	3	1393	93	0	0.0	0.49758249521255493
20	CHEMBL1240572-CHEMBL1240574	3	1393	93	0	1.0	0.5012179613113403
21	CHEMBL1240572-CHEMBL2208439	3	1393	93	0	0.0	0.4951150119304657
22	CHEMBL1240572-CHEMBL2208440	3	1393	93	0	1.0	0.5223519206047058
23	CHEMBL1240574-CHEMBL2208439	3	1393	93	0	1.0	0.5257670879364014
24	CHEMBL1240574-CHEMBL2208440	3	1393	93	0	1.0	0.5518959164619446
25	CHEMBL1240574-CHEMBL2208442	3	1393	93	0	1.0	0.5377982258796692
26	CHEMBL1288594-CHEMBL1288596	3	1393	93	0	0.0	0.4272708594799042
27	CHEMBL1288594-CHEMBL1288620	3	1393	93	0	0.0	0.44182518124580383
28	CHEMBL1288594-CHEMBL1290111	3	1393	93	0	0.0	0.34330984950065613
29	CHEMBL1288596-CHEMBL1288620	3	1393	93	0	0.0	0.46029379963874817
30	CHEMBL1288596-CHEMBL1290111	3	1393	93	0	0.0	0.36939090490341187
31	CHEMBL1288620-CHEMBL1290111	3	1393	93	0	0.0	0.3832971453666687
32	CHEMBL1288621-CHEMBL1288622	3	1393	93	0	0.0	0.4303782880306244
33	CHEMBL2333964-CHEMBL1338403	3	1393	93	1	1.0	0.5612017512321472
34	CHEMBL2333966-CHEMBL1338403	3	1393	93	0	1.0	0.5880593061447144
35	CHEMBL1338403-CHEMBL3359169	3	1393	93	0	1.0	0.5543515682220459
36	CHEMBL1338403-CHEMBL3359170	3	1393	93	0	1.0	0.5698211193084717
37	CHEMBL3402958-CHEMBL1338403	3	1393	93	0	1.0	0.5404543876647949
38	CHEMBL3402960-CHEMBL1338403	3	1393	93	0	1.0	0.545356273651123
39	CHEMBL3402961-CHEMBL1338403	3	1393	93	0	1.0	0.5524090528488159
40	CHEMBL1338403-CHEMBL4462614	3	1393	93	0	1.0	0.5672560334205627
41	CHEMBL2337531-CHEMBL1347917	3	1393	93	0	0.0	0.4238836467266083
42	CHEMBL2337541-CHEMBL1347917	3	1393	93	0	0.0	0.42410051822662354
43	CHEMBL1441824-CHEMBL1466024	3	1393	93	0	0.0	0.23281331360340118
44	CHEMBL4160467-CHEMBL1441824	3	1393	93	0	0.0	0.2303028404712677
45	CHEMBL4160467-CHEMBL1466024	3	1393	93	0	0.0	0.23249919712543488
46	CHEMBL146816-CHEMBL1940391	3	1393	93	0	1.0	0.5441353917121887
47	CHEMBL146816-CHEMBL2074640	3	1393	93	0	1.0	0.5257346630096436
48	CHEMBL3633776-CHEMBL1479002	3	1393	93	0	1.0	0.5558664202690125
49	CHEMBL361191-CHEMBL148680	3	1393	93	0	1.0	0.5334411859512329
50	CHEMBL1593568_CHEMBL419-CHEMBL4558023	3	1393	93	1	1.0	0.5218691229820251
51	CHEMBL1688312-CHEMBL1688306_CHEMBL1688309_CHEMBL1688310	3	1393	93	0	1.0	0.7506962418556213
52	CHEMBL3609195-CHEMBL1736901	3	1393	93	0	1.0	0.5191582441329956
