	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1173532-CHEMBL1818453	15	559	29	0	0.0	0.45053038001060486
1	CHEMBL1173532-CHEMBL1818459	15	559	29	0	0.0	0.4506472647190094
2	CHEMBL1173532-CHEMBL1818463	15	559	29	0	0.0	0.45034757256507874
3	CHEMBL1173532-CHEMBL1818464	15	559	29	0	0.0	0.45064955949783325
4	CHEMBL1173532-CHEMBL1818465	15	559	29	0	0.0	0.450629860162735
5	CHEMBL1173532-CHEMBL1818467	15	559	29	0	0.0	0.45069608092308044
6	CHEMBL1173532-CHEMBL1818468	15	559	29	0	0.0	0.4506949186325073
7	CHEMBL1173532-CHEMBL1818469	15	559	29	0	0.0	0.4503726661205292
8	CHEMBL1173532-CHEMBL1818544	15	559	29	1	0.0	0.4508271813392639
9	CHEMBL1173532-CHEMBL1818545	15	559	29	0	0.0	0.45082199573516846
10	CHEMBL1214060_CHEMBL1947086-CHEMBL2113648_CHEMBL538876	15	559	29	0	0.0	0.45057135820388794
11	CHEMBL1645609-CHEMBL1645601	15	559	29	0	0.0	0.450725257396698
12	CHEMBL1818453-CHEMBL1818459	15	559	29	0	0.0	0.45129266381263733
13	CHEMBL1818453-CHEMBL1818463	15	559	29	0	0.0	0.4510076642036438
14	CHEMBL1818453-CHEMBL1818464	15	559	29	0	0.0	0.4512954354286194
15	CHEMBL1818453-CHEMBL1818465	15	559	29	0	0.0	0.4512885808944702
16	CHEMBL1818467-CHEMBL1818453	15	559	29	0	0.0	0.45133933424949646
17	CHEMBL1818468-CHEMBL1818453	15	559	29	0	0.0	0.4513397514820099
18	CHEMBL1818453-CHEMBL1818469	15	559	29	0	0.0	0.45101940631866455
19	CHEMBL1818544-CHEMBL1818453	15	559	29	1	0.0	0.45143789052963257
20	CHEMBL1818453-CHEMBL1818545	15	559	29	0	0.0	0.45143550634384155
21	CHEMBL1818459-CHEMBL1818463	15	559	29	0	0.0	0.45112481713294983
22	CHEMBL1818459-CHEMBL1818464	15	559	29	0	0.0	0.451389878988266
23	CHEMBL1818465-CHEMBL1818459	15	559	29	0	0.0	0.45138394832611084
24	CHEMBL1818467-CHEMBL1818459	15	559	29	0	0.0	0.45143502950668335
25	CHEMBL1818468-CHEMBL1818459	15	559	29	0	0.0	0.4514341950416565
26	CHEMBL1818459-CHEMBL1818469	15	559	29	0	0.0	0.45113590359687805
27	CHEMBL1818544-CHEMBL1818459	15	559	29	1	0.0	0.4515346884727478
28	CHEMBL1818459-CHEMBL1818545	15	559	29	0	0.0	0.4515310525894165
29	CHEMBL1818463-CHEMBL1818464	15	559	29	0	0.0	0.45112723112106323
30	CHEMBL1818465-CHEMBL1818463	15	559	29	0	0.0	0.45112136006355286
31	CHEMBL1818467-CHEMBL1818463	15	559	29	0	0.0	0.4511779844760895
32	CHEMBL1818468-CHEMBL1818463	15	559	29	0	0.0	0.45117634534835815
33	CHEMBL1818463-CHEMBL1818469	15	559	29	0	0.0	0.4508442282676697
34	CHEMBL1818544-CHEMBL1818463	15	559	29	1	0.0	0.4512869715690613
35	CHEMBL1818463-CHEMBL1818545	15	559	29	0	0.0	0.45128411054611206
36	CHEMBL1818465-CHEMBL1818464	15	559	29	0	0.0	0.45138609409332275
37	CHEMBL1818467-CHEMBL1818464	15	559	29	0	0.0	0.45143580436706543
38	CHEMBL1818468-CHEMBL1818464	15	559	29	0	0.0	0.45143622159957886
39	CHEMBL1818464-CHEMBL1818469	15	559	29	0	0.0	0.45113781094551086
40	CHEMBL1818544-CHEMBL1818464	15	559	29	1	0.0	0.45153576135635376
41	CHEMBL1818464-CHEMBL1818545	15	559	29	0	0.0	0.45153313875198364
42	CHEMBL1818467-CHEMBL1818465	15	559	29	0	0.0	0.45143118500709534
43	CHEMBL1818468-CHEMBL1818465	15	559	29	0	0.0	0.4514303505420685
44	CHEMBL1818465-CHEMBL1818469	15	559	29	0	0.0	0.45113179087638855
45	CHEMBL1818544-CHEMBL1818465	15	559	29	1	0.0	0.45153090357780457
46	CHEMBL1818465-CHEMBL1818545	15	559	29	0	0.0	0.4515261948108673
47	CHEMBL1818467-CHEMBL1818468	15	559	29	0	0.0	0.45148250460624695
48	CHEMBL1818467-CHEMBL1818469	15	559	29	0	0.0	0.45119017362594604
49	CHEMBL1818467-CHEMBL1818544	15	559	29	1	0.0	0.4515811800956726
50	CHEMBL1818467-CHEMBL1818545	15	559	29	0	0.0	0.45157697796821594
51	CHEMBL1818468-CHEMBL1818469	15	559	29	0	0.0	0.45118778944015503
