	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL359543-CHEMBL178359	2	693	18	0	0.0	0.43368375301361084
1	CHEMBL181509-CHEMBL178581_CHEMBL368250	2	693	18	0	0.0	0.4348291754722595
2	CHEMBL178581_CHEMBL368250-CHEMBL182106	2	693	18	0	0.0	0.4076513946056366
3	CHEMBL181941-CHEMBL179627	2	693	18	0	0.0	0.43380239605903625
4	CHEMBL179627-CHEMBL201285	2	693	18	0	0.0	0.4307386577129364
5	CHEMBL179627-CHEMBL201572	2	693	18	0	0.0	0.43112438917160034
6	CHEMBL179627-CHEMBL201905	2	693	18	0	0.0	0.43232446908950806
7	CHEMBL179627-CHEMBL382449	2	693	18	0	0.0	0.430730938911438
8	CHEMBL179627-CHEMBL435132	2	693	18	0	0.0	0.43075698614120483
9	CHEMBL181509-CHEMBL182106	2	693	18	0	0.0	0.43433260917663574
10	CHEMBL181941-CHEMBL201285	2	693	18	0	0.0	0.43071141839027405
11	CHEMBL181941-CHEMBL201572	2	693	18	0	0.0	0.431097149848938
12	CHEMBL181941-CHEMBL201905	2	693	18	0	0.0	0.4322948157787323
13	CHEMBL181941-CHEMBL382449	2	693	18	0	0.0	0.43070363998413086
14	CHEMBL181941-CHEMBL435132	2	693	18	0	0.0	0.4307297468185425
15	CHEMBL182106-CHEMBL360736	2	693	18	0	0.0	0.4343816936016083
16	CHEMBL192520-CHEMBL189683	2	693	18	0	0.0	0.45763829350471497
17	CHEMBL425897-CHEMBL189683	2	693	18	0	0.0	0.4583434462547302
18	CHEMBL190353-CHEMBL190600	2	693	18	0	0.0	0.40246668457984924
19	CHEMBL190766-CHEMBL190353	2	693	18	0	0.0	0.4289293885231018
20	CHEMBL192998-CHEMBL190353	2	693	18	0	0.0	0.40209782123565674
21	CHEMBL362741-CHEMBL190353	2	693	18	0	0.0	0.42806097865104675
22	CHEMBL363822-CHEMBL190353	2	693	18	0	0.0	0.4284855127334595
23	CHEMBL370538-CHEMBL190353	2	693	18	0	0.0	0.406418114900589
24	CHEMBL425897-CHEMBL190353	2	693	18	0	0.0	0.42948585748672485
25	CHEMBL447185-CHEMBL190353	2	693	18	0	0.0	0.4293220639228821
26	CHEMBL190766-CHEMBL190600	2	693	18	0	0.0	0.4290474057197571
27	CHEMBL192998-CHEMBL190600	2	693	18	0	0.0	0.4022171199321747
28	CHEMBL362741-CHEMBL190600	2	693	18	0	0.0	0.42817896604537964
29	CHEMBL363822-CHEMBL190600	2	693	18	0	0.0	0.42860352993011475
30	CHEMBL370538-CHEMBL190600	2	693	18	0	0.0	0.4065377712249756
31	CHEMBL425897-CHEMBL190600	2	693	18	0	0.0	0.4296039342880249
32	CHEMBL447185-CHEMBL190600	2	693	18	0	0.0	0.42944014072418213
33	CHEMBL190766-CHEMBL192998	2	693	18	0	0.0	0.4286772608757019
34	CHEMBL190766-CHEMBL362741	2	693	18	0	0.0	0.45652833580970764
35	CHEMBL190766-CHEMBL363822	2	693	18	0	0.0	0.45693156123161316
36	CHEMBL190766-CHEMBL370538	2	693	18	0	0.0	0.43291017413139343
37	CHEMBL425897-CHEMBL190766	2	693	18	0	0.0	0.4579107463359833
38	CHEMBL447185-CHEMBL190766	2	693	18	0	0.0	0.4576205909252167
39	CHEMBL190902-CHEMBL190785	2	693	18	0	0.0	0.4704432487487793
40	CHEMBL191180-CHEMBL190785	2	693	18	0	0.0	0.4684217870235443
41	CHEMBL2380325-CHEMBL190785	2	693	18	0	0.0	0.4693620800971985
42	CHEMBL2381585-CHEMBL190785	2	693	18	0	0.0	0.4702078104019165
43	CHEMBL2381587-CHEMBL190785	2	693	18	0	0.0	0.470181405544281
44	CHEMBL2381589-CHEMBL190785	2	693	18	0	0.0	0.4697577655315399
