	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL105764-CHEMBL108801	2	488	27	0	0.0	0.47215935587882996
1	CHEMBL105764-CHEMBL109081	2	488	27	0	0.0	0.4721308648586273
2	CHEMBL1099129-CHEMBL207808	2	488	27	1	0.0	0.4705405533313751
3	CHEMBL206941-CHEMBL116878	2	488	27	0	0.0	0.4710785150527954
4	CHEMBL209352-CHEMBL116878	2	488	27	0	0.0	0.4701519012451172
5	CHEMBL116878-CHEMBL327039	2	488	27	0	0.0	0.46968984603881836
6	CHEMBL116878-CHEMBL378430	2	488	27	0	0.0	0.4703505039215088
7	CHEMBL381537-CHEMBL116878	2	488	27	0	0.0	0.4701678156852722
8	CHEMBL382874-CHEMBL116878	2	488	27	0	0.0	0.4701639711856842
9	CHEMBL366737-CHEMBL1181535_CHEMBL176010	2	488	27	0	0.0	0.47153204679489136
10	CHEMBL1181535_CHEMBL176010-CHEMBL422820	2	488	27	1	0.0	0.470799058675766
11	CHEMBL118507-CHEMBL207924	2	488	27	0	0.0	0.4717872142791748
12	CHEMBL118507-CHEMBL334221	2	488	27	0	0.0	0.4718998074531555
13	CHEMBL2070507-CHEMBL1235128	2	488	27	0	0.0	0.47195878624916077
14	CHEMBL2070508-CHEMBL1235128	2	488	27	0	0.0	0.47191041707992554
15	CHEMBL261482-CHEMBL1235128	2	488	27	0	0.0	0.4719748795032501
16	CHEMBL464859-CHEMBL1235128	2	488	27	0	0.0	0.4720611572265625
17	CHEMBL137879-CHEMBL16867	2	488	27	0	0.0	0.47197437286376953
18	CHEMBL137879-CHEMBL16894	2	488	27	0	0.0	0.4721969962120056
19	CHEMBL137879-CHEMBL179349	2	488	27	0	0.0	0.4719615578651428
20	CHEMBL137879-CHEMBL315150	2	488	27	0	0.0	0.47216281294822693
21	CHEMBL342059-CHEMBL137879	2	488	27	0	0.0	0.47221508622169495
22	CHEMBL137879-CHEMBL344706	2	488	27	0	0.0	0.4722071588039398
23	CHEMBL137879-CHEMBL360448	2	488	27	0	0.0	0.4721572995185852
24	CHEMBL137879-CHEMBL423542	2	488	27	0	0.0	0.47191911935806274
25	CHEMBL138332-CHEMBL137950	2	488	27	0	0.0	0.47092732787132263
26	CHEMBL141154-CHEMBL137950	2	488	27	0	0.0	0.47098761796951294
27	CHEMBL145123-CHEMBL137950	2	488	27	0	0.0	0.46958446502685547
