	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL10	CHEMBL278041	23 43 40 2 27 19 66 8 30 31 37 29 65 46 42 69 62 58 45 20 63 52 18 70 41	15 28 23 6 32 20 27	16 25 31 3	10 24 2 34 22
1	CHEMBL1940500	CHEMBL1738943	28 3 54 74 13 51 55 60 19 25 34 33 5 0 14 71 48 4 8 73 64 24 59 50 39 68 12 1 22 26 56 16 44 67 10 35 38 7 17 9 11 32 57 53	13 14 26 8 29	18 11 9 33 19	21 4 17 2 12 5
2	CHEMBL3261116	CHEMBL1738945	28 3 54 74 13 51 55 60 19 25 34 33 5 0 14 71 48 4 8 36 6 72 49 24 59 50 39 68 12 1 22 26 56 16 44 67 10 35 38 7 17 9 11 47 21 15 61 53	13 14 26 8 29	1 7 30 0	21 4 17 2 12 5
