	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL2437261_CHEMBL2437262	CHEMBL238461	5 17 42 79 6 66 15 41 43 30 49 67 47 39 78 72 24 35 11 76 62 70 19 46 7 22 68 34 73 60 75 80 12 56 45 81 0 63	38 91 26 82 8 65 56 105 109 1 39 44 28	72 71	40
1	CHEMBL3098172	CHEMBL238461	5 17 42 79 6 66 15 41 43 30 49 67 47 39 78 72 24 35 11 76 62 70 19 46 7 22 68 34 73 60 75 80 12 56 45 81 0 63	38 86 29 78 8 65 56 105 20 95 47 108 28	72 71	40
2	CHEMBL3098173	CHEMBL238461	5 17 42 79 6 66 15 41 43 30 49 67 47 39 78 72 24 35 11 76 62 70 19 46 7 22 68 34 73 60 75 80 12 56 45 81 0 63	38 86 29 78 37 65 89 20 103 47 27	72 71	40
3	CHEMBL3098174	CHEMBL238461	5 17 42 79 6 66 15 41 43 30 49 67 47 39 78 72 24 35 11 76 62 70 19 46 7 22 68 34 73 60 75 80 12 56 45 81 0 63	38 86 81 107 110 87 8 65 56 105 20 112 69 6 67 108 28	72 71	40
4	CHEMBL3098175	CHEMBL238461	5 17 42 79 6 66 15 41 43 30 49 67 47 39 78 72 24 35 11 76 62 70 19 46 7 22 68 34 73 60 75 80 12 56 45 81 0 63	38 86 81 107 110 87 37 65 89 20 13 69 6 67 27	72 71	40
5	CHEMBL238461	CHEMBL866	52 33 15 41 43 30 49 67 47 39 78 72 24 35 11 76 62 51 10 73 60 75 80 12 56 45 81 0 63	73 34 71 17 61 54	113 89 25 68	84 93 98 106 65 50 114
6	CHEMBL239105	CHEMBL2437258	5 17 42 79 6 66 15 41 43 30 49 67 47 39 78 72 24 35 11 76 62 70 19 46 7 22 68 34 73 60 75 80 12 56 45 81 0 63	79 94 18 15 70 22 85 60 66 101 10 11	7 36 111 65 56 105 49 53 96 48	40
7	CHEMBL2437261_CHEMBL2437262	CHEMBL239105	5 17 42 79 6 66 15 41 43 30 49 67 47 39 78 72 24 35 11 76 62 70 19 46 7 22 68 34 73 60 75 80 12 56 45 81 0 63	38 91 26 82 8 65 56 105 109 1 39 44 28	79 94 18 15 70 22 85 60 66 101 10 11	40
8	CHEMBL239105	CHEMBL2437269	5 17 42 79 6 66 15 41 43 30 49 67 47 39 78 72 24 35 11 76 62 70 19 46 7 22 68 34 73 60 75 80 12 56 45 81 0 63	79 94 18 15 70 22 85 60 66 101 10 11	7 36 113 65 89 49 16 14	40
9	CHEMBL239105	CHEMBL2437272_CHEMBL2437273	5 17 42 79 6 66 15 41 43 30 49 67 47 39 78 72 24 35 11 76 62 70 19 46 7 22 68 34 73 60 75 80 12 56 45 81 0 63	79 94 18 15 70 22 85 60 66 101 10 11	38 91 26 82 37 65 89 109 63 39 75	40
