	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL109581	CHEMBL109847	21 32 2 0 10 4 44 6 8 13 31 42 3 24 38 41 1 49 26 9 23 11 17 14 7 20 37 36 19 48 18 46 30 27	8 9 3	7	5 4
1	CHEMBL109847	CHEMBL111589	21 32 2 0 10 4 44 6 8 13 31 42 3 24 38 41 1 49 26 9 23 11 17 14 7 20 37 36 19 48 18 46 30 27	5 7 4	1	
2	CHEMBL78587	CHEMBL82716	34 50 39 12 28 0 5 24 38 10 1 49 26 40 43 15 16 45 47 33 25 22 29 17 35 30 27	6 2 10	0	
