	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL252231_CHEMBL254500	CHEMBL251835_CHEMBL252232	53 45 21 27 12 40 36 29 51 25 10 6 57 48 43 1 44 46 64 0 58 38 60 54 34 17 69 39 42 65 26 33 24 47 9 56 35 7 67 8 2 31 5 19	29 3 32 31 21 24 30 2 17 22 10 1	20 15 0 27 14 26 19 5 13 9 23 7 18	11 6
1	CHEMBL460542	CHEMBL540705	53 45 21 27 37 40 66 3 49 13 22 32 25 10 6 68 41 54 34 17 50 23 61 15 20 55 4 28 14 24 63 52 30 16	8 12 25 16 4 28	15 27 14 5 13 9 23 7 18	11 20 6 0 26 19
2	CHEMBL473763	CHEMBL523814	53 45 21 27 37 40 66 3 49 13 22 32 25 10 6 59 54 34 17 50 23 61 15 20 55 4 28 62 24 63 18 11	8 12 25 16 4 28	15 27 14 5 13 9 23 7 18	11 20 6 0 26 19
