	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL3769489_CHEMBL3769817	CHEMBL3769414_CHEMBL3770459_CHEMBL3770759	23 37 10 29 27 5 13 22 16 47 46 1 14 11 25 34 2 33 4 43 40 45 20 9 48 35 38 32 41 12 26 21 17 18 28 30 24 31 44 6 36 19 7 15 3 39 0 42 8	17 3 12 22 13 11 6	9 14 16 0 19 2 4 21	15 1 10 8 18
1	CHEMBL3770470	CHEMBL3769489_CHEMBL3769817	23 37 10 29 27 5 13 22 16 47 46 1 14 11 25 34 2 33 4 43 40 45 20 9 48 35 38 32 41 12 26 21 17 18 28 30 24 31 44 6 36 19 7 15 3 39 0 42 8	20 23 7 5	1 17 3 12 18 13 11 6	15 10 8 22
