	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL3734846	CHEMBL3735044_CHEMBL3735949	65 40 29 11 36 0 52 26 2 31 54 39 71 10 34 62 57 28 37 47 3 9 27 20 67 7 8 68 23 59 18 5 53 72 14 16 51	52 53 39 29	71 70 48 10 73 3	41 18 22 16 60
1	CHEMBL3735096	CHEMBL3734846	65 40 29 11 36 0 52 26 2 31 54 39 71 10 34 62 57 28 37 47 3 9 27 20 67 7 8 68 23 59 18 5 53 72 14 16 51	47 63 61 69 48 35 37 30	41 18 22 52 53 16 60 39 29	
2	CHEMBL3735247_CHEMBL3736469	CHEMBL3734846	65 40 29 11 36 0 52 26 2 31 54 39 71 10 34 62 57 28 37 47 3 9 27 20 67 7 8 68 23 59 18 5 53 72 14 16 51	71 26 70 48 7 10 57 20 3	52 53 16 39 29	41 18 22 60
3	CHEMBL3735673	CHEMBL3734854	65 40 29 11 42 0 52 26 2 31 54 39 71 10 34 62 57 28 38 24 19 12 47 3 9 66 70 13 7 8 68 23 59 18 5 53 72 14 16 51 30 60 43 50 44	52 53 39 29	71 70 48 10 73 3	41 18 22 16 60
4	CHEMBL3734854	CHEMBL3736036	22 58 2 26 52 0 42 11 29 15 61 21 74 73 56 38 24 19 12 25 49 8 7 13 70 66 9 33 46 41 69 6 75 1 30 60 43 50 44	32 51 49 27 66 17 19 45	36 11 42 65 34 56 50	8 59 33 64 14 12 1 6 23 9 46
5	CHEMBL3735523	CHEMBL3734872	55 17 42 11 29 52 0 26 2 15 61 21 63 64 31 54 39 71 10 34 62 57 28 35 48 66 9 33 7 13 8 4 46 41 69 45 32 23 59 18 5 53 72 14 16 51	40 24 72 58 54 0 13	44 15 31 5 67 4 25 62 28 2	55 21
6	CHEMBL3735673	CHEMBL3734872	55 17 42 11 29 52 0 26 2 15 61 21 63 64 31 54 39 71 10 34 62 57 28 35 48 66 9 33 7 13 8 4 46 41 69 45 32 23 59 18 5 53 72 14 16 51	40 58 68 43 38	44 31 5 67 4 25 62 28 2	55 21 15
7	CHEMBL3735247_CHEMBL3736469	CHEMBL3735044_CHEMBL3735949	65 40 29 11 36 0 52 26 2 31 54 39 71 10 34 62 57 28 37 47 3 9 27 20 67 7 8 68 23 59 18 5 53 72 14 16 51	26 7 57 20	16 73	41 18 22 71 70 48 60 10 3
8	CHEMBL3735096	CHEMBL3735247_CHEMBL3736469	65 40 29 11 36 0 52 26 2 31 54 39 71 10 34 62 57 28 37 47 3 9 27 20 67 7 8 68 23 59 18 5 53 72 14 16 51	47 63 61 69 35 37 30	41 18 22 71 26 70 7 60 10 57 20 3	48
9	CHEMBL3735523	CHEMBL3735673	55 17 42 11 29 52 0 26 2 15 61 21 63 64 31 54 39 71 10 34 62 57 28 35 48 66 9 33 7 13 8 4 46 41 69 45 32 23 59 18 5 53 72 14 16 51	24 72 54 0 13	15 68 43 38	55 40 21 58
