	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL2282769_CHEMBL24291	CHEMBL2282767_CHEMBL280155	0 2 17 31 5 4 13 35 32 29 14 23 3 20 33 12 11 22 7 8 25 1 21 15 19 34 16 6 24 26 30 27 9 28 18 10	16 13 8 10 21 17 15 1 5	9 14 11 6 4 18 2 0 19 3	
1	CHEMBL2282767_CHEMBL280155	CHEMBL2282785_CHEMBL297524	0 2 17 31 5 4 13 35 32 29 14 23 3 20 33 12 11 22 7 8 25 1 21 15 19 34 16 6 24 26 30 27 9 28 18 10	9 14 11 6 4 18 2 0 19 3	12 7 20	
