	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL175094_CHEMBL177861	CHEMBL177749_CHEMBL355581	8 18 41 42 5 0 1 27 35 29 37 6 9 21 10 2 30 11 14 36 3 31 13 19 7	11 3 42 24 14	34 21 10 30 46 35 47 7 20	
1	CHEMBL179298_CHEMBL435536	CHEMBL175094_CHEMBL177861	8 18 41 42 5 0 1 27 35 29 37 6 9 21 10 2 30 11 14 36 3 31 13 19 7	36 48 9 17 15	42 14	11 3 24
2	CHEMBL175094_CHEMBL177861	CHEMBL361203_CHEMBL95873	8 18 41 42 5 0 1 27 35 29 37 6 9 21 10 2 30 11 14 36 3 31 13 19 7	11 3 42 24 14	2	
3	CHEMBL175527	CHEMBL175519	8 18 41 42 5 0 1 27 35 29 37 38 26 21 10 2 30 11 14 36 3 31 17 19 28	42 24 14	36 25 23 26 9 41 18 5	11 3
4	CHEMBL175935	CHEMBL175519	8 18 41 42 5 0 1 27 35 29 37 38 26 21 10 2 30 11 14 36 3 31 17 19 28	34 21 10 30 46 35 47 7 20	11 3 36 25 23 26 9 41 18 5	
5	CHEMBL177062	CHEMBL175519	8 18 41 42 5 0 1 27 35 29 37 38 26 21 10 2 30 11 14 36 3 31 17 19 28	48 24 17 15	25 23 26 41 18 5	11 3 36 9
6	CHEMBL175519	CHEMBL366785	8 18 41 42 5 0 1 27 35 29 37 38 26 21 10 2 30 11 14 36 3 31 17 19 28	36 25 9 41 18 5	29 16 45 4	11 3 23 26
7	CHEMBL41647	CHEMBL175519	8 18 41 42 5 0 1 27 35 29 37 38 26 21 10 2 30 11 14 36 3 31 17 19 28	2	11 3 36 25 23 26 9 41 18 5	
8	CHEMBL175935	CHEMBL175527	8 18 41 42 5 0 1 27 35 29 37 38 26 21 10 2 30 11 14 36 3 31 17 19 28	34 21 10 30 46 35 47 7 20	11 3 42 24 14	
9	CHEMBL177062	CHEMBL175527	8 18 41 42 5 0 1 27 35 29 37 38 26 21 10 2 30 11 14 36 3 31 17 19 28	36 48 9 17 15	42 14	11 3 24
10	CHEMBL175527	CHEMBL366785	8 18 41 42 5 0 1 27 35 29 37 38 26 21 10 2 30 11 14 36 3 31 17 19 28	42 24 14	29 23 26 16 45 4	11 3
11	CHEMBL175527	CHEMBL41647	8 18 41 42 5 0 1 27 35 29 37 38 26 21 10 2 30 11 14 36 3 31 17 19 28	11 3 42 24 14	2	
12	CHEMBL175935	CHEMBL177062	8 18 41 42 5 0 1 27 35 29 37 38 26 21 10 2 30 11 14 36 3 31 17 19 28	34 21 10 30 46 35 47 7 20	11 3 36 48 24 9 17 15	
13	CHEMBL175935	CHEMBL41647	8 18 41 42 5 0 1 27 35 29 37 38 26 21 10 2 30 11 14 36 3 31 17 19 28	34 21 10 30 46 35 47 7 20	2	
14	CHEMBL177062	CHEMBL366785	8 18 41 42 5 0 1 27 35 29 37 38 26 21 10 2 30 11 14 36 3 31 17 19 28	36 48 24 9 17 15	29 23 26 16 45 4	11 3
15	CHEMBL177062	CHEMBL41647	8 18 41 42 5 0 1 27 35 29 37 38 26 21 10 2 30 11 14 36 3 31 17 19 28	11 3 36 48 24 9 17 15	2	
16	CHEMBL177749_CHEMBL355581	CHEMBL177101_CHEMBL177621	8 18 41 42 5 0 1 27 35 29 37 6 9 21 10 2 30 11 14 36 3 31 13 19 7	34 21 10 30 46 35 47 7 20	11 3 36 25 23 26 9 41 18 5	
17	CHEMBL178695_CHEMBL425522	CHEMBL177101_CHEMBL177621	8 18 41 42 5 0 1 27 35 29 37 6 9 21 10 2 30 11 14 36 3 31 13 19 7	29 16 45 4	36 25 9 41 18 5	11 3 23 26
18	CHEMBL361203_CHEMBL95873	CHEMBL177101_CHEMBL177621	8 18 41 42 5 0 1 27 35 29 37 6 9 21 10 2 30 11 14 36 3 31 13 19 7	2	11 3 36 25 23 26 9 41 18 5	
19	CHEMBL177749_CHEMBL355581	CHEMBL178695_CHEMBL425522	8 18 41 42 5 0 1 27 35 29 37 6 9 21 10 2 30 11 14 36 3 31 13 19 7	34 21 10 30 46 35 47 7 20	11 3 29 23 26 16 45 4	
20	CHEMBL179298_CHEMBL435536	CHEMBL177749_CHEMBL355581	8 18 41 42 5 0 1 27 35 29 37 6 9 21 10 2 30 11 14 36 3 31 13 19 7	11 3 36 48 24 9 17 15	34 21 10 30 46 35 47 7 20	
21	CHEMBL177749_CHEMBL355581	CHEMBL361203_CHEMBL95873	8 18 41 42 5 0 1 27 35 29 37 6 9 21 10 2 30 11 14 36 3 31 13 19 7	34 21 10 30 46 35 47 7 20	2	
22	CHEMBL361203_CHEMBL95873	CHEMBL178695_CHEMBL425522	8 18 41 42 5 0 1 27 35 29 37 6 9 21 10 2 30 11 14 36 3 31 13 19 7	2	11 3 29 23 26 16 45 4	
23	CHEMBL199008	CHEMBL200560	8 18 41 42 5 0 1 27 35 12 37 33 20 21 10 2 30 11 14 36 3 34 15 16 32	11 3 42 24 14	2	
24	CHEMBL199008	CHEMBL208126	8 18 41 42 5 0 1 27 35 12 37 33 20 21 10 2 30 11 14 36 3 34 15 16 32	42 24 14	29 23 26 16 45 4	11 3
25	CHEMBL199008	CHEMBL208180	8 18 41 42 5 0 1 27 35 12 37 33 20 21 10 2 30 11 14 36 3 34 15 16 32	3 42 24 14	33 13 6 28 0 40 1 19 39 43	11
26	CHEMBL199008	CHEMBL267819	8 18 41 42 5 0 1 27 35 12 37 33 20 21 10 2 30 11 14 36 3 34 15 16 32	42 24 14	36 37 38 27 49 9 44 8 31 32	11 3
27	CHEMBL208126	CHEMBL200560	8 18 41 42 5 0 1 27 35 12 37 33 20 21 10 2 30 11 14 36 3 34 15 16 32	11 3 29 23 26 16 45 4	2	
28	CHEMBL208180	CHEMBL200560	8 18 41 42 5 0 1 27 35 12 37 33 20 21 10 2 30 11 14 36 3 34 15 16 32	11 33 13 6 28 0 40 1 19 39 43	2	
29	CHEMBL267819	CHEMBL200560	8 18 41 42 5 0 1 27 35 12 37 33 20 21 10 2 30 11 14 36 3 34 15 16 32	11 3 36 37 38 27 49 9 44 8 31 32	2	
