	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL2063865	CHEMBL2063862	19 17 11 32 30 25 38 37 9 2 5 14 7 15 0 22 12 29 41 8 6 4 23 13 1 20 10 18 36 16 35 31 24 34 26 40 27 21 33 28 39 3	8 10 12 3 9 13 7 11 6	2	
1	CHEMBL2063864	CHEMBL2063865	19 17 11 32 30 25 38 37 9 2 5 14 7 15 0 22 12 29 41 8 6 4 23 13 1 20 10 18 36 16 35 31 24 34 26 40 27 21 33 28 39 3	1 15 5 4 14 0	10 12 3 9 13 7 11 6	8.0
