	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL1435542	CHEMBL1436585	10 25 21 2 0 33 6 23 3 19 34 18 13 11 8 27 12 31 29 5 20 4 15 24 16 28 9 1 7 32	9 13 30 32 10 21 33 20 11 0 26 12 24	8 37 16 19 38 7 14 5 23 35 31 28	27.0
1	CHEMBL1436585	CHEMBL1474834	14 30 2 0 33 6 23 3 19 34 18 13 17 26 12 31 29 5 20 4 15 22 16 28 9 1 7 32	17 1 22 37 16 19 38 7 34 3 15 23 35 31 28	36 2 6 25 13 30 32 10 21 33 18 29 4 0 26 12 24	
