	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL191528	CHEMBL571514	30 41 16 9 35 36 58 50 3 0 34 10 24 21 28 57 56 5 19 47	29	31 30 33 18 8 20	25 21
1	CHEMBL2323134_CHEMBL2323136	CHEMBL2323135_CHEMBL2323137	38 11 39 31 55 25 33 44 12 45 40 53 13 43 17 20 22 29 51 18 59 23 64 14 15 6	3 0 9 22 24 12 15 14	26 11 35 7	23 1 32 4 17 28 27
2	CHEMBL568516	CHEMBL49732	30 41 16 9 35 36 58 50 3 0 34 10 24 21 28 57 56 5 19 47	25 31 33 21 19	10	
3	CHEMBL571514	CHEMBL49732	30 41 16 9 35 36 58 50 3 0 34 10 24 21 28 57 56 5 19 47	25 31 30 33 21 18 8 20	10	
4	CHEMBL568173	CHEMBL567896	4 46 31 1 0 35 32 9 3 50 37 58 62 42 63 2 60 49 54 7 48 27 61 8 52 26	2 13 21 6	5 34	16
5	CHEMBL571514	CHEMBL568516	30 41 16 9 35 36 58 50 3 0 34 10 24 21 28 57 56 5 19 47	30 18 8 20	19	25 31 33 21
