	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL1782964	CHEMBL1782965	24 51 2 36 55 42 7 10 38 3 45 8 53 21 16 18 56 33 43 11 9 40 34 27 13 15 48 50 23 19 52 17 41 47 37 20 31 6 26 28 54	28 37 6 33 5	21 23 13 19 11 24 9 34	16 8 7
1	CHEMBL1782964	CHEMBL1782966	24 51 2 36 55 42 7 10 38 3 45 8 53 21 16 18 56 33 43 11 9 40 34 27 13 15 48 50 23 19 52 17 41 47 37 20 31 6 26 28 54	28 37 6 33 5	29 18 32 22 35 1 2 0	16 8 7
2	CHEMBL1782965	CHEMBL1782966	24 51 2 36 55 42 7 10 38 3 45 8 53 21 16 18 56 33 43 11 9 40 34 27 13 15 48 50 23 19 52 17 41 47 37 20 31 6 26 28 54	21 23 13 19 11 24 9 34	29 18 32 22 35 1 2 0	16 8 7
3	CHEMBL1782968	CHEMBL1782966	30 39 21 10 8 53 2 45 36 1 42 55 7 38 3 14 29 49 35 12 20 37 47 41 6 17 19 52 23 40 22 32 44 34 13 15 48 50 46 0 4 5 25	14 31 26 25 12 10 4 15	27 3 36 17	20 30
