	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL194486	CHEMBL198416	36 85 72 69 6 18 66 12 98 102 42 88 89 17 92 116 111 101 68 46 40 55 0 48 13 9 53 15 104 11 65 23 39 108 117 50 96 110 33 41 7	100 28 95 24 49 82 54 111	85 46 48 74 93 94 55 45 11	81 29 17 25 105 19 52 16
1	CHEMBL194670	CHEMBL372194	87 103 27 19 30 37 28 95 26 72 69 6 18 66 12 98 102 42 88 89 1 81 92 116 111 52 56 73 2 107 22 79 24 61 112 106 100 62 91 0 48 13 9 53 15 104 11 65 93 57 90 99 78 50 25 5 49 35 3	85 71 74 14	7 112 61 89 37 73 78 101 63 22	81
2	CHEMBL197593	CHEMBL197843	87 103 27 19 30 37 28 95 26 72 69 6 18 66 12 98 102 42 88 89 1 81 92 116 111 52 56 73 2 107 22 79 24 61 112 106 100 62 91 0 48 13 9 53 15 104 11 65 93 57 90 99 78 50 25 5 49 35 3	7 113 61 96 51	100 109 84 65	81
3	CHEMBL197593	CHEMBL198978	87 103 27 19 30 37 28 95 26 72 69 6 18 66 12 98 102 42 88 89 1 81 92 116 111 52 56 73 2 107 22 79 24 61 112 106 100 62 91 0 48 13 9 53 15 104 11 65 93 57 90 99 78 50 25 5 49 35 3	7 113 61 96 51	23 64 15 12 57 39 43 104 10	81
4	CHEMBL370396	CHEMBL197593	87 103 27 19 30 37 28 95 26 72 69 6 18 66 12 98 102 42 88 89 1 81 92 116 111 52 56 73 2 107 22 79 24 61 112 106 100 62 91 0 48 13 9 53 15 104 11 65 93 57 90 99 78 50 25 5 49 35 3	91 66 80 83	7 113 61 96 51	81
5	CHEMBL197593	CHEMBL372194	87 103 27 19 30 37 28 95 26 72 69 6 18 66 12 98 102 42 88 89 1 81 92 116 111 52 56 73 2 107 22 79 24 61 112 106 100 62 91 0 48 13 9 53 15 104 11 65 93 57 90 99 78 50 25 5 49 35 3	113 96 51	112 89 37 73 78 101 63 22	81 7 61
6	CHEMBL198735	CHEMBL197843	36 85 72 69 6 18 66 12 98 102 42 88 89 1 81 92 116 111 52 56 73 2 40 55 0 48 13 9 53 15 104 11 65 93 57 90 99 78 50 25 5 49 35 3	85 46 48 25 105 74 93 94 55 45 52 16 11	100 28 36 27 103 69 109 84 24 50 44 62 75 31 41 68 106	81 29 17 19
7	CHEMBL198978	CHEMBL197843	87 103 27 19 30 37 28 95 26 72 69 6 18 66 12 98 102 42 88 89 1 81 92 116 111 52 56 73 2 107 22 79 24 61 112 106 100 62 91 0 48 13 9 53 15 104 11 65 93 57 90 99 78 50 25 5 49 35 3	23 64 15 12 57 39 43 104 10	100 109 84 65	81
8	CHEMBL370396	CHEMBL197843	87 103 27 19 30 37 28 95 26 72 69 6 18 66 12 98 102 42 88 89 1 81 92 116 111 52 56 73 2 107 22 79 24 61 112 106 100 62 91 0 48 13 9 53 15 104 11 65 93 57 90 99 78 50 25 5 49 35 3	91 66 80 83	100 109 84 65	81
9	CHEMBL197843	CHEMBL372194	87 103 27 19 30 37 28 95 26 72 69 6 18 66 12 98 102 42 88 89 1 81 92 116 111 52 56 73 2 107 22 79 24 61 112 106 100 62 91 0 48 13 9 53 15 104 11 65 93 57 90 99 78 50 25 5 49 35 3	100 109 84 65	7 112 61 89 37 73 78 101 63 22	81
10	CHEMBL198735	CHEMBL426101	36 85 72 69 6 18 66 12 98 102 42 88 89 1 81 92 116 111 52 56 73 2 40 55 0 48 13 9 53 15 104 11 65 93 57 90 99 78 50 25 5 49 35 3	85 46 48 74 93 94 55 45 11	100 28 95 24 49 82 54 111	81 29 17 25 105 19 52 16
11	CHEMBL370396	CHEMBL198978	87 103 27 19 30 37 28 95 26 72 69 6 18 66 12 98 102 42 88 89 1 81 92 116 111 52 56 73 2 107 22 79 24 61 112 106 100 62 91 0 48 13 9 53 15 104 11 65 93 57 90 99 78 50 25 5 49 35 3	91 66 80 83	23 64 15 12 57 39 43 104 10	81
12	CHEMBL198978	CHEMBL372194	87 103 27 19 30 37 28 95 26 72 69 6 18 66 12 98 102 42 88 89 1 81 92 116 111 52 56 73 2 107 22 79 24 61 112 106 100 62 91 0 48 13 9 53 15 104 11 65 93 57 90 99 78 50 25 5 49 35 3	23 64 15 12 57 39 43 104 10	7 112 61 89 37 73 78 101 63 22	81
13	CHEMBL226714	CHEMBL228113	8 94 60 83 113 19 58 97 118 119 18 10 1 31 12 64 45 2 77 86 63 20 84 59 67 47 105 44 14 74 109 82 29 32 76 75 54 51 115	30 98 47 53 107	38 114 88 1 13	90 70 27 92
