	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL1233727	CHEMBL1233725	69 134 50 100 11 81 43 16 89 27 157 17 156 60 120 113 66 58 144 99 114 72 102 92 130 136 128 18 125 32 80	33 7 12 53 16 14 18 44 89 38 93 9	47 20 95	
1	CHEMBL1271572	CHEMBL1233768	69 134 50 100 11 81 43 127 158 89 27 157 17 156 60 120 113 66 58 144 99 114 72 102 85 68 2 118 128 18 125 32 80	33 7 12 53 16 14 18 44 89 38 93 9	47 20 95	
2	CHEMBL2011155	CHEMBL2011157	15 87 111 153 83 137 27 67 7 0 17 156 60 3 14 73 6 8 51 160 98 4 59 78	88 8 56 54 82 19 39	79 16 102 13 93 9	40 14
3	CHEMBL2011158	CHEMBL2011156	15 87 111 153 83 137 27 157 17 156 60 14 73 6 20 51 18 125 32	79 16 102 13 93 9	88 8 56 54 82 19 39	40 14
4	CHEMBL2333400	CHEMBL21	69 124 27 157 17 156 60 154 116 18 125 32	11 52 97 94 64 85 46 31	4	
5	CHEMBL2323134_CHEMBL2323136	CHEMBL2323135_CHEMBL2323137	105 31 108 83 140 65 93 119 36 122 109 138 41 112 47 56 61 75 133 52 150 63 159 42 44 21	14 1 25 65 69 32 42 41	77 28 99 23	66 6 92 16 51 84 78
6	CHEMBL2333418	CHEMBL2333403	15 53 24 57 123 79 17 156 60 104 139 106 40 71 76	87 94 64 57	24 53 16 14 48 37 38 93 9	71
7	CHEMBL2333420	CHEMBL2333403	15 53 24 57 123 79 17 156 60 104 139 106 40 71 76	87 96 101 50 86 35 30 58	24 53 16 14 48 37 38 93 9	71
8	CHEMBL2333408	CHEMBL2333416	69 147 57 123 79 17 156 60 39 117 40 71 76	75 63 29 36 103 76 74 0 15	11 52 97 100 72 85 67 83	
9	CHEMBL2333408	CHEMBL2333419	69 147 57 123 79 17 156 60 39 117 40 71 76	75 63 29 36 103 76 74 0 15	11 52 73 101 50 86 10 45 2	
10	CHEMBL2333408	CHEMBL2333420	69 147 57 123 79 17 156 60 39 117 40 71 76	75 63 29 36 103 76 74 0 15	11 52 97 96 101 50 86 85 22 60 58	
11	CHEMBL2333408	CHEMBL3797893	69 147 57 123 79 17 156 60 39 117 40 71 76	36 103 74 0 15	17 98 68 62	75 63 29 76
12	CHEMBL2333416	CHEMBL2333419	15 53 24 57 123 79 17 156 60 104 139 106 40 71 76	87 100 72 55	5 101 50 86 43	71
13	CHEMBL2333420	CHEMBL2333416	15 53 24 57 123 79 17 156 60 104 139 106 40 71 76	96 101 50 86 35 30 58	100 72 55	71 87
14	CHEMBL2333416	CHEMBL3797893	69 147 57 123 79 17 156 60 39 117 40 71 76	11 52 97 100 72 85 67 83	75 63 29 17 76 98 68 62	
15	CHEMBL2333419	CHEMBL2333418	15 53 24 57 123 79 17 156 60 104 139 106 40 71 76	5 101 50 86 43	87 94 64 57	71
16	CHEMBL3797893	CHEMBL2333418	69 147 57 123 79 17 156 60 39 117 40 71 76	75 63 29 17 76 98 68 62	11 52 97 94 64 85 46 31	
17	CHEMBL2333420	CHEMBL2333419	15 53 24 57 123 79 17 156 60 104 139 106 40 71 76	87 96 35 30 58	5 43	71 101 50 86
18	CHEMBL2333419	CHEMBL3797893	69 147 57 123 79 17 156 60 39 117 40 71 76	11 52 73 101 50 86 10 45 2	75 63 29 17 76 98 68 62	
19	CHEMBL2333420	CHEMBL3797893	69 147 57 123 79 17 156 60 39 117 40 71 76	11 52 97 96 101 50 86 85 22 60 58	75 63 29 17 76 98 68 62	
20	CHEMBL2334004	CHEMBL258230	105 10 131 19 9 27 101 149 132 37 70 91 77 151 74 82 155 38 94 29 95 55 64 103 145 143 135 23 45 25 88 84 1 126 48	21 59 49 90 34	80 70 91 61 27	66
21	CHEMBL3359179	CHEMBL3797835	15 53 24 57 96 123 79 17 156 60 141 26 46 28 104 139 5 146 152 40 106 76 35 86 121 34 97	100 72 55	94 64 57	71 87
22	CHEMBL3798473	CHEMBL3799577	49 115 96 57 123 129 156 33 158 89 27 22 79 17 60 90 110 107 71 40 30 12 54 148 118 62 142 13 76	81 3 91	26	
