	chembl_cid1	chembl_cid2	core	sub1	sub2	overlap
0	CHEMBL109581	CHEMBL109847	53 75 5 1 16 7 93 9 12 28 67 87 6 59 81 85 2 102 61 15 55 17 42 31 11 51 80 79 49 100 48 96 65 63	54 58 39	49	45 42
1	CHEMBL109581	CHEMBL111589	53 75 5 1 16 7 93 9 12 28 67 87 6 59 81 85 2 102 61 15 55 17 42 31 11 51 80 79 49 100 48 96 65 63	45 54 58 42 39	19	
2	CHEMBL109847	CHEMBL111589	53 75 5 1 16 7 93 9 12 28 67 87 6 59 81 85 2 102 61 15 55 17 42 31 11 51 80 79 49 100 48 96 65 63	45 49 42	19	
3	CHEMBL1201753_CHEMBL1237061	CHEMBL4061160	69 14 82 43 13 23 22 72 38 19 32 34 95 56 57 24 103 84 58 44 94 73 88 4 33 71 68 20 78 41 89	14 18 59 57 13 63 60 62 41 25 2 47 44	20 3 15 1 8 11 6 28 24 37	43 35 50
4	CHEMBL205694	CHEMBL204725	99 74 92 10 28 67 87 6 59 81 85 47 1 60 16 62 50 102 2 61 45 86 101 97 36 46 100 48 96 30 70 76 29 25 35 37 98 65 8	27 0 46	45 54 51 58 42 36 16 40	
5	CHEMBL204725	CHEMBL208316	99 74 92 10 28 67 87 6 59 81 85 47 1 60 16 62 50 102 2 61 45 86 101 97 36 46 100 48 96 30 70 76 29 25 35 37 98 65 8	51 36 16 40	39	45 54 58 42
6	CHEMBL377178	CHEMBL204725	99 74 92 10 28 67 87 6 59 81 85 47 1 60 16 62 50 102 2 61 45 86 101 97 36 46 100 48 96 30 70 76 29 25 35 37 98 65 8	12 64 23 22 61 5	54 51 58 42 36 16 40	45
7	CHEMBL204789	CHEMBL205694	99 74 92 10 28 67 87 6 59 81 85 47 1 60 16 62 50 102 2 61 45 86 101 97 36 46 100 48 96 30 70 76 29 25 35 37 98 65 8	45 52 53 48 55 30 34 32	27 0 46	
8	CHEMBL204789	CHEMBL208316	99 74 92 10 28 67 87 6 59 81 85 47 1 60 16 62 50 102 2 61 45 86 101 97 36 46 100 48 96 30 70 76 29 25 35 37 98 65 8	52 53 48 55 30 34 32	54 58 42 39	45
9	CHEMBL204789	CHEMBL377178	99 74 92 10 28 67 87 6 59 81 85 47 1 60 16 62 50 102 2 61 45 86 101 97 36 46 100 48 96 30 70 76 29 25 35 37 98 65 8	52 53 48 55 30 34 32	12 64 23 22 61 5	45
10	CHEMBL427391	CHEMBL205532	99 74 92 10 28 67 87 6 59 81 85 47 1 16 21 90 2 102 61 101 97 36 46 100 48 96 39 3 42 26 0 65 63	49	54 58 39	45 42
11	CHEMBL378553	CHEMBL205600	99 74 92 10 28 67 87 6 59 81 85 18 23 16 1 2 102 61 52 97 36 46 100 48 96 77 83 54 64 42 27 65 63	49	54 58 39	45 42
12	CHEMBL205894	CHEMBL205634	99 74 92 10 28 67 87 6 59 81 85 18 1 60 45 86 52 97 36 46 100 48 96 40 66 76 91 8	54 51 58 36 21 4 31 40	49	45 42
13	CHEMBL208213	CHEMBL205634	99 74 92 10 28 67 87 6 59 81 85 18 1 60 45 86 52 97 36 46 100 48 96 40 66 76 91 8	19	45 49 42	
14	CHEMBL208529	CHEMBL205634	99 74 92 10 28 67 87 6 59 81 85 18 1 60 45 86 52 97 36 46 100 48 96 40 66 76 91 8	17 38 10 9 33 26 29 56 7	49 42	45
15	CHEMBL205634	CHEMBL379057	99 74 92 10 28 67 87 6 59 81 85 18 1 60 45 86 52 97 36 46 100 48 96 40 66 76 91 8	49	54 58 39	45 42
16	CHEMBL205694	CHEMBL208316	99 74 92 10 28 67 87 6 59 81 85 47 1 60 16 62 50 102 2 61 45 86 101 97 36 46 100 48 96 30 70 76 29 25 35 37 98 65 8	27 0 46	45 54 58 42 39	
17	CHEMBL205694	CHEMBL377178	99 74 92 10 28 67 87 6 59 81 85 47 1 60 16 62 50 102 2 61 45 86 101 97 36 46 100 48 96 30 70 76 29 25 35 37 98 65 8	27 0 46	45 12 64 23 22 61 5	
18	CHEMBL205894	CHEMBL208213	99 74 92 10 28 67 87 6 59 81 85 18 1 60 45 86 52 97 36 46 100 48 96 40 66 76 91 8	45 54 51 58 42 36 21 4 31 40	19	
19	CHEMBL205894	CHEMBL208529	99 74 92 10 28 67 87 6 59 81 85 18 1 60 45 86 52 97 36 46 100 48 96 40 66 76 91 8	54 51 58 42 36 21 4 31 40	17 38 10 9 33 26 29 56 7	45
20	CHEMBL205894	CHEMBL379057	99 74 92 10 28 67 87 6 59 81 85 18 1 60 45 86 52 97 36 46 100 48 96 40 66 76 91 8	51 36 21 4 31 40	39	45 54 58 42
21	CHEMBL208529	CHEMBL208213	99 74 92 10 28 67 87 6 59 81 85 18 1 60 45 86 52 97 36 46 100 48 96 40 66 76 91 8	45 17 38 10 9 33 26 29 56 7	19	
22	CHEMBL208213	CHEMBL379057	99 74 92 10 28 67 87 6 59 81 85 18 1 60 45 86 52 97 36 46 100 48 96 40 66 76 91 8	19	45 54 58 42 39	
23	CHEMBL377178	CHEMBL208316	99 74 92 10 28 67 87 6 59 81 85 47 1 60 16 62 50 102 2 61 45 86 101 97 36 46 100 48 96 30 70 76 29 25 35 37 98 65 8	12 64 23 22 61 5	54 58 42 39	45
24	CHEMBL208529	CHEMBL379057	99 74 92 10 28 67 87 6 59 81 85 18 1 60 45 86 52 97 36 46 100 48 96 40 66 76 91 8	17 38 10 9 33 26 29 56 7	54 58 42 39	45
