	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL260	0.951	0.556	0.25	0.324	0.814	0.348	156.0	10.0	0.0	0.259	0.062	0.086	0.013	0.092	0.0	0.0
CHEMBL3891	0.938	0.0	0.0	0.0	0.702	0.0	149.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL2000	0.958	0.333	0.111	0.167	0.836	0.189	147.0	7.0	0.0	0.333	0.037	0.083	0.003	0.108	0.0	0.0
CHEMBL1875	0.968	0.0	0.0	0.0	0.799	0.0	145.0	4.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0
CHEMBL2842	0.968	0.0	0.0	0.0	0.639	0.0	144.0	6.0	0.0	0.0	0.0	0.0	0.073	0.0	0.0	0.0
CHEMBL4822	0.951	0.5	0.222	0.3	0.982	0.307	141.0	8.0	0.0	0.25	0.037	0.07	0.0	0.093	0.0	0.0
CHEMBL280	0.918	0.0	0.0	0.0	0.794	0.0	140.0	10.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0
CHEMBL3473	0.933	0.0	0.0	0.0	0.783	-0.024	140.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL3510	0.967	0.0	0.0	0.0	0.961	0.0	139.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL2617	0.966	0.0	0.0	0.0	0.731	0.0	137.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL6136	0.927	0.0	0.0	0.0	0.797	-0.026	128.0	8.0	0.0	0.0	0.0	0.0	0.025	0.001	0.0	0.0
CHEMBL2360	0.951	0.333	0.111	0.167	0.678	0.189	125.0	6.0	0.0	0.333	0.037	0.083	0.011	0.107	0.0	0.0
CHEMBL1833	0.962	1.0	0.333	0.5	0.905	0.566	121.0	8.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0
CHEMBL1983	0.974	0.667	0.333	0.444	0.808	0.467	118.0	5.0	0.0	0.333	0.083	0.148	0.028	0.163	0.0	0.0
CHEMBL1741186	0.908	0.244	0.25	0.243	0.964	0.21	117.0	10.0	0.0	0.046	0.062	0.051	0.0	0.039	0.0	0.0
CHEMBL1926488	0.92	0.0	0.0	0.0	0.81	-0.036	116.0	8.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0
CHEMBL2971	0.944	0.333	0.111	0.167	0.857	0.188	112.0	6.0	0.0	0.333	0.037	0.083	0.011	0.106	0.0	0.0
CHEMBL4792	0.944	0.0	0.0	0.0	0.556	-0.02	111.0	5.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0
CHEMBL4005	0.936	0.0	0.0	0.0	0.777	0.0	108.0	6.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0
CHEMBL5023	0.928	0.667	0.167	0.267	0.86	0.322	105.0	9.0	0.0	0.333	0.021	0.053	0.006	0.078	0.0	0.0
CHEMBL1898	0.956	0.667	0.333	0.444	0.705	0.451	103.0	5.0	0.001	0.333	0.083	0.148	0.001	0.185	0.0	0.0
CHEMBL333	0.962	1.0	0.444	0.6	0.991	0.645	100.0	6.0	0.0	0.0	0.037	0.03	0.0	0.02	0.0	0.0
CHEMBL5407	0.922	0.59	0.75	0.65	0.953	0.62	99.0	10.0	0.007	0.16	0.188	0.156	0.003	0.196	0.0	0.0
CHEMBL1163125	0.953	0.0	0.0	0.0	0.504	0.0	98.0	5.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0
CHEMBL216	0.953	0.0	0.0	0.0	0.917	0.0	98.0	4.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0
CHEMBL5113	0.937	0.5	0.222	0.3	0.942	0.312	97.0	7.0	0.0	0.25	0.037	0.07	0.001	0.082	0.0	0.0
CHEMBL3018	0.959	1.0	0.583	0.73	0.981	0.744	94.0	8.0	0.0	0.0	0.021	0.012	0.0	0.009	0.0	0.0
CHEMBL4482	0.923	0.0	0.0	0.0	0.693	0.0	90.0	6.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0
CHEMBL1795117	0.966	0.833	0.778	0.79	0.877	0.781	90.0	8.0	0.002	0.083	0.037	0.046	0.011	0.054	0.0	0.0
CHEMBL202	0.883	0.0	0.0	0.0	0.6	-0.034	84.0	6.0	0.004	0.0	0.0	0.0	0.021	0.004	0.0	0.0
CHEMBL235	0.944	0.0	0.0	0.0	0.664	0.0	83.0	3.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
CHEMBL3922	0.944	0.0	0.0	0.0	0.495	0.0	81.0	5.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0
CHEMBL2079846	0.943	0.0	0.0	0.0	0.636	0.0	79.0	4.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
CHEMBL2056	0.941	0.0	0.0	0.0	0.51	0.0	79.0	3.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0
CHEMBL3267	0.933	0.0	0.0	0.0	0.738	0.0	68.0	4.0	0.0	0.0	0.0	0.0	0.109	0.0	0.0	0.0
CHEMBL321	0.931	0.0	0.0	0.0	0.586	0.0	66.0	4.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0
CHEMBL4361	0.951	0.0	0.0	0.0	0.775	0.0	63.0	3.667	0.0	0.0	0.0	0.0	0.115	0.0	0.0	0.333
CHEMBL1946	0.963	0.0	0.0	0.0	0.942	0.0	61.0	3.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0
CHEMBL2014	0.923	0.0	0.0	0.0	0.556	0.0	60.0	4.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0
CHEMBL3979	0.957	0.0	0.0	0.0	0.758	0.0	51.0	3.0	0.0	0.0	0.0	0.0	0.103	0.0	0.0	0.0
CHEMBL208	0.955	0.0	0.0	0.0	0.77	0.0	51.0	3.0	0.0	0.0	0.0	0.0	0.065	0.0	0.0	0.0
CHEMBL203	0.952	0.0	0.0	0.0	0.5	0.0	48.0	3.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0
CHEMBL262	0.921	0.778	0.5	0.578	0.689	0.57	47.0	3.0	0.003	0.148	0.0	0.024	0.004	0.043	0.0	0.0
