	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL4005	0.674	0.182	0.889	0.295	0.808	0.308	108.0	6.0	0.054	0.006	0.037	0.013	0.018	0.017	0.0	0.0
CHEMBL5023	0.949	0.69	0.917	0.776	0.933	0.765	105.0	9.0	0.002	0.073	0.021	0.042	0.014	0.048	0.0	0.0
CHEMBL1898	0.904	0.153	0.333	0.2	0.702	0.185	103.0	5.0	0.005	0.028	0.083	0.04	0.029	0.035	0.0	0.0
CHEMBL333	0.947	0.658	1.0	0.765	0.989	0.776	100.0	6.0	0.003	0.1	0.0	0.052	0.0	0.046	0.0	0.0
CHEMBL5407	0.961	0.867	0.75	0.726	0.88	0.749	99.0	10.0	0.001	0.013	0.188	0.08	0.043	0.054	0.0	0.0
CHEMBL1163125	0.938	0.639	0.833	0.622	0.959	0.656	98.0	5.0	0.005	0.141	0.083	0.041	0.001	0.031	0.0	0.0
CHEMBL216	0.853	0.135	0.333	0.175	0.898	0.152	98.0	4.0	0.024	0.031	0.083	0.042	0.016	0.038	0.0	0.0
CHEMBL5113	0.952	0.667	0.778	0.714	0.915	0.693	97.0	7.0	0.004	0.146	0.148	0.143	0.022	0.17	0.0	0.0
CHEMBL3018	0.967	0.756	1.0	0.859	0.98	0.853	94.0	8.0	0.0	0.006	0.0	0.003	0.001	0.003	0.0	0.0
CHEMBL4482	0.521	0.229	0.667	0.244	0.503	0.163	90.0	6.0	0.18	0.055	0.111	0.019	0.04	0.036	0.0	0.0
CHEMBL1795117	0.949	0.639	0.778	0.698	0.96	0.677	90.0	8.0	0.001	0.016	0.037	0.021	0.001	0.026	0.0	0.0
CHEMBL202	0.667	0.177	0.667	0.264	0.673	0.219	84.0	6.0	0.062	0.005	0.111	0.007	0.022	0.009	0.0	0.0
CHEMBL235	0.815	0.206	0.667	0.315	0.814	0.299	83.0	3.0	0.011	0.033	0.333	0.075	0.061	0.145	0.0	0.0
CHEMBL3922	0.722	0.0	0.0	0.0	0.436	-0.129	81.0	5.0	0.005	0.0	0.0	0.0	0.014	0.001	0.0	0.0
CHEMBL2079846	0.724	0.107	0.333	0.153	0.737	0.068	79.0	4.0	0.021	0.017	0.083	0.028	0.023	0.049	0.0	0.0
CHEMBL2056	0.676	0.037	0.167	0.061	0.51	-0.065	79.0	3.0	0.045	0.004	0.083	0.011	0.062	0.037	0.0	0.0
CHEMBL3267	0.9	0.244	0.5	0.324	0.827	0.301	68.0	4.0	0.0	0.046	0.25	0.086	0.026	0.107	0.0	0.0
CHEMBL321	0.828	0.083	0.167	0.111	0.355	0.028	66.0	4.0	0.001	0.021	0.083	0.037	0.018	0.05	0.0	0.0
CHEMBL4361	0.457	0.032	0.667	0.061	0.691	0.05	63.0	3.667	0.199	0.001	0.333	0.003	0.084	0.008	0.0	0.333
CHEMBL1946	0.716	0.074	0.667	0.13	0.897	0.169	61.0	3.0	0.095	0.007	0.333	0.021	0.014	0.034	0.0	0.0
CHEMBL2014	0.603	0.026	0.333	0.048	0.708	-0.035	60.0	4.0	0.211	0.002	0.333	0.007	0.026	0.004	0.0	0.0
CHEMBL3979	0.855	0.131	0.667	0.217	0.818	0.262	51.0	3.0	0.012	0.016	0.333	0.041	0.006	0.057	0.0	0.0
CHEMBL208	0.894	0.0	0.0	0.0	0.556	-0.034	51.0	3.0	0.011	0.0	0.0	0.0	0.13	0.004	0.0	0.0
CHEMBL203	0.349	0.032	0.667	0.061	0.483	0.0	48.0	3.0	0.273	0.001	0.333	0.003	0.206	0.0	0.0	0.0
CHEMBL262	0.714	0.2	0.667	0.302	0.754	0.246	47.0	3.0	0.007	0.0	0.083	0.001	0.012	0.007	0.0	0.0
