nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
CC(=NO)c1c(-c2ccc(F)cc2)n2c3c(cccc13)C(=O)NCC2	P09874	Kd	Homo sapiens		8.040958607678906		CHEMBL2204335_CHEMBL362322	CHEMBL3105
CC(=NO)c1cn2c3c(cccc13)C(=O)NCC2	P09874	Kd	Homo sapiens		7.4089353929735005		CHEMBL189466	CHEMBL3105
CC(=O)CCCC(=O)Nc1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F	P09874	Kd	Homo sapiens		8.397940008672037		CHEMBL2058686	CHEMBL3105
CC(=O)N1CCC(N2Cc3cccc(C(N)=O)c3C2=O)CC1	P09874	Kd	Homo sapiens		6.6020599913279625		CHEMBL3605987	CHEMBL3105
CC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1	P09874	Kd	Homo sapiens		8.886056647693161		CHEMBL2058918	CHEMBL3105
CC(=O)c1c(-c2ccc(F)cc2)n2c3c(cccc13)C(=O)NCC2	P09874	Kd	Homo sapiens		6.514278573518419		CHEMBL362516	CHEMBL3105
CC(=O)c1cn2c3c(cccc13)C(=O)NCC2	P09874	Kd	Homo sapiens		6.217527375833714		CHEMBL187667	CHEMBL3105
CC(C)N1CC(C)(c2nc3c(C(N)=O)cccc3[nH]2)C1	P09874	Kd	Homo sapiens		8.045757490560675		CHEMBL506516	CHEMBL3105
CC(C)N1CCC(C)(c2nc3c(C(N)=O)cccc3[nH]2)C1	P09874	Kd	Homo sapiens		8.221848749616356		CHEMBL495969	CHEMBL3105
CC(C)N1CCC(C)(c2nc3c(C(N)=O)cccc3[nH]2)CC1	P09874	Kd	Homo sapiens		8.096910013008056		CHEMBL495951	CHEMBL3105
CC(C)N1CCC(N2Cc3cccc(C(N)=O)c3C2=O)CC1	P09874	Kd	Homo sapiens	7.522878745280337	7.1249387366083		CHEMBL3605992	CHEMBL3105
CC(C)N1CCC(c2nc3c(C(N)=O)cccc3[nH]2)C1	P09874	Kd	Homo sapiens		8.045757490560675		CHEMBL450698	CHEMBL3105
CC(C)N1CCC1(C)c1nc2c(C(N)=O)cccc2[nH]1	P09874	Kd	Homo sapiens		7.376750709602098		CHEMBL505909	CHEMBL3105
CC(C)N1CCCC1(C)c1nc2c(C(N)=O)cccc2[nH]1	P09874	Kd	Homo sapiens		7.769551078621726		CHEMBL525535	CHEMBL3105
CC(O)c1cn2c3c(cccc13)C(=O)NCC2	P09874	Kd	Homo sapiens		6.1598939055432425		CHEMBL362568	CHEMBL3105
CC1(c2nc3c(C(N)=O)cc(C(F)(F)F)cc3[nH]2)CCCN1	P09874	Kd	Homo sapiens		5.481486060122112		CHEMBL495950	CHEMBL3105
CC1(c2nc3c(C(N)=O)cc(Cl)cc3[nH]2)CCCN1	P09874	Kd	Homo sapiens		8.0		CHEMBL522549	CHEMBL3105
CC1(c2nc3c(C(N)=O)cc(F)cc3[nH]2)CCCN1	P09874	Kd	Homo sapiens		8.522878745280337		CHEMBL495743	CHEMBL3105
CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCC(=O)N1	P09874	Kd	Homo sapiens		7.638272163982407		CHEMBL497181	CHEMBL3105
CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCCN1	P09874	Kd	Homo sapiens		8.301029995663981		CHEMBL521712	CHEMBL3105
CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN(C2CCCC2)CC1	P09874	Kd	Homo sapiens		8.154901959985743		CHEMBL498015	CHEMBL3105
CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1	P09874	Kd	Homo sapiens		8.397940008672037		CHEMBL521880	CHEMBL3105
CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1C1CCC1	P09874	Kd	Homo sapiens		7.508638306165728		CHEMBL497597	CHEMBL3105
CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCNCC1	P09874	Kd	Homo sapiens		8.522878745280337		CHEMBL521714	CHEMBL3105
CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCN(CCc2ccccc2)C1	P09874	Kd	Homo sapiens		8.0		CHEMBL496976	CHEMBL3105
CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCN(Cc2ccccc2F)C1	P09874	Kd	Homo sapiens		8.045757490560675		CHEMBL498008	CHEMBL3105
CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCN1	P09874	Kd	Homo sapiens		7.886056647693162		CHEMBL495782	CHEMBL3105
CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCNC1	P09874	Kd	Homo sapiens		8.397940008672037		CHEMBL526668	CHEMBL3105
CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCNCC1	P09874	Kd	Homo sapiens		8.397940008672037		CHEMBL495942	CHEMBL3105
CC1(c2nc3c(C(N)=O)cccc3[nH]2)CNC1	P09874	Kd	Homo sapiens		8.397940008672037		CHEMBL525192	CHEMBL3105
CC1(c2nc3cccc(C(N)=O)c3[nH]2)CCCN1	P09874	Kd	Homo sapiens		8.457203689983231		CHEMBL497608_CHEMBL506871	CHEMBL3105
CC1CCCC(C)N1CCCN1Cc2cccc(C(N)=O)c2C1=O	P09874	Kd	Homo sapiens		6.481486060122112		CHEMBL3605979	CHEMBL3105
CC1NC(=O)N(c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)C1=O	P09874	Kd	Homo sapiens		8.045757490560675		CHEMBL2058683	CHEMBL3105
CC1Oc2cc(CN3CC=C(c4ccc(Cl)cc4)CC3)ccc2NC1=O	P09874	Kd	Homo sapiens		4.0		CHEMBL2408003	CHEMBL3105
CC1Oc2cc(CN3CCC(c4ccccc4)CC3)ccc2NC1=O	P09874	Kd	Homo sapiens		5.0		CHEMBL2408000	CHEMBL3105
CC1Oc2ccc(CN3CC=C(c4ccc(Cl)cc4)CC3)cc2NC1=O	P09874	Kd	Homo sapiens		8.522878745280337		CHEMBL2408002	CHEMBL3105
CC1Oc2ccc(CN3CCC(N(C)C)CC3)cc2NC1=O	P09874	Kd	Homo sapiens		7.017728766960431		CHEMBL2407997	CHEMBL3105
CC1Oc2ccc(CN3CCC(c4ccccc4)CC3)cc2NC1=O	P09874	Kd	Homo sapiens		7.337242168318426		CHEMBL2407999	CHEMBL3105
CC1Oc2ccc(CNCc3ccccc3)cc2NC1=O	P09874	Kd	Homo sapiens		5.2839966563652006		CHEMBL2407995	CHEMBL3105
CC1Oc2ccccc2NC1=O	P09874	Kd	Homo sapiens		4.494850021680094		CHEMBL2407990	CHEMBL3105
CC1c2cc(F)cc(C(N)=O)c2C(=O)N1C1CCN(C2CCCCC2)CC1	P09874	Kd	Homo sapiens		7.221848749616356		CHEMBL3701692	CHEMBL3105
CCC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1	P09874	Kd	Homo sapiens		7.886056647693162		CHEMBL507412	CHEMBL3105
CCC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1C(C)C	P09874	Kd	Homo sapiens		7.161150909262744		CHEMBL523083	CHEMBL3105
