nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
Brc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3ccccc3[nH]2)cc1	Q16790	Kd	Homo sapiens		7.258848401148215		CHEMBL3809848	CHEMBL3594
C#CCCCOc1ccc2ccc(=O)oc2c1	Q16790	Kd	Homo sapiens		6.080921907623925		CHEMBL3121782	CHEMBL3594
C#CCCCOc1ccc2ccc(=S)oc2c1	Q16790	Kd	Homo sapiens		6.657577319177793		CHEMBL3760055	CHEMBL3594
C#CCN(CC#C)CCCCOc1ccc(S(N)(=O)=O)cc1	Q16790	Kd	Homo sapiens		8.42021640338319		CHEMBL4435346	CHEMBL3594
C#CCN(CC#C)CCc1ccc(S(N)(=O)=O)cc1	Q16790	Kd	Homo sapiens		7.254144804826271		CHEMBL4566851	CHEMBL3594
C#CCN(CC#C)c1ccc(S(N)(=O)=O)cc1	Q16790	Kd	Homo sapiens		8.045757490560675		CHEMBL3402973	CHEMBL3594
C#CCN1C(=O)c2ccccc2S1(=O)=O	Q16790	Kd	Homo sapiens		6.6777807052660805		CHEMBL3125560	CHEMBL3594
C#CCNC(=O)c1ccc(S(N)(=O)=O)cc1	Q16790	Kd	Homo sapiens		6.946921556516581		CHEMBL386542	CHEMBL3594
C#CCNc1ccc(S(N)(=O)=O)cc1	Q16790	Kd	Homo sapiens		6.3810110796350665		CHEMBL4454802	CHEMBL3594
C#CCNc1ccc2c(C)cc(=O)oc2c1	Q16790	Kd	Homo sapiens		6.7675121336470125		CHEMBL4586124	CHEMBL3594
C#CCOC(=O)c1ccc(S(N)(=O)=O)cc1	Q16790	Kd	Homo sapiens		6.982966660701218		CHEMBL217569	CHEMBL3594
C#CCOC1=NS(=O)(=O)OC(C)=C1	Q16790	Kd	Homo sapiens		6.598599459218455		CHEMBL3322438	CHEMBL3594
C#CCOP(=O)(Oc1ccc(S(N)(=O)=O)cc1)c1ccccc1	Q16790	Kd	Homo sapiens		7.650253421049523		CHEMBL4447288_CHEMBL4464493_CHEMBL4519039	CHEMBL3594
C#CCOc1c(C=NCc2ccc(S(N)(=O)=O)cc2)cccc1OC	Q16790	Kd	Homo sapiens		5.925915310971758		CHEMBL4435171	CHEMBL3594
C#CCOc1cc(N(CC)CC)ccc1C=NCc1ccc(S(N)(=O)=O)cc1	Q16790	Kd	Homo sapiens		6.703554205793604		CHEMBL4556773	CHEMBL3594
C#CCOc1ccc(Br)cc1C=NCc1ccc(S(N)(=O)=O)cc1	Q16790	Kd	Homo sapiens		6.721703791908727		CHEMBL4476824	CHEMBL3594
C#CCOc1ccc(C=NCc2ccc(S(N)(=O)=O)cc2)cc1	Q16790	Kd	Homo sapiens		6.637329070274332		CHEMBL4539044	CHEMBL3594
C#CCOc1ccc(C=NCc2ccc(S(N)(=O)=O)cc2)cc1OC	Q16790	Kd	Homo sapiens		7.090443970758826		CHEMBL4514845	CHEMBL3594
C#CCOc1ccc(S(N)(=O)=O)cc1	Q16790	Kd	Homo sapiens		8.086186147616283		CHEMBL3402961	CHEMBL3594
C#CCOc1ccc([N+](=O)[O-])cc1C=NCc1ccc(S(N)(=O)=O)cc1	Q16790	Kd	Homo sapiens		6.674074044228535		CHEMBL4582534	CHEMBL3594
C#CCOc1ccc2c(c1)C=CS(=O)(=O)O2	Q16790	Kd	Homo sapiens		6.3239468753481285		CHEMBL4448721	CHEMBL3594
C#CCOc1ccc2c(c1)OS(=O)(=O)C=C2	Q16790	Kd	Homo sapiens		5.208477769214375		CHEMBL4519372	CHEMBL3594
C#CCOc1ccc2ccc(=O)oc2c1	Q16790	Kd	Homo sapiens		5.8696662315049934		CHEMBL308819	CHEMBL3594
