nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
CN=C1NC(=O)C(=Cc2c[nH]c3c(Br)cccc23)N1	Q13639	Kd	Homo sapiens		6.219682687859849		CHEMBL2058706	CHEMBL1875
CN=C1NC(=O)C(=Cc2c[nH]c3cc(Br)ccc23)N1	Q13639	Kd	Homo sapiens		5.937042165915488		CHEMBL2058705	CHEMBL1875
CN=C1NC(=O)C(=Cc2c[nH]c3ccc(Br)cc23)N1	Q13639	Kd	Homo sapiens		6.645891560852599		CHEMBL2058704	CHEMBL1875
CN=C1NC(=O)C(=Cc2c[nH]c3cccc(Br)c23)N1	Q13639	Kd	Homo sapiens		6.326058001365912		CHEMBL2058703	CHEMBL1875
CN=C1NC(=O)C(=Cc2c[nH]c3ccccc23)N1	Q13639	Kd	Homo sapiens		6.032452023781137		CHEMBL2058702	CHEMBL1875
COC(=O)N(C)CC(O)CN1CCC(CNC(=O)c2cccc3[nH]c(C(C)C)nc23)CC1	Q13639	Kd	Homo sapiens		8.400007822415901		CHEMBL2402901	CHEMBL1875
COC(=O)N1CCC(CN2CCC(CNC(=O)c3cccc4[nH]c(C(C)C)nc34)CC2)CC1	Q13639	Kd	Homo sapiens		9.4000078224159		CHEMBL2402904	CHEMBL1875
COC(=O)N1CCN(CCN2CCC(CNC(=O)c3cccc4[nH]c(C(C)C)nc34)CC2)CC1	Q13639	Kd	Homo sapiens		8.79997073344623		CHEMBL2402898	CHEMBL1875
COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CC2CCCCC2)CC1	Q13639	Kd	Homo sapiens		7.982966660701218		CHEMBL3417009	CHEMBL1875
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC	Q13639	Kd	Homo sapiens		6.9500043832276575		CHEMBL1200788_CHEMBL1729_CHEMBL4096162_CHEMBL560739_CHEMBL74656	CHEMBL1875
COc1cc(N)c(Cl)cc1C(=O)OCCN1CCC(NC(=O)CCCCCCCCCCN)CC1	Q13639	Kd	Homo sapiens		7.886056647693162		CHEMBL197965	CHEMBL1875
COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCCC1	Q13639	Kd	Homo sapiens		8.301029995663981		CHEMBL286136	CHEMBL1875
