nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
CC(C)(C)c1ccc(C(CNC(=O)Cc2ccc(C(F)(F)F)cc2)N2CCN(C3CCCCC3)CC2)cc1	P51677	Kd	Homo sapiens		4.987162775294828		CHEMBL194943	CHEMBL3473
CC(C)(C)c1ccc(C(CNC(=O)Cc2ccccc2)N2CCN(c3ccccc3)CC2)cc1	P51677	Kd	Homo sapiens		4.950781977329819		CHEMBL195473	CHEMBL3473
CC(C)(C)c1ccc(C(CNC(=O)Nc2ccc(C(F)(F)F)cc2)N2CCN(C3CCCCC3)CC2)cc1	P51677	Kd	Homo sapiens		6.012333735073725		CHEMBL373092	CHEMBL3473
CC(C)(C)c1ccc(C(CNC(=O)Nc2ccc(F)cc2)N2CCN(C3CCCCC3)CC2)cc1	P51677	Kd	Homo sapiens		5.950781977329817		CHEMBL191719	CHEMBL3473
CC(C)(C)c1ccc(C(CNC(=O)Nc2ccccc2)N2CCN(C3CCCCC3)CC2)cc1	P51677	Kd	Homo sapiens		5.946921556516581		CHEMBL195427	CHEMBL3473
CC(C)(C)c1ccc(C(CNCCc2cc(Cl)cc(Cl)c2)N2CCN(C3CCCCC3)CC2)cc1	P51677	Kd	Homo sapiens		6.649751981665838		CHEMBL193938	CHEMBL3473
CC(C)(C)c1ccc(C(CNCCc2ccc(C(F)(F)F)cc2)N2CCN(C3CCCCC3)CC2)cc1	P51677	Kd	Homo sapiens		6.636388020107856		CHEMBL195293	CHEMBL3473
CC(C)(C)c1ccc(C(CNCCc2ccccc2)N2CCN(C3CCCCC3)CC2)cc1	P51677	Kd	Homo sapiens		6.455931955649724		CHEMBL365596	CHEMBL3473
CC(C)(C)c1ccc(CCNCC(c2ccc(C(C)(C)C)cc2)N2CCN(C3CCCCC3)CC2)cc1	P51677	Kd	Homo sapiens		6.45717457304082		CHEMBL193973	CHEMBL3473
CC(C)(C)c1ccc(CCNCC(c2ccc(C(F)(F)F)cc2)N2CCN(C3CCCCC3)CC2)cc1	P51677	Kd	Homo sapiens		6.079876673709276		CHEMBL179752	CHEMBL3473
CC(C)(C)c1ccc(NC(=O)NCC(c2ccc(C(C)(C)C)cc2)N2CCN(C3CCCCC3)CC2)cc1	P51677	Kd	Homo sapiens		5.688246138944246		CHEMBL365584	CHEMBL3473
CC(C)CC(CNC(=O)Nc1cc(Cl)cc(Cl)c1)N1CCN(C2CCCCC2)CC1	P51677	Kd	Homo sapiens		6.528708288941061		CHEMBL426822	CHEMBL3473
CC(C)CC(CNC(=O)Nc1ccc(Cl)cc1)N1CCN(C2CCCCC2)CC1	P51677	Kd	Homo sapiens		6.367542707815276		CHEMBL193916	CHEMBL3473
CN1CCN(C(CNC(=O)Nc2cc(Cl)cc(Cl)c2)c2ccc(C(F)(F)F)cc2)CC1	P51677	Kd	Homo sapiens		5.285670240254766		CHEMBL191824	CHEMBL3473
CN1CCN(C(CNCCc2ccc(C(F)(F)F)cc2)c2ccccc2)CC1	P51677	Kd	Homo sapiens		5.047207556955907		CHEMBL195488	CHEMBL3473
CN1CCN(C(CNCCc2ccccc2)c2ccc(C(F)(F)F)cc2)CC1	P51677	Kd	Homo sapiens		5.325138859262188		CHEMBL365369	CHEMBL3473
CN1CCN(C(CNCCc2ccccc2)c2ccccc2)CC1	P51677	Kd	Homo sapiens		4.661543506395395		CHEMBL195093	CHEMBL3473
COc1ccc(C(CNC(=O)Cc2ccccc2)N2CCN(c3ccccc3)CC2)cc1	P51677	Kd	Homo sapiens		4.39577394691553		CHEMBL193818	CHEMBL3473
COc1ccc(C(CNC(=O)Nc2cc(Cl)cc(Cl)c2)N2CCN(C3CCCCC3)CC2)cc1	P51677	Kd	Homo sapiens		6.080921907623925		CHEMBL175547	CHEMBL3473
COc1ccc(C(CNC(=O)Nc2ccc(C(C)(C)C)cc2)N2CCN(C3CCCCC3)CC2)cc1	P51677	Kd	Homo sapiens		6.040958607678906		CHEMBL194022	CHEMBL3473
COc1ccc(C(CNC(=O)Nc2ccc(C(F)(F)F)cc2)N2CCN(C3CCCCC3)CC2)cc1	P51677	Kd	Homo sapiens		5.815308569182402		CHEMBL366231	CHEMBL3473
