nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1	Q08881	Kd	Homo sapiens		5.431798275933005		CHEMBL4072833	CHEMBL2959
C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1	Q08881	Kd	Homo sapiens		7.244125144327507		CHEMBL1873475_CHEMBL3182647_CHEMBL3647964	CHEMBL2959
C=CC(=O)NCCOc1cc(Cc2ccccc2)cc2[nH]c(-c3n[nH]c4cc(-c5cn[nH]c5)ccc34)cc12	Q08881	Kd	Homo sapiens		7.698970004336019		CHEMBL4639739	CHEMBL2959
C=CC(=O)NCCOc1cc(Cc2ccccc2)cc2[nH]c(-c3n[nH]c4cc(C(F)F)ccc34)cc12	Q08881	Kd	Homo sapiens		7.886056647693162		CHEMBL4646281	CHEMBL2959
C=CC(=O)NCCOc1cccc2[nH]c(-c3n[nH]c4ccccc34)cc12	Q08881	Kd	Homo sapiens		6.958607314841776		CHEMBL4638993	CHEMBL2959
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1	Q08881	Kd	Homo sapiens		5.251811972993798		CHEMBL31965_CHEMBL545315	CHEMBL2959
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(OCCN(C)C)cc4OC)nc32)c1	Q08881	Kd	Homo sapiens		6.853871964321763		CHEMBL3633152	CHEMBL2959
CC#CC(=O)NC1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1	Q08881	Kd	Homo sapiens		6.494850021680094		CHEMBL4297674	CHEMBL2959
CC(C)(O)C(c1ccccc1)n1cc(NC(=O)c2n[nH]c3cc(-c4cn[nH]c4)ccc23)cn1	Q08881	Kd	Homo sapiens		9.367591088495232		CHEMBL3263054_CHEMBL3263055	CHEMBL2959
CC(C)(c1ccccc1)n1cc(NC(=O)c2n[nH]c3ccccc23)cn1	Q08881	Kd	Homo sapiens		6.41907502432438		CHEMBL3263042	CHEMBL2959
CC1(C)CCc2[nH]nc(C(=O)Nc3cnn(Cc4ccccc4)c3)c2C1	Q08881	Kd	Homo sapiens		7.161150909262744		CHEMBL3298289	CHEMBL2959
CC1(C)CCc2c(C(=O)Nc3cnn(C(CCS(C)(=O)=O)c4ccccc4)c3)n[nH]c2C1	Q08881	Kd	Homo sapiens		8.207608310501746		CHEMBL3298374	CHEMBL2959
CC1(C)CCc2c(C(=O)Nc3cnn(C(CS(C)(=O)=O)c4ccccc4)c3)n[nH]c2C1	Q08881	Kd	Homo sapiens		9.30102999566398		CHEMBL3426306	CHEMBL2959
CC1(C)CCc2c(C(=O)Nc3cnn(C(c4ccccc4)C4CCCCS4(=O)=O)c3)n[nH]c2C1	Q08881	Kd	Homo sapiens		9.522878745280336		CHEMBL3426303	CHEMBL2959
CC1(C)CCc2c(C(=O)Nc3cnn(C(c4ccccc4)C4CCNCC4)c3)n[nH]c2C1	Q08881	Kd	Homo sapiens		9.69897000433602		CHEMBL3298373	CHEMBL2959
CC1(C)CCc2c(C(=O)Nc3cnn(C(c4ccccc4)C4CCS(=O)(=O)C4)c3)n[nH]c2C1	Q08881	Kd	Homo sapiens		9.173393743112328		CHEMBL3426301	CHEMBL2959
CC1(C)CCc2c(C(=O)Nc3cnn(C(c4ccccc4)C4CCS(=O)(=O)CC4)c3)n[nH]c2C1	Q08881	Kd	Homo sapiens		9.522878745280336		CHEMBL3426304	CHEMBL2959
CC1(C)CCc2c(C(=O)Nc3cnn(C(c4ccccc4)C4CC[S+]([O-])CC4)c3)n[nH]c2C1	Q08881	Kd	Homo sapiens		9.610924374808178		CHEMBL3426305	CHEMBL2959
CC1(C)CCc2c(C(=O)Nc3cnn(C(c4ccccc4)C4CN(CCF)C4)c3)n[nH]c2C1	Q08881	Kd	Homo sapiens		9.522878745280336		CHEMBL3287196	CHEMBL2959
CC1(C)CCc2c(C(=O)Nc3cnn(Cc4ccccc4)c3)n[nH]c2C1	Q08881	Kd	Homo sapiens		8.275724130399214		CHEMBL3298288	CHEMBL2959
CC1(O)CCc2c(C(=O)Nc3cnn(Cc4ccccc4)c3)n[nH]c2C1	Q08881	Kd	Homo sapiens		6.0655015487564325		CHEMBL3287195	CHEMBL2959
CC12Cc3[nH]nc(C(=O)Nc4cnn(C(c5ccccc5)C5CCCCS5(=O)=O)c4)c3CC1C2(F)F	Q08881	Kd	Homo sapiens		10.045757490560677		CHEMBL3426309	CHEMBL2959
CC12Cc3[nH]nc(C(=O)Nc4cnn(C(c5ccccc5)C5CCS(=O)(=O)CC5)c4)c3CC1C2	Q08881	Kd	Homo sapiens		9.69897000433602		CHEMBL3426308	CHEMBL2959
CC12Cc3[nH]nc(C(=O)Nc4cnn(Cc5ccccc5)c4)c3CC1C2(F)F	Q08881	Kd	Homo sapiens		9.522878745280336	6.3979400086720375	CHEMBL3426307	CHEMBL2959
CC1CCc2c(C(=O)Nc3cnn(Cc4ccccc4)c3)n[nH]c2C1	Q08881	Kd	Homo sapiens		7.36924961340086		CHEMBL3298287	CHEMBL2959
CCC(c1ccccc1)n1cc(NC(=O)c2n[nH]c3cc(-c4cn[nH]c4)ccc23)cn1	Q08881	Kd	Homo sapiens		9.0		CHEMBL3263049	CHEMBL2959
CCC(c1ccccc1)n1cc(NC(=O)c2n[nH]c3ccccc23)cn1	Q08881	Kd	Homo sapiens		7.617165722620492		CHEMBL3263043_CHEMBL3263044	CHEMBL2959
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C	Q08881	Kd	Homo sapiens		7.886056647693162		CHEMBL3109278_CHEMBL535	CHEMBL2959
CCN(CC)Cc1cc(C2CC2C(=O)Nc2nc3ccc(-c4cn[nH]c4)cc3s2)ccc1OC	Q08881	Kd	Homo sapiens		9.30102999566398		CHEMBL3086538	CHEMBL2959
