nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
C=C(c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccc2cc(C(=O)O)ccc2c1	P13631	Kd	Homo sapiens		8.886056647693161		CHEMBL82716	CHEMBL2003
CC(=Cc1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C	P13631	Kd	Homo sapiens		6.1904402853647325		CHEMBL32505	CHEMBL2003
CC(C)(C)c1cc(-c2ccc3cc(C(=O)O)ccc3c2)ccc1O	P13631	Kd	Homo sapiens		6.698970004336019		CHEMBL74218	CHEMBL2003
CC(C)(C)c1cc(C2=Cc3ccc(C(=O)O)cc3OC2)cc(C(C)(C)C)c1O	P13631	Kd	Homo sapiens		6.274905478918531		CHEMBL308170	CHEMBL2003
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)NC1OC(C(=O)O)C(O)C(O)C1O	P13631	Kd	Homo sapiens		6.552841968657781		CHEMBL305760	CHEMBL2003
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)NC1OC(CO)C(O)C(O)C1O	P13631	Kd	Homo sapiens		6.1487416512809245		CHEMBL66228	CHEMBL2003
CC(C=CC1CC1C=CC1=CC(C)(C)CCC1(C)C)=CC(=O)O	P13631	Kd	Homo sapiens		7.494850021680094	5.3979400086720375	CHEMBL73973_CHEMBL74331	CHEMBL2003
CC(C=CCC1(c2ccc3c(c2)C(C)(C)CCC3(C)C)CC1)=CC(=O)O	P13631	Kd	Homo sapiens		6.2580609222708015		CHEMBL89331	CHEMBL2003
CC1(C)CCC(C)(C)c2cc(-c3ccc4cc(C(=O)O)ccc4c3)ccc21	P13631	Kd	Homo sapiens		7.397940008672037		CHEMBL25361	CHEMBL2003
CC1(C)CCC(C)(C)c2cc(C(=C(F)F)c3ccc4cc(C(=O)O)ccc4c3)ccc21	P13631	Kd	Homo sapiens		8.1249387366083		CHEMBL78587	CHEMBL2003
CC1(C)CCC(C)(C)c2cc(C(=NN)c3ccc4cc(C(=O)O)ccc4c3)ccc21	P13631	Kd	Homo sapiens		7.022276394711152		CHEMBL82609	CHEMBL2003
CC1(C)CCC(C)(C)c2cc(C(=NNS(C)(=O)=O)c3ccc4cc(C(=O)O)ccc4c3)ccc21	P13631	Kd	Homo sapiens		5.359021942641668		CHEMBL309469	CHEMBL2003
CC1(C)CCC(C)(C)c2cc(C(=NO)c3ccc4cc(C(=O)O)ccc4c3)ccc21	P13631	Kd	Homo sapiens		8.481486060122112		CHEMBL77961	CHEMBL2003
CC1(C)CCC(C)(C)c2cc(C(=O)c3ccc4cc(C(=O)O)ccc4c3)ccc21	P13631	Kd	Homo sapiens		8.522878745280337		CHEMBL309282	CHEMBL2003
CC1(C)CCC(C)(C)c2cc(C3=Cc4ccc(C(=O)O)cc4OC3)ccc21	P13631	Kd	Homo sapiens		7.721246399047171		CHEMBL75848	CHEMBL2003
CC1(C)CCC(C)(C)c2cc(C3COc4cc(C(=O)O)ccc4C3)ccc21	P13631	Kd	Homo sapiens		5.9846402445907865		CHEMBL75527	CHEMBL2003
CC1(C)CCC(C)(C)c2cc(CC=Cc3ccc(C(=O)O)cc3)ccc21	P13631	Kd	Homo sapiens		7.585026652029183		CHEMBL165843	CHEMBL2003
CC1(C)CCCC(c2ccc(C(C)(C)C)cc2)=C1C=CC#Cc1ccc(C(=O)O)cc1	P13631	Kd	Homo sapiens		8.301029995663981		CHEMBL424190	CHEMBL2003
CC1=C(C=CC#Cc2ccc(C(=O)O)cc2)C(C)(C)CCC1	P13631	Kd	Homo sapiens		6.721246399047171		CHEMBL151870	CHEMBL2003
CCCOc1cc2c(cc1C(C)=CC=CC(C)=CC(=O)O)C(C)(C)CCC2(C)C	P13631	Kd	Homo sapiens		5.215097550113345		CHEMBL109581	CHEMBL2003
CCOc1cc2c(cc1C(C)=CC=CC(C)=CC(=O)O)C(C)(C)CCC2(C)C	P13631	Kd	Homo sapiens		5.376130731649697		CHEMBL109847	CHEMBL2003
CCc1ccc(C2=C(C=CC#Cc3ccc(C(=O)O)cc3)C(C)(C)CCC2)cc1	P13631	Kd	Homo sapiens		7.443697499232713		CHEMBL349935	CHEMBL2003
COC(c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccc2cc(C(=O)O)ccc2c1	P13631	Kd	Homo sapiens		6.3979400086720375		CHEMBL78835	CHEMBL2003
COc1cc2c(cc1C(C)=CC=CC(C)=CC(=O)O)C(C)(C)CCC2(C)C	P13631	Kd	Homo sapiens		6.359518563029578		CHEMBL111589	CHEMBL2003
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2	P13631	Kd	Homo sapiens		6.886056647693162		CHEMBL1265	CHEMBL2003
COc1ccc(C2=Cc3ccc(C(=O)O)cc3OC2)cc1C12CC3CC(CC(C3)C1)C2	P13631	Kd	Homo sapiens		6.7594507517174005		CHEMBL75732	CHEMBL2003
Cc1ccc(C2=C(C=CC#Cc3ccc(C(=O)O)cc3)C(C)(C)CCC2)cc1	P13631	Kd	Homo sapiens		7.67778070526608		CHEMBL349018	CHEMBL2003
Cc1ccc(C2=CC(C)(C)Oc3cc4ccc(-c5ccc(C(=O)O)cc5)cc4cc32)cc1	P13631	Kd	Homo sapiens		7.853871964321763		CHEMBL162345	CHEMBL2003
Cc1ccc(C2=CC(C)(C)Oc3cc4ccc(-c5ccc(C(=O)O)cc5)cc4cc32)s1	P13631	Kd	Homo sapiens		7.481486060122112		CHEMBL163530	CHEMBL2003
Cc1ccc(C2=CC(C)(C)Sc3cc4ccc(-c5ccc(C(=O)O)cc5)cc4cc32)cc1	P13631	Kd	Homo sapiens		8.301029995663981		CHEMBL165629	CHEMBL2003
Cc1ccc(C2=CC(C)(C)Sc3cc4ccc(-c5ccc(C(=O)O)cc5)cc4cc32)s1	P13631	Kd	Homo sapiens		7.744727494896693		CHEMBL163223	CHEMBL2003
