nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
CN(C)c1cc[n+](Cc2ccc(-c3ccc(C[n+]4ccc(N(C)c5ccc(Cl)cc5)cc4)cc3)cc2)cc1	P35790	Kd	Homo sapiens		6.207608310501746		CHEMBL3112877	CHEMBL3117
CN(C)c1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(N5CCCC5)cc4)cc3)cc2)cc1	P35790	Kd	Homo sapiens		6.3979400086720375		CHEMBL3112870	CHEMBL3117
CN1CCCN(Cc2ccc(-c3cc(F)c(CN4CCCN(C)CC4)c(F)c3)cc2)CC1	P35790	Kd	Homo sapiens		6.586700235918747		CHEMBL3763453	CHEMBL3117
CN1CCCN(Cc2ccc(-c3ccc(C(=O)N4CCCN(C)CC4)cc3)cc2)CC1	P35790	Kd	Homo sapiens		6.709965388637482		CHEMBL3765239	CHEMBL3117
CN1CCCN(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)CC1	P35790	Kd	Homo sapiens		5.3979400086720375		CHEMBL3765567	CHEMBL3117
CN1CCCN(Cc2ccc(-c3ccc(CN4CCCN(C)CC4)c(Cl)c3)cc2)CC1	P35790	Kd	Homo sapiens		7.055517327849832		CHEMBL3763792	CHEMBL3117
CN1CCCN(Cc2ccc(-c3ccc(CN4CCCN(C)CC4)c(F)c3F)cc2)CC1	P35790	Kd	Homo sapiens		7.67778070526608		CHEMBL3764278	CHEMBL3117
CN1CCCN(Cc2ccc(-c3ccc(CN4CCCN(C)CC4)cc3)cc2)CC1	P35790	Kd	Homo sapiens		6.417936637088291		CHEMBL3763801	CHEMBL3117
CN1CCCN(Cc2ccc(-c3ccc(CN4CCCN(C)CC4)cc3C#N)c(F)c2)CC1	P35790	Kd	Homo sapiens		7.00436480540245		CHEMBL3763931	CHEMBL3117
CN1CCCN(Cc2ccc(-c3ccc(CN4CCCN(C)CC4)cc3C#N)cc2)CC1	P35790	Kd	Homo sapiens		8.0		CHEMBL3763540	CHEMBL3117
CN1CCCN(Cc2ccc(-c3ccc(CN4CCCN(C)CC4)cc3F)cc2)CC1	P35790	Kd	Homo sapiens		6.675717544702308		CHEMBL3763982	CHEMBL3117
CN1CCCN(Cc2ccc(-c3ccc(N4CCN(C)CC4)cc3)cc2)CC1	P35790	Kd	Homo sapiens		6.114073660198568		CHEMBL3764898	CHEMBL3117
CN1CCCN(Cc2ccc(-c3ccccc3)cc2)CC1	P35790	Kd	Homo sapiens		5.431798275933005		CHEMBL3763340	CHEMBL3117
CN1CCCN(Cc2ccc3ccccc3c2)CC1	P35790	Kd	Homo sapiens		5.366531544420414		CHEMBL3765650	CHEMBL3117
CN1CCCN(Cc2ccc3ncccc3c2)CC1	P35790	Kd	Homo sapiens		5.3979400086720375		CHEMBL3765077	CHEMBL3117
CN1CCNCC(Cc2ccc3ncccc3c2)C1	P35790	Kd	Homo sapiens		5.154901959985743		CHEMBL3764395	CHEMBL3117
COC(=O)c1ccc(-c2ccc(CN3CCCN(C)CC3)cc2)cc1	P35790	Kd	Homo sapiens		5.619788758288393		CHEMBL3764904	CHEMBL3117
COc1ccc(-c2ccc(CN3CCCN(C)CC3)cc2)cc1	P35790	Kd	Homo sapiens		5.420216403383191		CHEMBL3764767	CHEMBL3117
