nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
CN1C(=O)c2c(nn(Cc3ccc(-c4cccc(F)n4)cc3)c2Nc2ccccc2)N2C1=NC1CCCC12	Q9NP56	Kd	Homo sapiens		6.443697499232713		CHEMBL3769414_CHEMBL3770459_CHEMBL3770759	CHEMBL4716
CN1C(=O)c2c(nn(Cc3ccc(-c4ccccc4)cc3)c2Nc2ccccc2)N2C1=NC1CCCC12	Q9NP56	Kd	Homo sapiens		6.040958607678906		CHEMBL3770470	CHEMBL4716
CN1C(=O)c2c(nn(Cc3ccc(-c4ccccn4)cc3)c2Nc2ccccc2)N2C1=NC1CCCC12	Q9NP56	Kd	Homo sapiens		6.522878745280337		CHEMBL3769489_CHEMBL3769817	CHEMBL4716
CN1C(=O)c2c(nn(Cc3ccc(C(F)(F)F)cc3)c2Nc2ccccc2)N2C1=NC1CCCC12	Q9NP56	Kd	Homo sapiens		5.920818753952375		CHEMBL3769461	CHEMBL4716
CN1C(=O)c2c(nn(Cc3ccc(C(F)(F)F)nc3)c2Nc2ccccc2)N2C1=NC1CCCC12	Q9NP56	Kd	Homo sapiens		5.214670164989234		CHEMBL3770107	CHEMBL4716
