nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
C=CCN1CCc2cc(OC)c(O)cc2C(c2c(Cl)cccc2Cl)C1	P21918	Kd	Homo sapiens		6.319573829141855		CHEMBL4645139	CHEMBL1850
C=CCN1CCc2cc(OC)c(O)cc2C(c2ccccc2Br)C1	P21918	Kd	Homo sapiens		6.300162274132753		CHEMBL4649012	CHEMBL1850
C=CCN1CCc2cc(OC)c(O)cc2C(c2ccccc2Cl)C1	P21918	Kd	Homo sapiens		6.577738549186398		CHEMBL4643886	CHEMBL1850
CC(=O)N1CCC(c2ccc(-c3cc(C(=O)O)cc4cc(-c5ccc(C(F)(F)F)cc5)ccc34)cc2)CC1	P21918	Kd	Homo sapiens		5.3585258894959		CHEMBL4642592	CHEMBL1850
CCCCN1CCC(COC(=O)c2cc(Cl)c(NC)c3c2OCCO3)CC1	P21918	Kd	Homo sapiens		6.012333735073725		CHEMBL1258223	CHEMBL1850
CCCN(CCC)CCc1cccc2c1CC(=O)N2	P21918	Kd	Homo sapiens		4.384986847032978		CHEMBL589	CHEMBL1850
CCN(CC)CCCOc1cccc(N2C(=O)C(=Nc3cccc(C(F)(F)F)c3)c3ccccc32)c1	P21918	Kd	Homo sapiens		6.386158178123932		CHEMBL378825	CHEMBL1850
CN(C)CCOc1ccccc1Cc1ccccc1	P21918	Kd	Homo sapiens		6.3829996588791005		CHEMBL186720_CHEMBL3925724	CHEMBL1850
CN1CCC2C(C1)c1cccc3c1N2c1ccccc1CS3	P21918	Kd	Homo sapiens		6.699991797446188		CHEMBL3217984	CHEMBL1850
CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3c(F)cccc3C(F)(F)F)c3ccccc32)CC1	P21918	Kd	Homo sapiens		8.154901959985743		CHEMBL213492	CHEMBL1850
CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3c(N)cccc3Cl)c3ccccc32)CC1	P21918	Kd	Homo sapiens		7.275724130399211		CHEMBL378669	CHEMBL1850
CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3cccc4ccccc34)c3ccccc32)CC1	P21918	Kd	Homo sapiens		6.978810700930063		CHEMBL213834	CHEMBL1850
CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccccc3Cl)c3ccccc32)CC1	P21918	Kd	Homo sapiens		7.136677139879544		CHEMBL212912	CHEMBL1850
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1	P21918	Kd	Homo sapiens		6.0		CHEMBL42	CHEMBL1850
CN1CCOc2cc(O)ccc2Cc2ccccc2CC1	P21918	Kd	Homo sapiens		9.244125144327509		CHEMBL184050	CHEMBL1850
CN1CCc2c(c3cccc4c3n2-c2ccccc2CC4)C1	P21918	Kd	Homo sapiens		6.23791191015847		CHEMBL3104091	CHEMBL1850
CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1	P21918	Kd	Homo sapiens		8.520837534177971		CHEMBL324017	CHEMBL1850
CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1	P21918	Kd	Homo sapiens		9.537062862175487		CHEMBL13668_CHEMBL1814790_CHEMBL62	CHEMBL1850
CN1CCc2cc(O)ccc2Cc2ccc(O)cc2CC1	P21918	Kd	Homo sapiens		8.774690718274138		CHEMBL381936	CHEMBL1850
CN1CCc2ccccc2Cc2c(ccc(O)c2Cl)CC1	P21918	Kd	Homo sapiens		9.008773924307503		CHEMBL380464	CHEMBL1850
CN1CCc2ccccc2Cc2cc(N)c(O)cc2CC1	P21918	Kd	Homo sapiens		6.644931793651151		CHEMBL204098	CHEMBL1850
CN1CCc2ccccc2Cc2cc(O)c(Cl)cc2CC1	P21918	Kd	Homo sapiens		8.309803919971486		CHEMBL203047	CHEMBL1850
CN1CCc2ccccc2Cc2cc(O)ccc2CC1	P21918	Kd	Homo sapiens		7.373659632624958		CHEMBL382010	CHEMBL1850
CN1CCc2ccccc2Cc2ccc(O)c(Cl)c2CC1	P21918	Kd	Homo sapiens		10.244125144327509		CHEMBL203637	CHEMBL1850
CN1CCc2ccccc2Cc2ccc(O)cc2CC1	P21918	Kd	Homo sapiens		8.823908740944319		CHEMBL1204122_CHEMBL201170	CHEMBL1850
CN1CCc2ccccc2Cc2ccccc2CC1	P21918	Kd	Homo sapiens		7.950781977329817		CHEMBL201525	CHEMBL1850
CN1CCc2ccccc2Cc2ccsc2CC1	P21918	Kd	Homo sapiens		7.823908740944319		CHEMBL201093	CHEMBL1850
CN1CCc2ccccc2Cc2sc3ccccc3c2CC1	P21918	Kd	Homo sapiens		8.721246399047171		CHEMBL3753266	CHEMBL1850
CN1CCc2ccccc2Cc2sccc2CC1	P21918	Kd	Homo sapiens		8.522878745280337		CHEMBL3752512	CHEMBL1850
COc1c(O)ccc2c1CN1CCc3cc4c(cc3C1C2)OCO4	P21918	Kd	Homo sapiens		7.82102305270683		CHEMBL1330951_CHEMBL1457510_CHEMBL2334880	CHEMBL1850
COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1	P21918	Kd	Homo sapiens		5.130885673020625		CHEMBL516088	CHEMBL1850
COc1c(OCCF)cccc1C(O)C1CCN(CCc2ccc(F)cc2)CC1	P21918	Kd	Homo sapiens		5.12965462891904		CHEMBL402143_CHEMBL515472	CHEMBL1850
COc1cc2c(cc1O)C(c1c(Cl)cccc1Cl)CN(C)CC2	P21918	Kd	Homo sapiens		7.308918507877031		CHEMBL4633950	CHEMBL1850
COc1cc2c(cc1O)C(c1c(Cl)cccc1Cl)CNCC2	P21918	Kd	Homo sapiens		7.595166283380061		CHEMBL4640497	CHEMBL1850
COc1cc2c(cc1O)C(c1ccccc1)CNCC2	P21918	Kd	Homo sapiens		6.508778423760719		CHEMBL4642805	CHEMBL1850
COc1cc2c(cc1O)C(c1ccccc1Br)CN(C)CC2	P21918	Kd	Homo sapiens		7.327902142064282		CHEMBL4643426	CHEMBL1850
COc1cc2c(cc1O)C(c1ccccc1Br)CNCC2	P21918	Kd	Homo sapiens		7.086186147616282		CHEMBL4636741	CHEMBL1850
