nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
CCOC(=O)CCCn1c2ccccc2c2nc3nonc3nc21	P35222	Kd	Homo sapiens		4.2839966563652006		CHEMBL3589025	CHEMBL5866
CCOC(=O)Cn1c2ccccc2c2nc3nonc3nc21	P35222	Kd	Homo sapiens		4.200659450546418		CHEMBL3589021	CHEMBL5866
COC(=O)CCn1c2ccccc2c2nc3nonc3nc21	P35222	Kd	Homo sapiens		4.0	4.0	CHEMBL3589023	CHEMBL5866
COc1c(CC(C)O)c2c3c(CC(C)O)c(OC)c(=O)c4c(O)cc5c(c6c(cc(O)c(c1=O)c62)OCO5)c43	P35222	Kd	Homo sapiens		4.836422743795284		CHEMBL2323033	CHEMBL5866
Cc1cc(C=C2SC(=O)N(c3ccccc3)C2=O)c(C)n1-c1cccnc1	P35222	Kd	Homo sapiens		4.267606240177032		CHEMBL3589010	CHEMBL5866
Cc1ccc(C=NNC(=O)c2ccccc2Oc2ccccc2)o1	P35222	Kd	Homo sapiens		6.045757490560675		CHEMBL254381	CHEMBL5866
N#CCCn1c2ccccc2c2nc3nonc3nc21	P35222	Kd	Homo sapiens		4.368418767518891		CHEMBL3589158	CHEMBL5866
O=C(O)CCn1c2ccccc2c2nc3nonc3nc21	P35222	Kd	Homo sapiens		5.220046687481943		CHEMBL3589024	CHEMBL5866
O=C(O)Cn1c2ccccc2c2nc3nonc3nc21	P35222	Kd	Homo sapiens		5.311894074858665		CHEMBL3589022	CHEMBL5866
O=C(O)c1cc(-c2ccc(Oc3ccc(Cl)cc3)cc2)on1	P35222	Kd	Homo sapiens		4.395644990046798		CHEMBL2323028	CHEMBL5866
O=C(O)c1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccccc2)ccc1O	P35222	Kd	Homo sapiens		4.886056647693163		CHEMBL3589162	CHEMBL5866
O=C(O)c1cc2nc(-c3ccc4c(c3)OCO4)c(-c3ccc4c(c3)OCO4)nc2cc1O	P35222	Kd	Homo sapiens		4.990649750666878		CHEMBL3589011	CHEMBL5866
O=C(O)c1ccc2nc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)nc2c1	P35222	Kd	Homo sapiens		4.970786987771497		CHEMBL2323029	CHEMBL5866
On1ncc2cc(CCc3nn[nH]n3)ccc21	P35222	Kd	Homo sapiens		5.477308353825233		CHEMBL2323032	CHEMBL5866
c1ccc2c(c1)c1nc3nonc3nc1n2CCCc1nn[nH]n1	P35222	Kd	Homo sapiens		4.211599052085544		CHEMBL3589161	CHEMBL5866
c1ccc2c(c1)c1nc3nonc3nc1n2CCc1nn[nH]n1	P35222	Kd	Homo sapiens		4.596667567972543		CHEMBL3589160	CHEMBL5866
