	id	funatsu_lab_id1	funatsu_lab_id2	core	sub1	sub2	pot1	pot2	dpot	class	core_id
2859	280144-280719	280719	280144	[R1]CN=C(Nc1ccc(cc1)S(=O)(=O)NCc2ccc(cc2)S(=O)(=O)N)S	[R1]c1ccccn1	[R1]CN1CCOCC1	6.54	6.66	0.1200000000000001	-1	460.0
2860	280144-280720	280144	280720	[R1]CCN=C(Nc1ccc(cc1)S(=O)(=O)NCc2ccc(cc2)S(=O)(=O)N)S	[R1]N1CCOCC1	[R1]c1ccc(cc1)S(=O)(=O)N	6.66	7.34	0.6799999999999997	-1	426.0
2861	280250-280433	280250	280433	[R1]n1c(nnc1S)c2ccc(cc2)S(=O)(=O)c3ccc(cc3)Br	[R1]c1cccc(c1)C	[R1]c1ccc(cc1)C	3.52	3.6	0.08000000000000007	-1	464.0
2862	280289-280719	280719	280289	[R1]N=C(Nc1ccc(cc1)S(=O)(=O)NCc2ccc(cc2)S(=O)(=O)N)S	[R1]Cc1ccccn1	[R1]N1CCOCC1	6.54	6.56	0.01999999999999957	-1	461.0
2863	280289-280720	280289	280720	[R1]N=C(Nc1ccc(cc1)S(=O)(=O)NCc2ccc(cc2)S(=O)(=O)N)S	[R1]N1CCOCC1	[R1]CCc1ccc(cc1)S(=O)(=O)N	6.56	7.34	0.7800000000000002	-1	461.0
2864	280719-280720	280719	280720	[R1]CN=C(Nc1ccc(cc1)S(=O)(=O)NCc2ccc(cc2)S(=O)(=O)N)S	[R1]c1ccccn1	[R1]Cc1ccc(cc1)S(=O)(=O)N	6.54	7.34	0.7999999999999998	-1	460.0
2865	282179-298341	298341	282179	[R1]C(=O)Nc1cc(c(cc1S(=O)(=O)N)S(=O)(=O)N)Cl	[R1]CCCN	[R1]Nc1ccccc1	0.95	7.0	6.05	1	77.0
2866	282180-295453	295453	282180	[R1]c1ccc(cc1)S(=O)(=O)Nc2nnc(s2)S(=O)(=O)N	[R1]C(C)(C)C	[R1]Br	7.82	8.7	0.879999999999999	-1	91.0
2867	282191-298781	298781	282191	[R1]C(=O)Nc1nnc(s1)S(=O)(=O)N	[R1]CCCN	[R1]c1ccco1	0.9	8.22	7.32	1	74.0
2868	282191-309867	309867	282191	[R1]C(=O)Nc1nnc(s1)S(=O)(=O)N	[R1]CCS	[R1]c1ccco1	8.04	8.22	0.1800000000000015	-1	74.0
2869	282191-500602	500602	282191	[R1]C(=O)Nc1nnc(s1)S(=O)(=O)N	[R1]Cc1cccs1	[R1]c1ccco1	7.29	8.22	0.9300000000000006	-1	74.0
2870	282192-282193	282193	282192	[R1]CNS(=O)(=O)c1ccc2c(c1)S(=O)(=O)C=C2	[R1]C1CC1	[R1]C	6.32	6.36	0.040000000000000036	-1	459.0
2871	282201-282202	282202	282201	[R1]COC1CS(=O)(=O)c2c1ccc(c2)S(=O)(=O)N	[R1]c1ccccc1	[R1]CCC	8.1	8.2	0.09999999999999963	-1	458.0
2872	282260-310116	282260	310116	[R1]Nc1ccc(cc1)S(=O)(=O)N	[R1]S(=O)(=O)C	[R1]C(=O)CCS	7.19	7.57	0.3799999999999999	-1	61.0
2873	282260-322557	282260	322557	[R1]c1ccc(cc1)S(=O)(=O)N	[R1]NS(=O)(=O)C	[R1]N=[N+]=N	7.19	7.33	0.13999999999999968	-1	16.0
2874	282260-419431	419431	282260	[R1]c1ccc(cc1)S(=O)(=O)N	[R1]CCC(=O)O	[R1]NS(=O)(=O)C	6.31	7.19	0.8800000000000008	-1	16.0
2875	282260-633009	282260	633009	[R1]c1ccc(cc1)S(=O)(=O)N	[R1]NS(=O)(=O)C	[R1]OCCCC	7.19	8.14	0.9500000000000002	-1	16.0
2876	286461-286462	286461	286462	[R1]c1ccc(cc1)C(F)(F)S(=O)(=O)N	[R1]C	[R1][N+](=O)[O-]	6.46	6.95	0.4900000000000002	-1	457.0
2877	286461-286483	286461	286483	[R1]c1ccc(cc1)C(F)(F)S(=O)(=O)N	[R1]C	[R1]Br	6.46	7.01	0.5499999999999998	-1	457.0
2878	286462-286483	286462	286483	[R1]c1ccc(cc1)C(F)(F)S(=O)(=O)N	[R1][N+](=O)[O-]	[R1]Br	6.95	7.01	0.05999999999999961	-1	457.0
2879	6586-286484	286484	6586	[R1]c1ccc2c(cc(=O)oc2c1)C	[R1]CS(=O)(=O)N	[R1]OS(=O)(=O)N	7.49	7.6	0.10999999999999943	-1	456.0
2880	295341-298876	298876	295341	[R1]c1ccc(cc1)S(=O)(=O)Nc2cccc(c2)S(=O)(=O)N	[R1]NC(=O)CCCN	[R1]C(C)(C)C	1.11	6.69	5.58	1	72.0
2881	295369-298769	298769	295369	[R1]c1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)S(=O)(=O)N	[R1]NC(=O)CCCN	[R1]C(C)(C)C	1.15	6.92	5.77	1	88.0
2882	298339-298381	298339	298381	[R1]c1cc(ccc1NC(=O)CCCN)S(=O)(=O)N	[R1]I	[R1]Cl	1.43	1.49	0.06000000000000005	-1	455.0
2883	298339-298382	298339	298382	[R1]c1cc(ccc1NC(=O)CCCN)S(=O)(=O)N	[R1]I	[R1]Br	1.43	1.48	0.05000000000000005	-1	455.0
2884	298339-298408	298408	298339	[R1]c1cc(ccc1NC(=O)CCCN)S(=O)(=O)N	[R1]F	[R1]I	1.0	1.43	0.43	-1	455.0
2885	298381-298382	298382	298381	[R1]c1cc(ccc1NC(=O)CCCN)S(=O)(=O)N	[R1]Br	[R1]Cl	1.48	1.49	0.010000000000000007	-1	455.0
2886	298381-298408	298408	298381	[R1]c1cc(ccc1NC(=O)CCCN)S(=O)(=O)N	[R1]F	[R1]Cl	1.0	1.49	0.49	-1	455.0
2887	298381-310186	298381	310186	[R1]CCC(=O)Nc1ccc(cc1Cl)S(=O)(=O)N	[R1]CN	[R1]S	1.49	8.05	6.5600000000000005	1	65.0
2888	298381-500566	298381	500566	[R1]CC(=O)Nc1ccc(cc1Cl)S(=O)(=O)N	[R1]CCN	[R1]c1cccs1	1.49	7.3	5.81	1	17.0
2889	298381-500650	298381	500650	[R1]CC(=O)Nc1ccc(cc1Cl)S(=O)(=O)N	[R1]CCN	[R1]c1ccccc1	1.49	7.24	5.75	1	17.0
