	id	funatsu_lab_id1	funatsu_lab_id2	core	sub1	sub2	pot1	pot2	dpot	class	core_id
4343	332379-332401	332379	332401	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CCCO	[R1]C1=NC(=O)CO1	9.74	10.59	0.8499999999999996	-1	53.0
4344	332379-332402	332379	332402	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CCCO	[R1]C1=NCCS1	9.74	10.62	0.879999999999999	-1	53.0
4345	332379-332403	332379	332403	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CCCO	[R1]c1ncco1	9.74	10.23	0.4900000000000002	-1	53.0
4346	332379-332409	332379	332409	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(C)CCCO	[R1]N1CC(=O)NC1=N	9.74	10.47	0.7300000000000004	-1	3.0
4347	332379-332415	332379	332415	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(C)CCCO	[R1]n1ccnc1	9.74	10.66	0.92	-1	3.0
4348	332379-332422	332379	332422	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CCCO	[R1]c1[nH]ccn1	9.74	10.7	0.9599999999999992	-1	53.0
4349	332379-332425	332379	332425	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CCCO	[R1]C(=O)NCC	9.74	10.7	0.9599999999999992	-1	53.0
4350	332380-332385	332380	332385	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CC(C)O	[R1]S(=O)(=O)C	9.4	10.35	0.9499999999999992	-1	53.0
4351	332380-332387	332380	332387	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CC(C)O	[R1]C(=O)NCCO	9.4	10.3	0.9000000000000004	-1	53.0
4352	332380-332393	332393	332380	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(CC(F)(F)F)C1=NCCO1	[R1]N(C)CC(C)O	8.66	9.4	0.7400000000000002	-1	3.0
4353	332380-332394	332380	332394	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(C)CC(C)O	[R1]N(C1=NCCO1)C(C)(C)C	9.4	9.92	0.5199999999999996	-1	3.0
4354	332380-332396	332380	332396	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(C)CC(C)O	[R1]N(CCOC)C1=NCCO1	9.4	9.59	0.1899999999999995	-1	3.0
4355	332380-332397	332380	332397	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CC(C)O	[R1]C1=NCC(O1)C	9.4	9.92	0.5199999999999996	-1	53.0
4356	332380-332403	332380	332403	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CC(C)O	[R1]c1ncco1	9.4	10.23	0.8300000000000001	-1	53.0
4357	332381-332382	332381	332382	[R1]CN(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]C(C)(C)O	[R1]C(CO)O	9.15	9.59	0.4399999999999995	-1	513.0
4358	332381-332393	332393	332381	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(CC(F)(F)F)C1=NCCO1	[R1]N(C)CC(C)(C)O	8.66	9.15	0.4900000000000002	-1	3.0
4359	332381-332394	332381	332394	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(C)CC(C)(C)O	[R1]N(C1=NCCO1)C(C)(C)C	9.15	9.92	0.7699999999999996	-1	3.0
4360	332381-332396	332381	332396	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(C)CC(C)(C)O	[R1]N(CCOC)C1=NCCO1	9.15	9.59	0.4399999999999995	-1	3.0
4361	332381-332397	332381	332397	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CC(C)(C)O	[R1]C1=NCC(O1)C	9.15	9.92	0.7699999999999996	-1	53.0
4362	332381-332404	332381	332404	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CC(C)(C)O	[R1]C1=NCCC1	9.15	11.4	2.25	1	53.0
4363	332381-332410	332381	332410	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(C)CC(C)(C)O	[R1]N1CCN=C1SC	9.15	11.4	2.25	1	3.0
4364	332381-332412	332381	332412	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(C)CC(C)(C)O	[R1]N1CCN=C1	9.15	11.4	2.25	1	3.0
4365	332381-332417	332381	332417	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(C)CC(C)(C)O	[R1]n1ccnc1N	9.15	11.22	2.0700000000000003	1	3.0
4366	332381-332418	332381	332418	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(C)CC(C)(C)O	[R1]n1ccnc1NC	9.15	11.3	2.1500000000000004	1	3.0
4367	332381-332419	332381	332419	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(C)CC(C)(C)O	[R1]n1ccnc1NCC	9.15	11.3	2.1500000000000004	1	3.0
4368	332382-332385	332382	332385	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CC(CO)O	[R1]S(=O)(=O)C	9.59	10.35	0.7599999999999998	-1	53.0
4369	332382-332387	332382	332387	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CC(CO)O	[R1]C(=O)NCCO	9.59	10.3	0.7100000000000009	-1	53.0
4370	332382-332389	332382	332389	[R1]N(C)Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]CC(CO)O	[R1]C(=O)NCCN1CCCC1	9.59	10.44	0.8499999999999996	-1	53.0
4371	332382-332393	332393	332382	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(CC(F)(F)F)C1=NCCO1	[R1]N(C)CC(CO)O	8.66	9.59	0.9299999999999996	-1	3.0
4372	332382-332394	332382	332394	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(C)CC(CO)O	[R1]N(C1=NCCO1)C(C)(C)C	9.59	9.92	0.3300000000000001	-1	3.0
4373	332382-332396	332382	332396	[R1]Cc1csc(c1Cl)C(=O)Nc2c(cc(cc2OC)Cl)C(=O)Nc3ccc(cn3)Cl	[R1]N(C)CC(CO)O	[R1]N(CCOC)C1=NCCO1	9.59	9.59	0.0	-1	3.0
