	id	chembl_cid1	chembl_cid2	core	sub1	sub2	pot1	pot2	dpot	thres	class	core_id
0	CHEMBL186720_CHEMBL3925724-CHEMBL364565	CHEMBL186720_CHEMBL3925724	CHEMBL364565	[R1]CCOc1ccccc1Cc2ccccc2	[R1]N(C)C	[R1]N1CCCCC1	6.3829996588791005	7.366531544420412	0.9835318855413115	0.961598175766938	-1	1.0
1	CHEMBL186720_CHEMBL3925724-CHEMBL365697	CHEMBL186720_CHEMBL3925724	CHEMBL365697	[R1]CCOc1ccccc1Cc2ccccc2	[R1]N(C)C	[R1]N1CCOCC1	6.3829996588791005	6.436518914605589	0.0535192557264885	0.961598175766938	-1	1.0
2	CHEMBL186720_CHEMBL3925724-CHEMBL435505	CHEMBL435505	CHEMBL186720_CHEMBL3925724	[R1]CCOc1ccccc1Cc2ccccc2	[R1]N1CCCC1	[R1]N(C)C	6.021819483062585	6.3829996588791005	0.3611801758165152	0.961598175766938	-1	1.0
3	CHEMBL1940404-CHEMBL1940403	CHEMBL1940403	CHEMBL1940404	[R1]CCCN1CCC(CC1)(c2ccc(cc2)Cl)O	[R1]Sc1ccc(cc1)F	[R1]Oc1ccc(cc1)F	6.946921556516581	6.987162775294827	0.0402412187782461	0.961598175766938	-1	11.0
4	CHEMBL1940408-CHEMBL1940415	CHEMBL1940415	CHEMBL1940408	[R1]N1CCN(CC1)CCCCc2ccc(cc2)F	[R1]c1ncccn1	[R1]c1ccc(cc1)Cl	5.41884710803371	5.754981129262247	0.3361340212285366	0.961598175766938	-1	10.0
5	CHEMBL1940408-CHEMBL1940418	CHEMBL1940408	CHEMBL1940418	[R1]N1CCN(CC1)CCCCc2ccc(cc2)F	[R1]c1ccc(cc1)Cl	[R1]c1ccccn1	5.754981129262247	5.838332587562264	0.083351458300017	0.961598175766938	-1	10.0
6	CHEMBL1940408-CHEMBL3289648	CHEMBL3289648	CHEMBL1940408	[R1]N1CCN(CC1)CCCCc2ccc(cc2)F	[R1]c1ccc(cn1)C	[R1]c1ccc(cc1)Cl	5.493124764287621	5.754981129262247	0.2618563649746264	0.961598175766938	-1	10.0
7	CHEMBL1940411-CHEMBL1940409	CHEMBL1940409	CHEMBL1940411	[R1]CCCN1CCN(CC1)c2ccc(cc2)Cl	[R1]Sc1ccc(cc1)F	[R1]Oc1ccc(cc1)F	5.551602896542232	5.571217488503045	0.0196145919608126	0.961598175766938	-1	9.0
8	CHEMBL1940409-CHEMBL1940416	CHEMBL1940409	CHEMBL1940416	[R1]N1CCN(CC1)CCCSc2ccc(cc2)F	[R1]c1ccc(cc1)Cl	[R1]c1ncccn1	5.551602896542232	5.863279432843593	0.3116765363013609	0.961598175766938	-1	8.0
9	CHEMBL1940409-CHEMBL1940419	CHEMBL1940419	CHEMBL1940409	[R1]N1CCN(CC1)CCCSc2ccc(cc2)F	[R1]c1ccccn1	[R1]c1ccc(cc1)Cl	5.4917396944876655	5.551602896542232	0.0598632020545668	0.961598175766938	-1	8.0
10	CHEMBL1940409-CHEMBL3289647	CHEMBL1940409	CHEMBL3289647	[R1]N1CCN(CC1)CCCSc2ccc(cc2)F	[R1]c1ccc(cc1)Cl	[R1]c1ccc(cn1)C	5.551602896542232	5.6828739307743925	0.1312710342321601	0.961598175766938	-1	8.0
11	CHEMBL1940411-CHEMBL1940420	CHEMBL1940411	CHEMBL1940420	[R1]N1CCN(CC1)CCCOc2ccc(cc2)F	[R1]c1ccc(cc1)Cl	[R1]c1ccccn1	5.571217488503045	5.621238824683625	0.0500213361805803	0.961598175766938	-1	7.0
12	CHEMBL1940411-CHEMBL3289646	CHEMBL1940411	CHEMBL3289646	[R1]N1CCN(CC1)CCCOc2ccc(cc2)F	[R1]c1ccc(cc1)Cl	[R1]c1ccc(cn1)C	5.571217488503045	5.594526762167923	0.0233092736648776	0.961598175766938	-1	7.0
13	CHEMBL1940418-CHEMBL1940415	CHEMBL1940415	CHEMBL1940418	[R1]N1CCN(CC1)CCCCc2ccc(cc2)F	[R1]c1ncccn1	[R1]c1ccccn1	5.41884710803371	5.838332587562264	0.4194854795285536	0.961598175766938	-1	10.0
14	CHEMBL3289648-CHEMBL1940415	CHEMBL1940415	CHEMBL3289648	[R1]N1CCN(CC1)CCCCc2ccc(cc2)F	[R1]c1ncccn1	[R1]c1ccc(cn1)C	5.41884710803371	5.493124764287621	0.0742776562539102	0.961598175766938	-1	10.0
15	CHEMBL1940419-CHEMBL1940416	CHEMBL1940419	CHEMBL1940416	[R1]N1CCN(CC1)CCCSc2ccc(cc2)F	[R1]c1ccccn1	[R1]c1ncccn1	5.4917396944876655	5.863279432843593	0.3715397383559278	0.961598175766938	-1	8.0
16	CHEMBL3289647-CHEMBL1940416	CHEMBL3289647	CHEMBL1940416	[R1]N1CCN(CC1)CCCSc2ccc(cc2)F	[R1]c1ccc(cn1)C	[R1]c1ncccn1	5.6828739307743925	5.863279432843593	0.1804055020692008	0.961598175766938	-1	8.0
17	CHEMBL3289648-CHEMBL1940418	CHEMBL3289648	CHEMBL1940418	[R1]N1CCN(CC1)CCCCc2ccc(cc2)F	[R1]c1ccc(cn1)C	[R1]c1ccccn1	5.493124764287621	5.838332587562264	0.3452078232746434	0.961598175766938	-1	10.0
18	CHEMBL3289647-CHEMBL1940419	CHEMBL1940419	CHEMBL3289647	[R1]N1CCN(CC1)CCCSc2ccc(cc2)F	[R1]c1ccccn1	[R1]c1ccc(cn1)C	5.4917396944876655	5.6828739307743925	0.191134236286727	0.961598175766938	-1	8.0
19	CHEMBL3289646-CHEMBL1940420	CHEMBL3289646	CHEMBL1940420	[R1]N1CCN(CC1)CCCOc2ccc(cc2)F	[R1]c1ccc(cn1)C	[R1]c1ccccn1	5.594526762167923	5.621238824683625	0.0267120625157026	0.961598175766938	-1	7.0
20	CHEMBL378825-CHEMBL209497	CHEMBL209497	CHEMBL378825	[R1]Oc1cccc(c1)N2c3ccccc3C(=Nc4cccc(c4)C(F)(F)F)C2=O	[R1]CCN1CCCC1	[R1]CCCN(CC)CC	6.027334407733889	6.386158178123932	0.3588237703900425	0.961598175766938	-1	6.0
