	id	funatsu_lab_id1	funatsu_lab_id2	core	sub1	sub2	pot1	pot2	dpot	class	core_id
371	1292447-1292452	1292452	1292447	[R1]CC(C(=O)NCc1ccc(cc1)C(=N)N)NC(=O)C(CC2CCCCC2)NCC(=O)O	[R1]C1CCCN1	[R1]c1ccc(cc1)CN	5.4	5.7	0.2999999999999998	-1	193.0
372	1292448-1292451	1292451	1292448	[R1]CNC(CC1CCCCC1)C(=O)NC(CCCNC(=N)N)C(=O)NCc2ccc(cc2)C(=N)N	[R1]CC(=O)O	[R1]C(=O)O	5.52	6.0	0.4800000000000004	-1	195.0
373	1292448-1292452	1292452	1292448	[R1]CC(C(=O)NCc1ccc(cc1)C(=N)N)NC(=O)C(CC2CCCCC2)NCC(=O)O	[R1]C1CCCN1	[R1]CCNC(=N)N	5.4	6.0	0.5999999999999996	-1	193.0
374	129718-129821	129821	129718	[R1]c1cc(c(c(c1)c2cc3cc(ccc3[nH]2)C(=N)N)O)c4ccccc4	[R1]Br	[R1]Cl	5.85	6.54	0.6900000000000004	-1	196.0
375	65677-129718	65677	129718	[R1]c1cc(c(c(c1)c2cc3cc(ccc3[nH]2)C(=N)N)O)c4ccccc4	[R1]C	[R1]Cl	5.96	6.54	0.5800000000000001	-1	196.0
376	129806-129858	129858	129806	[R1]c1cccc(c1O)c2cc3cc(ccc3[nH]2)C(=N)N	[R1]c1ccccc1	[R1]Br	6.49	6.92	0.4299999999999997	-1	197.0
377	129821-129902	129821	129902	[R1]c1cc(cc(c1O)c2cc3cc(ccc3[nH]2)C(=N)N)Br	[R1]c1ccccc1	[R1]Br	5.85	6.49	0.6400000000000006	-1	198.0
378	65677-129821	129821	65677	[R1]c1cc(c(c(c1)c2cc3cc(ccc3[nH]2)C(=N)N)O)c4ccccc4	[R1]Br	[R1]C	5.85	5.96	0.11000000000000032	-1	196.0
379	129858-1512093	1512093	129858	[R1]c1cccc(c1O)c2cc3cc(ccc3[nH]2)C(=N)N	[R1]C(C)C	[R1]c1ccccc1	5.72	6.49	0.7700000000000005	-1	197.0
380	129984-130020	130020	129984	[R1]CC1(CC(=NO1)c2cccc(c2)C(=N)N)C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)N	[R1]OC	[R1]n1cnnn1	5.62	6.05	0.4299999999999997	-1	199.0
381	1300132-1300222	1300222	1300132	[R1]c1ccc(cc1)N2CC(OC2=O)CNC(=O)c3ccc(s3)Cl	[R1]N1CCC(CC1=O)C(=O)O	[R1]N1CCCC(C1)C(=O)O	4.16	4.75	0.5899999999999999	-1	23.0
382	1300222-1300249	1300222	1300249	[R1]c1ccc(cc1)N2CC(OC2=O)CNC(=O)c3ccc(s3)Cl	[R1]N1CCC(CC1=O)C(=O)O	[R1]N1CCCCC1C(=O)OCC	4.16	6.45	2.29	1	23.0
383	131007-289125	289125	131007	[R1]CNC(=O)C1CCCN1C(=O)C(C(c2ccccc2)c3ccccc3)N	[R1]C=Cc1cnc(s1)N	[R1]C#Cc1c[nH]cn1	7.52	7.89	0.3700000000000001	-1	7.0
384	131007-289131	289131	131007	[R1]CNC(=O)C1CCCN1C(=O)C(C(c2ccccc2)c3ccccc3)N	[R1]c1c([nH]cn1)C	[R1]C#Cc1c[nH]cn1	7.19	7.89	0.6999999999999993	-1	7.0
385	131007-289197	289197	131007	[R1]CNC(=O)C1CCCN1C(=O)C(C(c2ccccc2)c3ccccc3)N	[R1]CCc1c[nH]cn1	[R1]C#Cc1c[nH]cn1	7.77	7.89	0.1200000000000001	-1	7.0
386	131007-289272	131007	289272	[R1]CNC(=O)C1CCCN1C(=O)C(C(c2ccccc2)c3ccccc3)N	[R1]C#Cc1c[nH]cn1	[R1]C=Cc1c[nH]cn1	7.89	8.7	0.8099999999999996	-1	7.0
387	1363267-1363284	1363284	1363267	[R1]C(=O)c1cc(cc(c1)Oc2ccc(cc2)C(=N)N)Oc3ccc(cc3)C(=N)N	[R1]N1CCC(CC1)CCN	[R1]NC1CCC(CC1)N	5.39	5.68	0.29000000000000004	-1	200.0
388	1363267-1363295	1363295	1363267	[R1]NC(=O)c1cc(cc(c1)Oc2ccc(cc2)C(=N)N)Oc3ccc(cc3)C(=N)N	[R1]CC1CCC(CC1)O	[R1]C1CCC(CC1)N	5.54	5.68	0.13999999999999968	-1	181.0
389	1363267-1363322	1363322	1363267	[R1]NC(=O)c1cc(cc(c1)Oc2ccc(cc2)C(=N)N)Oc3ccc(cc3)C(=N)N	[R1]CC1CCCCC1	[R1]C1CCC(CC1)N	5.62	5.68	0.05999999999999961	-1	181.0
390	1363267-1363323	1363267	1363323	[R1]C1CCC(CC1)NC(=O)c2cc(cc(c2)Oc3ccc(cc3)C(=N)N)Oc4ccc(cc4)C(=N)N	[R1]N	[R1]C	5.68	6.13	0.4500000000000002	-1	180.0
391	1363267-1363324	1363267	1363324	[R1]C1CCC(CC1)NC(=O)c2cc(cc(c2)Oc3ccc(cc3)C(=N)N)Oc4ccc(cc4)C(=N)N	[R1]N	[R1]O	5.68	5.91	0.23000000000000045	-1	180.0
392	1363267-1363325	1363267	1363325	[R1]NC(=O)c1cc(cc(c1)Oc2ccc(cc2)C(=N)N)Oc3ccc(cc3)C(=N)N	[R1]C1CCC(CC1)N	[R1]C1CCN(CC1)CCO	5.68	5.75	0.07000000000000027	-1	181.0
393	1363267-1363326	1363267	1363326	[R1]NC(=O)c1cc(cc(c1)Oc2ccc(cc2)C(=N)N)Oc3ccc(cc3)C(=N)N	[R1]C1CCC(CC1)N	[R1]C1CCN(CC1)CCCN	5.68	5.89	0.21	-1	181.0
394	1363267-1363327	1363267	1363327	[R1]C(=O)c1cc(cc(c1)Oc2ccc(cc2)C(=N)N)Oc3ccc(cc3)C(=N)N	[R1]NC1CCC(CC1)N	[R1]N1CCC2CCCCC2C1	5.68	6.3	0.6200000000000001	-1	200.0
395	1363267-1363328	1363267	1363328	[R1]C(=O)c1cc(cc(c1)Oc2ccc(cc2)C(=N)N)Oc3ccc(cc3)C(=N)N	[R1]NC1CCC(CC1)N	[R1]N1CCc2ccccc2C1	5.68	5.81	0.1299999999999999	-1	200.0
