	n_tr	n_ac_tr	n_cpdout	n_ac_cpdout	n_bothout	n_ac_bothout	prop_tr	prop_cpdout	prop_bothout
CHEMBL1871-Seed2	176	12	84	5	8	1	0.6567164179104478	0.31343283582089554	0.029850746268656716
CHEMBL1871-Seed4	185	6	75	11	8	1	0.6902985074626866	0.2798507462686567	0.029850746268656716
CHEMBL1871-Seed6	141	14	106	3	21	1	0.5261194029850746	0.39552238805970147	0.07835820895522388
CHEMBL225-Seed2	182	11	75	3	7	1	0.6893939393939394	0.2840909090909091	0.026515151515151516
CHEMBL225-Seed6	166	11	91	3	7	1	0.6287878787878788	0.3446969696969697	0.026515151515151516
CHEMBL225-Seed8	151	6	102	8	11	1	0.571969696969697	0.38636363636363635	0.041666666666666664
CHEMBL3759-Seed1	167	13	81	4	10	2	0.6472868217054264	0.313953488372093	0.03875968992248062
CHEMBL3759-Seed5	155	4	95	14	8	1	0.6007751937984496	0.3682170542635659	0.031007751937984496
CHEMBL3759-Seed6	170	9	78	9	10	1	0.6589147286821705	0.3023255813953488	0.03875968992248062
CHEMBL3105-Seed4	167	6	76	2	5	1	0.6733870967741935	0.3064516129032258	0.020161290322580645
CHEMBL3105-Seed5	158	5	82	3	8	1	0.6370967741935484	0.33064516129032256	0.03225806451612903
CHEMBL3105-Seed9	115	4	109	4	24	1	0.4637096774193548	0.43951612903225806	0.0967741935483871
CHEMBL259-Seed2	156	4	84	7	8	1	0.6290322580645161	0.3387096774193548	0.03225806451612903
CHEMBL259-Seed3	176	7	67	4	5	1	0.7096774193548387	0.2701612903225806	0.020161290322580645
CHEMBL259-Seed7	179	10	59	1	10	1	0.7217741935483871	0.23790322580645162	0.04032258064516129
CHEMBL238-Seed2	152	3	73	6	9	4	0.6495726495726496	0.31196581196581197	0.038461538461538464
CHEMBL238-Seed4	133	6	88	5	13	2	0.5683760683760684	0.37606837606837606	0.05555555555555555
CHEMBL238-Seed6	142	2	80	8	12	3	0.6068376068376068	0.3418803418803419	0.05128205128205128
CHEMBL1855-Seed1	155	11	68	4	8	1	0.670995670995671	0.2943722943722944	0.03463203463203463
CHEMBL1855-Seed4	125	10	95	5	11	1	0.5411255411255411	0.41125541125541126	0.047619047619047616
CHEMBL1855-Seed7	145	6	77	8	9	2	0.6277056277056277	0.3333333333333333	0.03896103896103896
CHEMBL260-Seed2	143	8	72	5	9	1	0.6383928571428571	0.32142857142857145	0.04017857142857143
CHEMBL260-Seed3	145	8	71	4	8	2	0.6473214285714286	0.3169642857142857	0.03571428571428571
CHEMBL260-Seed5	146	8	70	5	8	1	0.6517857142857143	0.3125	0.03571428571428571
CHEMBL3891-Seed6	146	4	61	7	7	1	0.6822429906542056	0.2850467289719626	0.03271028037383177
