	n_tr	n_ac_tr	n_cpdout	n_ac_cpdout	n_bothout	n_ac_bothout	prop_tr	prop_cpdout	prop_bothout
CHEMBL3837-Seed4	641	43	402	20	59	1	0.5816696914700544	0.3647912885662432	0.05353901996370236
CHEMBL236-Seed1	610	38	408	18	75	5	0.5580969807868252	0.37328453796889294	0.0686184812442818
CHEMBL236-Seed2	755	29	307	25	31	7	0.6907593778591034	0.2808783165599268	0.028362305580969808
CHEMBL236-Seed4	686	29	365	28	42	4	0.6276303751143641	0.33394327538883806	0.0384263494967978
CHEMBL234-Seed1	695	51	323	9	36	1	0.6593927893738141	0.3064516129032258	0.03415559772296015
CHEMBL234-Seed2	725	39	303	21	26	1	0.6878557874762808	0.2874762808349146	0.024667931688804556
CHEMBL234-Seed3	667	42	338	16	49	3	0.6328273244781784	0.3206831119544592	0.046489563567362426
CHEMBL237-Seed2	688	35	322	24	29	4	0.6621751684311838	0.30991337824831566	0.02791145332050048
CHEMBL237-Seed3	693	18	312	36	34	9	0.6669874879692012	0.30028873917228105	0.032723772858517804
CHEMBL237-Seed4	648	44	343	15	48	4	0.6236766121270453	0.33012512030798846	0.04619826756496631
CHEMBL251-Seed1	632	38	335	17	43	1	0.6257425742574257	0.3316831683168317	0.04257425742574258
CHEMBL251-Seed2	699	28	279	25	32	3	0.692079207920792	0.27623762376237626	0.031683168316831684
CHEMBL251-Seed3	641	22	336	27	33	7	0.6346534653465347	0.3326732673267327	0.032673267326732675
CHEMBL228-Seed1	558	24	320	15	45	2	0.6045503791982665	0.3466955579631636	0.04875406283856988
CHEMBL228-Seed3	584	31	306	9	33	1	0.6327193932827736	0.3315276273022752	0.035752979414951244
CHEMBL228-Seed4	647	27	254	13	22	1	0.7009750812567714	0.27518959913326113	0.023835319609967497
CHEMBL3880-Seed1	570	35	292	13	32	1	0.6375838926174496	0.32662192393736017	0.035794183445190156
CHEMBL3880-Seed2	565	32	297	15	32	2	0.6319910514541387	0.33221476510067116	0.035794183445190156
CHEMBL3880-Seed3	533	35	319	13	42	1	0.5961968680089486	0.3568232662192394	0.04697986577181208
CHEMBL284-Seed1	573	26	288	15	23	3	0.6481900452488688	0.3257918552036199	0.026018099547511313
CHEMBL284-Seed3	557	28	300	13	27	3	0.6300904977375565	0.3393665158371041	0.030542986425339366
CHEMBL284-Seed4	557	25	293	18	34	1	0.6300904977375565	0.33144796380090497	0.038461538461538464
CHEMBL255-Seed4	515	13	287	13	39	5	0.6123662306777645	0.3412604042806183	0.04637336504161712
CHEMBL255-Seed6	536	28	277	2	28	1	0.6373365041617123	0.32936979785969084	0.03329369797859691
CHEMBL255-Seed8	520	22	270	8	51	1	0.6183115338882283	0.3210463733650416	0.06064209274673008
CHEMBL256-Seed1	497	30	273	21	26	3	0.6243718592964824	0.34296482412060303	0.032663316582914576
CHEMBL256-Seed3	488	27	265	22	43	5	0.6130653266331658	0.33291457286432163	0.05402010050251256
CHEMBL256-Seed4	514	30	251	20	31	4	0.6457286432160804	0.31532663316582915	0.038944723618090454
CHEMBL3991-Seed1	561	45	199	9	15	1	0.7238709677419355	0.2567741935483871	0.01935483870967742
CHEMBL3991-Seed2	516	32	231	20	28	3	0.6658064516129032	0.29806451612903223	0.03612903225806452
CHEMBL3991-Seed6	545	9	216	40	14	6	0.7032258064516129	0.2787096774193548	0.01806451612903226
CHEMBL214-Seed2	445	44	234	6	29	1	0.6285310734463276	0.3305084745762712	0.04096045197740113
CHEMBL214-Seed3	464	28	214	19	30	4	0.655367231638418	0.3022598870056497	0.0423728813559322
CHEMBL214-Seed4	487	38	204	11	17	2	0.6878531073446328	0.288135593220339	0.02401129943502825
CHEMBL344-Seed1	454	31	201	21	31	1	0.6618075801749271	0.29300291545189505	0.04518950437317784
CHEMBL344-Seed2	439	36	226	16	21	1	0.6399416909620991	0.3294460641399417	0.030612244897959183
CHEMBL344-Seed4	436	40	218	12	32	1	0.6355685131195336	0.3177842565597668	0.04664723032069971
CHEMBL1075323-Seed1	390	14	249	14	33	3	0.5803571428571429	0.3705357142857143	0.049107142857142856
CHEMBL1075323-Seed2	457	13	197	17	18	1	0.6800595238095238	0.2931547619047619	0.026785714285714284
CHEMBL1075323-Seed3	428	19	222	11	22	1	0.6369047619047619	0.33035714285714285	0.03273809523809524
CHEMBL2326-Seed1	367	16	231	9	29	1	0.5853269537480064	0.3684210526315789	0.046251993620414676
CHEMBL2326-Seed2	372	15	227	8	28	3	0.5933014354066986	0.3620414673046252	0.044657097288676235
CHEMBL2326-Seed3	385	16	215	9	27	1	0.6140350877192983	0.34290271132376393	0.0430622009569378
CHEMBL233-Seed1	407	28	191	11	27	1	0.6512	0.3056	0.0432
CHEMBL233-Seed2	398	30	201	9	26	1	0.6368	0.3216	0.0416
CHEMBL233-Seed4	351	19	215	20	59	1	0.5616	0.344	0.0944
CHEMBL224-Seed1	407	30	187	16	14	2	0.6694078947368421	0.30756578947368424	0.023026315789473683
CHEMBL224-Seed2	380	29	195	15	33	4	0.625	0.3207236842105263	0.054276315789473686
CHEMBL224-Seed3	413	42	168	5	27	1	0.6792763157894737	0.27631578947368424	0.044407894736842105
CHEMBL4657-Seed1	357	14	217	6	27	2	0.5940099833610649	0.3610648918469218	0.04492512479201331
CHEMBL4657-Seed2	357	12	214	8	30	2	0.5940099833610649	0.3560732113144759	0.04991680532445923
CHEMBL4657-Seed5	394	8	188	12	19	2	0.6555740432612313	0.31281198003327787	0.03161397670549085
CHEMBL218-Seed1	352	25	208	11	23	3	0.6037735849056604	0.3567753001715266	0.03945111492281304
CHEMBL218-Seed2	378	25	179	12	26	2	0.6483704974271012	0.307032590051458	0.044596912521440824
CHEMBL218-Seed3	366	22	194	15	23	2	0.62778730703259	0.33276157804459694	0.03945111492281304
CHEMBL2034-Seed3	308	23	205	7	41	4	0.555956678700361	0.3700361010830325	0.0740072202166065
CHEMBL2034-Seed5	341	25	185	8	28	1	0.6155234657039711	0.33393501805054154	0.05054151624548736
CHEMBL2034-Seed6	397	20	138	13	19	1	0.7166064981949458	0.2490974729241877	0.03429602888086643
CHEMBL267-Seed1	360	12	137	12	4	1	0.718562874251497	0.27345309381237526	0.007984031936127744
CHEMBL267-Seed4	314	16	161	8	26	1	0.626746506986028	0.3213572854291417	0.05189620758483034
