	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL5407	0.93	0.333	0.25	0.286	0.905	0.285	0.625	99.0	10.0	0.002	0.333	0.188	0.245	0.021	0.244	0.047	0.0	0.0
CHEMBL1163125	0.953	0.0	0.0	0.0	0.805	0.0	0.5	98.0	5.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0
CHEMBL216	0.953	0.0	0.0	0.0	0.726	0.0	0.5	98.0	4.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0
CHEMBL5113	0.96	0.667	0.444	0.533	0.981	0.537	0.722	97.0	7.0	0.001	0.333	0.148	0.213	0.0	0.217	0.037	0.0	0.0
CHEMBL3018	0.902	0.0	0.0	0.0	0.648	0.0	0.5	94.0	8.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.0	0.0
CHEMBL4482	0.923	0.0	0.0	0.0	0.721	0.0	0.5	90.0	6.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0
CHEMBL1795117	0.923	0.0	0.0	0.0	0.932	0.0	0.5	90.0	8.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0
CHEMBL202	0.919	0.0	0.0	0.0	0.817	0.0	0.5	84.0	6.0	0.0	0.0	0.0	0.0	0.054	0.0	0.0	0.0	0.0
CHEMBL235	0.944	0.0	0.0	0.0	0.5	0.0	0.5	83.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL3922	0.944	0.0	0.0	0.0	0.353	0.0	0.5	81.0	5.0	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.0
CHEMBL2079846	0.943	0.0	0.0	0.0	0.545	0.0	0.5	79.0	4.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0
CHEMBL2056	0.941	0.0	0.0	0.0	0.391	0.0	0.5	79.0	3.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
CHEMBL3267	0.933	0.0	0.0	0.0	0.729	0.0	0.5	68.0	4.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0
CHEMBL321	0.931	0.0	0.0	0.0	0.5	0.0	0.5	66.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL4361	0.951	0.0	0.0	0.0	0.833	0.0	0.5	63.0	3.667	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.333
CHEMBL1946	0.963	0.0	0.0	0.0	0.468	0.0	0.5	61.0	3.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0
CHEMBL2014	0.923	0.0	0.0	0.0	0.503	0.0	0.5	60.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL3979	0.957	0.0	0.0	0.0	0.47	0.0	0.5	51.0	3.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0
CHEMBL208	0.955	0.0	0.0	0.0	0.738	0.0	0.5	51.0	3.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0
CHEMBL203	0.952	0.0	0.0	0.0	0.367	0.0	0.5	48.0	3.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0
CHEMBL262	0.905	0.0	0.0	0.0	0.623	0.0	0.5	47.0	3.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0
