,1,2,3,4,5,6,7
-237171766,['[R1]N(C[CH2])C[CH2]' '[R1]N1CCCC1'],[nan],2,1,True,False,True
-768008908,['[R1]N([CH2])CC[CH2]' '[R1]N1CCCC1'],[nan],2,1,True,False,True
240180259,['[CH2]C([CH2])[CH2]' '[CH2]C1CC1'],[nan],2,1,True,False,True
-1982241476,['[R1]CCC(=[CH])[C]' '[R1]CCC(=[C])[CH]'],[nan],2,1,True,False,True
1326073253,['[R1]C(=CC(=[CH])[O])[CH]' '[R1]C(=[CH])C=C([CH])[O]'],[nan],2,1,True,False,True
-1203642241,['[CH]=C([C])F' '[CH]C(=[C])F'],[nan],2,1,True,False,True
-860624434,['[CH2]OC(=C[CH])C=[C]' '[CH2]OC(=C[C])C=[CH]'],[nan],2,1,True,False,True
680483485,['CC(=C[CH])C=[C]' 'CC(=C[C])C=[CH]'],[nan],2,1,True,False,True
-2102386003,['[CH]=CC(=C[C])C(F)(F)F' '[CH]C=C(C=[C])C(F)(F)F'],[nan],2,1,True,False,True
-1827657555,['[CH]=C([C])[N]' '[CH]C(=[C])[N]'],[nan],2,1,True,False,True
-1769167814,['[CH]=CC=C([C])[N]' '[CH]C=CC(=[C])[N]'],[nan],2,1,True,False,True
842018023,['[R1]C(=CC(=[C])F)[CH]' '[R1]C(=[CH])C=C([C])F'],[nan],2,1,True,False,True
-327729618,['C1COC[CH]1' '[CH2]OCC[CH]'],[nan],2,1,True,False,True
305950938,['[R1]C(=CN=[CH])[CH]' '[R1]C(=[CH])C=N[CH]'],[nan],2,1,True,False,True
-1022884517,['[CH2]C(=[CH])[N]' '[CH2]C(=[N])[CH]'],[nan],2,1,True,False,True
556348666,['[R1]CC(=[CH])[N]' '[R1]CC(=[N])[CH]'],[nan],2,1,True,False,True
-810317102,['[CH2]C(=CN=[CH])[CH]' '[CH2]C(=[CH])C=N[CH]'],[nan],2,1,True,False,True
-725509859,['[CH]=CC(=C[C])F' '[CH]C=C(C=[C])F'],[nan],2,1,True,False,True
757665295,['[R1]NCC(=[CH])[N]' '[R1]NCC(=[N])[CH]'],[nan],2,1,True,False,True
450860900,[nan],['[R1]C(=[CH])[C]' '[R1]C(=[C])[CH]'],1,2,False,True,True
372098129,[nan],['[CH]=C[C]' '[CH]C=[C]'],1,2,False,True,True
1350273596,[nan],['[CH2]C(=[CH])[C]' '[CH2]C(=[C])[CH]'],1,2,False,True,True
-149380411,[nan],['[CH]=CC=C[C]' '[CH]C=CC=[C]'],1,2,False,True,True
-1696897035,[nan],['[CH2]C(=CC=[CH])[C]' '[CH2]C(=[C])C=C[CH]'],1,2,False,True,True
1698499685,[nan],['[CH2]C(=[CH])[C]' '[CH2]C(=[C])[CH]'],1,2,False,True,True
192873657,[nan],['C1C[CH]1' '[CH2]C[CH]'],1,2,False,True,True
348769564,[nan],['[CH2]C(=CC=[CH])[C]' '[CH2]C(=[C])C=C[CH]'],1,2,False,True,True
719805422,[nan],['[CH]=C[N]' '[CH]C=[N]'],1,2,False,True,True
894132679,[nan],['[CH]=C([C])CC[N]' '[CH]=C1CC[N][C]1' '[CH]C(=[C])CC[N]'],1,3,False,True,True
-140840491,[nan],['[CH2]CC(=C[CH])C(=[C])[NH]' '[CH]C=C1CCNC1=[C]'],1,2,False,True,True
-397210436,[nan],['[R1]C(=C(C(=[CH])[CH2])N[CH2])[CH]' '[R1]C(=C1C(=[CH])CCN1)[CH]'],1,2,False,True,True
-207535691,[nan],['[CH2]CNC(=[C])[C]' '[C]=C1[C]CCN1'],1,2,False,True,True
795101862,[nan],['[CH]=C([CH])[C]' '[CH]C(=[C])[CH]'],1,2,False,True,True
-803212065,[nan],['[CH]=CC=C([CH])[C]' '[CH]C=CC(=[C])[CH]'],1,2,False,True,True
-1958818228,[nan],['[CH2]N([CH2])CC(=[CH])[C]' '[CH2]N([CH2])CC(=[C])[CH]'],1,2,False,True,True
1150845381,[nan],['C1CC[CH]C1' '[CH2]CCC[CH]'],1,2,False,True,True
-64180836,[nan],['C1C[C]1' '[CH2]C[C]'],1,2,False,True,True
-494335344,[nan],['[R1]C(C[CH2])(C[CH2])C[N]' '[R1]C1(CCCC1)C[N]'],1,2,False,True,True
-1905153112,[nan],['[R1]C([CH2])([CH2])CC[CH2]' '[R1]C1(CCCC1)[CH2]'],1,2,False,True,True
2041235154,[nan],['C1CC[C]C1' '[CH2]CCC[C]'],1,2,False,True,True
558767268,[nan],['[R1]C(C[CH2])C[CH2]' '[R1]C1CCCC1'],1,2,False,True,True
-233613332,[nan],['[R1]C([CH2])CC[CH2]' '[R1]C1CCCC1'],1,2,False,True,True
920562896,[nan],['[CH2]NCC(=[CH])[C]' '[CH2]NCC(=[C])[CH]'],1,2,False,True,True
-1488385153,[nan],['C1CC1[NH]' '[CH2]C([CH2])[NH]'],1,2,False,True,True
31971590,[nan],['[CH2]CC(=C[CH])C(=[C])[N]' '[CH]C=C1CC[N]C1=[C]'],1,2,False,True,True
1087089086,[nan],['[R1]C([CH2])C(C[CH2])C[CH2]' '[R1]C([CH2])C1CCCC1'],1,2,False,True,True
351807891,[nan],['[CH2]CCC([CH2])[CH]' '[CH]C1CCCC1'],1,2,False,True,True
-203285533,[nan],['[CH2]C([CH2])NC[C]' '[C]CNC1CC1'],1,2,False,True,True
-495422268,[nan],['[CH2]CC(C[CH2])N[CH2]' '[CH2]NC1CC1' '[CH2]NC1CCCC1'],1,3,False,True,True
1573858104,[nan],['C1CCC(C1)[NH]' '[CH2]CCC([CH2])[NH]'],1,2,False,True,True
-461182624,[nan],['C1C[C][N]C1' '[C]CCC[N]'],1,2,False,True,True
182398817,[nan],['C1C[CH]NC1' '[CH]CCC[NH]'],1,2,False,True,True
1048084277,[nan],['C1C[CH]NC1' '[CH2]CCN[CH]'],1,2,False,True,True
-649646442,[nan],['C1CC(NC1)C(=O)[NH]' 'C1CNC1C(=O)[NH]' '[CH2]CC(C(=O)[NH])N[CH2]'],1,3,False,True,True
1013180071,[nan],['[CH2]CCC([C])[NH]' '[C]C1CCCN1'],1,2,False,True,True
-1892516321,[nan],['[CH2]CNC([CH2])[C]' '[C]C1CCCN1'],1,2,False,True,True
480125222,[nan],['C1CN[CH]1' 'C1CN[CH][CH]1'],1,2,False,True,True
-126683053,[nan],['[C]=C[N]' '[C]C=[N]'],1,2,False,True,True
-231471221,[nan],['[CH]=CC=C([CH])[C]' '[CH]C=CC(=[CH])[C]'],1,2,False,True,True
1108679785,[nan],['[C]=CC=C[N]' '[C]C=CC=[N]'],1,2,False,True,True
237893128,[nan],['[CH]=CC=C([CH])[O]' '[CH]C=CC(=[CH])[O]'],1,2,False,True,True
1372644378,[nan],['COC(=C[CH])C=[C]' 'COC(=C[C])C=[CH]'],1,2,False,True,True
947437656,[nan],['[CH]=C([C])Cl' '[CH]C(=[C])Cl'],1,2,False,True,True
570999075,[nan],['[CH]=CC(=C[C])Cl' '[CH]C=C(C=[C])Cl'],1,2,False,True,True
605637977,[nan],['[CH]=C([C])[C]' '[CH]C(=[C])[C]'],1,2,False,True,True
