	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL1871	0.942	0.522	0.6	0.558	0.782	0.529	0.782	187.0	13.0	0.0	0.018	0.04	0.027	0.011	0.031	0.011	0.0	0.0
CHEMBL225	0.95	0.639	0.533	0.571	0.756	0.553	0.756	184.0	10.0	0.0	0.016	0.013	0.007	0.003	0.007	0.003	0.0	0.0
CHEMBL3759	0.957	0.756	0.667	0.707	0.824	0.686	0.824	180.0	13.0	0.001	0.046	0.028	0.034	0.008	0.04	0.008	0.0	0.0
CHEMBL3105	0.947	0.111	0.111	0.111	0.546	0.091	0.546	173.0	6.0	0.0	0.037	0.037	0.037	0.009	0.035	0.009	0.0	0.0
CHEMBL259	0.956	0.5	0.25	0.333	0.623	0.342	0.623	173.0	8.0	0.0	0.25	0.062	0.111	0.016	0.122	0.016	0.0	0.0
CHEMBL238	0.939	0.617	0.583	0.556	0.772	0.548	0.772	163.0	9.0	0.002	0.141	0.021	0.037	0.006	0.047	0.006	0.0	0.0
CHEMBL1855	0.948	0.622	0.667	0.642	0.818	0.615	0.818	161.0	11.0	0.0	0.001	0.013	0.005	0.003	0.006	0.003	0.0	0.0
CHEMBL260	0.956	0.722	0.417	0.524	0.703	0.526	0.703	156.0	10.0	0.0	0.065	0.021	0.029	0.006	0.035	0.006	0.0	0.0
CHEMBL3891	0.923	0.278	0.167	0.206	0.57	0.176	0.57	149.0	8.0	0.0	0.065	0.021	0.033	0.006	0.038	0.006	0.0	0.0
CHEMBL2000	0.906	0.178	0.333	0.231	0.634	0.197	0.634	147.0	7.0	0.0	0.028	0.111	0.05	0.028	0.061	0.028	0.0	0.0
CHEMBL1875	0.952	0.167	0.167	0.167	0.572	0.143	0.572	145.0	4.0	0.0	0.083	0.083	0.083	0.022	0.087	0.022	0.0	0.0
CHEMBL2842	0.973	0.333	0.333	0.333	0.664	0.326	0.664	144.0	6.0	0.001	0.333	0.333	0.333	0.085	0.341	0.085	0.0	0.0
CHEMBL4822	0.973	0.722	0.778	0.746	0.88	0.734	0.88	141.0	8.0	0.001	0.065	0.037	0.051	0.011	0.055	0.011	0.0	0.0
CHEMBL280	0.94	0.806	0.4	0.5	0.694	0.521	0.694	140.0	10.0	0.0	0.03	0.04	0.028	0.009	0.012	0.009	0.0	0.0
CHEMBL3473	0.961	0.833	0.333	0.467	0.664	0.506	0.664	140.0	7.0	0.0	0.083	0.0	0.003	0.0	0.011	0.0	0.0	0.0
CHEMBL3510	0.967	0.333	0.333	0.333	0.661	0.322	0.661	139.0	4.0	0.0	0.083	0.083	0.083	0.019	0.078	0.019	0.0	0.0
CHEMBL2617	0.949	0.083	0.167	0.111	0.572	0.099	0.572	137.0	5.0	0.0	0.021	0.083	0.037	0.017	0.037	0.017	0.0	0.0
CHEMBL6136	0.909	0.178	0.333	0.231	0.638	0.2	0.638	128.0	8.0	0.0	0.028	0.111	0.05	0.023	0.053	0.023	0.0	0.0
CHEMBL2360	0.92	0.222	0.222	0.222	0.592	0.18	0.592	125.0	6.0	0.0	0.037	0.037	0.037	0.009	0.039	0.009	0.0	0.0
CHEMBL1833	0.955	0.589	0.778	0.663	0.872	0.651	0.872	121.0	8.0	0.0	0.007	0.037	0.008	0.009	0.011	0.009	0.0	0.0
CHEMBL1983	0.948	0.167	0.167	0.167	0.573	0.146	0.573	118.0	5.0	0.001	0.083	0.083	0.083	0.021	0.084	0.021	0.0	0.0
CHEMBL1741186	0.941	0.556	0.75	0.629	0.854	0.612	0.854	117.0	10.0	0.001	0.037	0.188	0.088	0.047	0.105	0.047	0.0	0.0
CHEMBL1926488	0.96	0.639	0.667	0.641	0.823	0.627	0.823	116.0	8.0	0.0	0.016	0.111	0.053	0.028	0.058	0.028	0.0	0.0
CHEMBL2971	0.944	0.556	0.556	0.556	0.763	0.526	0.763	112.0	6.0	0.001	0.037	0.037	0.037	0.011	0.042	0.011	0.0	0.0
CHEMBL4792	0.938	0.0	0.0	0.0	0.489	-0.03	0.489	111.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL4005	0.929	0.578	0.444	0.444	0.703	0.442	0.703	108.0	6.0	0.001	0.135	0.037	0.009	0.007	0.02	0.007	0.0	0.0
CHEMBL5023	0.891	0.4	0.333	0.36	0.639	0.305	0.639	105.0	9.0	0.002	0.058	0.021	0.035	0.008	0.045	0.008	0.0	0.0
